name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_assassin	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_scouter	require_class_summoner	require_level	require_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	damage_thunder	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp		cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	critical	skill_range	skill_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	bonus_exp	bonus_money	bonus_drop_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	skill_block	FACTOR_MAGNIFY	movement	atk_speed
	3	0	1			1			1								28	1											250												50		1		1900	1700	6900	1900	12000			20																																																										16800			2000																																																		-16																																																																																							
	4	0	1			1			1								31	1											260												55		1		1900	1700	6900	1900	14000			20																																																										32000			2000																																																		-18																																																																																							
	5	0	1			1			1								34	1											270												60		1		1900	1700	6900	1900	16000			20																																																										80000			2000																																																		-20																																																																																							
	6	0	1			1			1								37	1											280												65		1		1900	1700	6900	1900	18000			20																																																													2000																																																		-22																																																																																							
	7	0	1			1			1								40	1											290												70		1		1900	1700	6900	1900	20000			20																																																													2000																																																		-24																																																																																							
	8	0	1			1			1								43	1											300												75		1		1900	1700	6900	1900	22000			20																																																													2000																																																		-26																																																																																							
	9	0	1			1			1								46	1											310												80		1		1900	1700	6900	1900	24000			20																																																													2000																																																		-28																																																																																							
	10	0	1			1			1								49	1											320												85		1		1900	1700	6900	1900	26000			20																																																													2000																																																		-30																																																																																							
파이어샷	1	0	1			1			1								22	1						10					200					100							40		1		1900	1700	6900	1900	6000			20									30																																										2000						2400				5000																																																																																																																																									
	2	0	1			1			1								25	1						12					210					105							45		1		1900	1700	6900	1900	9000			20									40																																										2000							6400			5000																																																																																																																																									
	3	0	1			1			1								28	1						14					220					110							50		1		1900	1700	6900	1900	12000			20									50																																										2000							16800			5000																																																																																																																																									
	4	0	1			1			1								31	1						16					230					115							55		1		1900	1700	6900	1900	15000			20									60																																										2000							32000			5000																																																																																																																																									
	5	0	1			1			1								34	1						18					240					120							60		1		1900	1700	6900	1900	18000			20									70																																										2000							80000			5000																																																																																																																																									
	6	0	1			1			1								37	1						20					250					125							65		1		1900	1700	6900	1900	21000			20									80																																										2000										5000																																																																																																																																									
	7	0	1			1			1								40	1						22					260					130							70		1		1900	1700	6900	1900	24000			20									90																																										2000										5000																																																																																																																																									
	8	0	1			1			1								43	1						24					270					135							75		1		1900	1700	6900	1900	27000			20									100																																										2000										5000																																																																																																																																									
	9	0	1			1			1								46	1						26					280					140							80		1		1900	1700	6900	1900	30000			20									110																																										2000										5000																																																																																																																																									
	10	0	1			1			1								49	1						28					290					145							85		1		1900	1700	6900	1900	33000			20									120																																										2000										5000																																																																																																																																									
파워샷	1	0	1			1			1								22	1											270												40		1		1900	1700	6900	1900				15																																																									2400				2000																																																																																																																																									
	2	0	1			1			1								25	1											280												45		1		1900	1700	6900	1900				15																																																										6400			2000																																																																																																																																									
	3	0	1			1			1								28	1											290												50		1		1900	1700	6900	1900				15																																																										16800			2000																																																																																																																																									
	4	0	1			1			1								31	1											300												55		1		1900	1700	6900	1900				15																																																										32000			2000																																																																																																																																									
	5	0	1			1			1								34	1											310												60		1		1900	1700	6900	1900				15																																																										80000			2000																																																																																																																																									
	6	0	1			1			1								37	1											320												65		1		1900	1700	6900	1900				15																																																													2000																																																																																																																																									
	7	0	1			1			1								40	1											330												70		1		1900	1700	6900	1900				15																																																													2000																																																																																																																																									
	8	0	1			1			1								43	1											340												75		1		1900	1700	6900	1900				15																																																													2000																																																																																																																																									
	9	0	1			1			1								46	1											350												80		1		1900	1700	6900	1900				15																																																													2000																																																																																																																																									
	10	0	1			1			1								49	1											360												85		1		1900	1700	6900	1900				15																																																													2000																																																																																																																																									
스나이프샷	1	0	1			1			1								28	1											250												50		1		1900	1700	6900	1900				26																																																									5600				2000																																																																																																																																									
	2	0	1			1			1								31	1											260												55		1		1900	1700	6900	1900				26																																																										16000			2000																																																																																																																																									
	3	0	1			1			1								34	1											270												60		1		1900	1700	6900	1900				26																																																										48000			2000																																																																																																																																									
	4	0	1			1			1								37	1											280												65		1		1900	1700	6900	1900				26																																																										64000			2000																																																																																																																																									
	5	0	1			1			1								40	1											290												70		1		1900	1700	6900	1900				26																																																										120000			2000																																																																																																																																									
	6	0	1			1			1								43	1											300												75		1		1900	1700	6900	1900				26																																																													2000																																																																																																																																									
	7	0	1			1			1								46	1											310												80		1		1900	1700	6900	1900				26																																																													2000																																																																																																																																									
	8	0	1			1			1								49	1											320												85		1		1900	1700	6900	1900				26																																																													2000																																																																																																																																									
	9	0	1			1			1								52	1											330												90		1		1900	1700	6900	1900				26																																																													2000																																																																																																																																									
	10	0	1			1			1								55	1											340												95		1		1900	1700	6900	1900				26																																																													2000																																																																																																																																									
스틸바스터	1	0	1			1			1								34	1											260												60		1		1900	1700	6900	1900				20	4																																																								16000				2000																																																																																																																																									
	2	0	1			1			1								37	1											270												65		1		1900	1700	6900	1900				20	4																																																									32000			2000																																																																																																																																									
	3	0	1			1			1								40	1											280												70		1		1900	1700	6900	1900				20	4																																																									72000			2000																																																																																																																																									
	4	0	1			1			1								43	1											290												75		1		1900	1700	6900	1900				20	4																																																									128000			2000																																																																																																																																									
	5	0	1			1			1								46	1											300												80		1		1900	1700	6900	1900				20	4																																																									240000			2000																																																																																																																																									
	6	0	1			1			1								49	1											310												85		1		1900	1700	6900	1900				20	4																																																												2000																																																																																																																																									
	7	0	1			1			1								52	1											320												90		1		1900	1700	6900	1900				20	4																																																												2000																																																																																																																																									
	8	0	1			1			1								55	1											330												95		1		1900	1700	6900	1900				20	4																																																												2000																																																																																																																																									
	9	0	1			1			1								58	1											340												100		1		1900	1700	6900	1900				20	4																																																												2000																																																																																																																																									
	10	0	1			1			1								61	1											350												105		1		1900	1700	6900	1900				20	4																																																												2000																																																																																																																																									
멀티플 애로우	1	0	1			1			1								40	1											260												70		1		2100	1900	7100	2100				8	8																																																								24000																																																																																																																																													
	2	0	1			1			1								43	1											270												75		1		2100	1900	7100	2100				8	8																																																									64000																																																																																																																																												
	3	0	1			1			1								46	1											280												80		1		2100	1900	7100	2100				8	8																																																									144000																																																																																																																																												
	4	0	1			1			1								49	1											290												85		1		2100	1900	7100	2100				8	8																																																									224000																																																																																																																																												
	5	0	1			1			1								52	1											300												90		1		2100	1900	7100	2100				8	8																																																									400000																																																																																																																																												
	6	0	1			1			1								55	1											310												95		1		2100	1900	7100	2100				8	8																																																																																																																																																																																																					
	7	0	1			1			1								58	1											320												100		1		2100	1900	7100	2100				8	8																																																																																																																																																																																																					
	8	0	1			1			1								61	1											330												105		1		2100	1900	7100	2100				8	8																																																																																																																																																																																																					
	9	0	1			1			1								64	1											340												110		1		2100	1900	7100	2100				8	8																																																																																																																																																																																																					
	10	0	1			1			1								67	1											350												115		1		2100	1900	7100	2100				8	8																																																																																																																																																																																																					
피닉스샷	1	0	1			1			1								46	1											310					160							80		1		1900	1700	6900	1900				20	4																																																								48000																																																																																																																																													
	2	0	1			1			1								49	1											320					165							85		1		1900	1700	6900	1900				20	4																																																									112000																																																																																																																																												
	3	0	1			1			1								52	1											330					170							90		1		1900	1700	6900	1900				20	4																																																									240000																																																																																																																																												
	4	0	1			1			1								55	1											340					175							95		1		1900	1700	6900	1900				20	4																																																									384000																																																																																																																																												
	5	0	1			1			1								58	1											350					180							100		1		1900	1700	6900	1900				20	4																																																									640000																																																																																																																																												
	6	0	1			1			1								61	1											360					185							105		1		1900	1700	6900	1900				20	4																																																																																																																																																																																																					
	7	0	1			1			1								64	1											370					190							110		1		1900	1700	6900	1900				20	4																																																																																																																																																																																																					
	8	0	1			1			1								67	1											380					195							115		1		1900	1700	6900	1900				20	4																																																																																																																																																																																																					
	9	0	1			1			1								70	1											390					200							120		1		1900	1700	6900	1900				20	4																																																																																																																																																																																																					
	10	0	1			1			1								73	1											400					205							125		1		1900	1700	6900	1900				20	4																																																																																																																																																																																																					
네이쳐샷	1	1	1	1		1			1								5	1											130												30		1		1900	1700	6900	1900	10000			20																																																									80				2000																																																																																										-20																																															
	2	1	1	1		1			1								8	1											140												35		1		1900	1700	6900	1900	12000			20																																																										640			2000																																																																																										-24																																															
	3	1	1	1		1			1								11	1											150												40		1		1900	1700	6900	1900	14000			20																																																										1680			2000																																																																																										-28																																															
	4	1	1	1		1			1								14	1											160												45		1		1900	1700	6900	1900	16000			20																																																										3200			2000																																																																																										-32																																															
	5	1	1	1		1			1								17	1											170												50		1		1900	1700	6900	1900	18000			20																																																										5200			2000																																																																																										-36																																															
	6	1	1	1		1			1								20	1											180												55		1		1900	1700	6900	1900	20000			20																																																													2000																																																																																										-40																																															
	7	1	1	1		1			1								23	1											190												60		1		1900	1700	6900	1900	22000			20																																																													2000																																																																																										-44																																															
	8	1	1	1		1			1								26	1											200												65		1		1900	1700	6900	1900	24000			20																																																													2000																																																																																										-48																																															
	9	1	1	1		1			1								29	1											210												70		1		1900	1700	6900	1900	26000			20																																																													2000																																																																																										-52																																															
	10	1	1	1		1			1								32	1											220												75		1		1900	1700	6900	1900	28000			20																																																													2000																																																																																										-56																																															
소울 오브 애니멀	1	1		0		1			1								13	1																							40				1760	1760	432000	1760	360000			6	6																																																								720																																																									8									9									6									4																																																									
	2	1		0		1			1								16	1																							45				1760	1760	456000	1760	380000			6	6																																																									1920																																																								10									11									10									6																																																									
	3	1		0		1			1								19	1																							50				1760	1760	480000	1760	400000			6	6																																																									4800																																																								12									13									14									8																																																									
	4	1		0		1			1								22	1																							55				1760	1760	504000	1760	420000			6	6																																																									9600																																																								14									15									18									10																																																									
	5	1		0		1			1								25	1																							60				1760	1760	528000	1760	440000			6	6																																																									16000																																																								16									17									22									12																																																									
	6	1		0		1			1								28	1																							65				1760	1760	552000	1760	460000			6	6																																																																																																																	18									19									26									14																																																									
	7	1		0		1			1								31	1																							70				1760	1760	576000	1760	480000			6	6																																																																																																																	20									21									30									16																																																									
	8	1		0		1			1								34	1																							75				1760	1760	600000	1760	500000			6	6																																																																																																																	22									23									34									18																																																									
	9	1		0		1			1								37	1																							80				1760	1760	624000	1760	520000			6	6																																																																																																																	24									25									38									20																																																									
	10	1		0		1			1								40	1																							85				1760	1760	648000	1760	540000			6	6																																																																																																																	26									27									42									22																																																									
굿 보우	1	1		0		1			1								21	1																							50				1760	1760	576000	1760	480000																																																												1600																																																									14									15																																																																											
	2	1		0		1			1								24	1																							55				1760	1760	600000	1760	500000																																																													6400																																																								17									18																																																																											
	3	1		0		1			1								27	1																							60				1760	1760	624000	1760	520000																																																													14400																																																								20									21																																																																											
	4	1		0		1			1								30	1																							65				1760	1760	648000	1760	540000																																																													28800																																																								23									24																																																																											
	5	1		0		1			1								33	1																							70				1760	1760	672000	1760	560000																																																													40000																																																								26									27																																																																											
	6	1		0		1			1								36	1																							75				1760	1760	696000	1760	580000																																																																																																																					29									30																																																																											
	7	1		0		1			1								39	1																							80				1760	1760	720000	1760	600000																																																																																																																					32									33																																																																											
	8	1		0		1			1								42	1																							85				1760	1760	744000	1760	620000																																																																																																																					35									36																																																																											
	9	1		0		1			1								45	1																							90				1760	1760	768000	1760	640000																																																																																																																					38									39																																																																											
	10	1		0		1			1								48	1																							95				1760	1760	792000	1760	660000																																																																																																																					41									42																																																																											
굿 크로스보우	1	1		0		1			1								21	1																							50				1760	1760	576000	1760	480000																																																												1600																																																									10									18																																																																											
	2	1		0		1			1								24	1																							55				1760	1760	600000	1760	500000																																																													6400																																																								13									21																																																																											
	3	1		0		1			1								27	1																							60				1760	1760	624000	1760	520000																																																													14400																																																								16									24																																																																											
	4	1		0		1			1								30	1																							65				1760	1760	648000	1760	540000																																																													28800																																																								19									27																																																																											
	5	1		0		1			1								33	1																							70				1760	1760	672000	1760	560000																																																													40000																																																								22									30																																																																											
	6	1		0		1			1								36	1																							75				1760	1760	696000	1760	580000																																																																																																																					25									33																																																																											
	7	1		0		1			1								39	1																							80				1760	1760	720000	1760	600000																																																																																																																					28									36																																																																											
	8	1		0		1			1								42	1																							85				1760	1760	744000	1760	620000																																																																																																																					31									39																																																																											
	9	1		0		1			1								45	1																							90				1760	1760	768000	1760	640000																																																																																																																					34									42																																																																											
	10	1		0		1			1								48	1																							95				1760	1760	792000	1760	660000																																																																																																																					37									45																																																																											
스네어샷	1	1	1	1		1			1								29	1											200												60		1		1900	1700	6900	1900	10000			20	4																																																								6400																																																																																														-20																																															
	2	1	1	1		1			1								32	1											210												65		1		1900	1700	6900	1900	12000			20	4																																																									16000																																																																																													-24																																															
	3	1	1	1		1			1								35	1											220												70		1		1900	1700	6900	1900	14000			20	4																																																									48000																																																																																													-28																																															
	4	1	1	1		1			1								38	1											230												75		1		1900	1700	6900	1900	16000			20	4																																																									64000																																																																																													-32																																															
	5	1	1	1		1			1								41	1											240												80		1		1900	1700	6900	1900	18000			20	4																																																									120000																																																																																													-36																																															
	6	1	1	1		1			1								44	1											250												85		1		1900	1700	6900	1900	20000			20	4																																																																																																																																																						-40																																															
	7	1	1	1		1			1								47	1											260												90		1		1900	1700	6900	1900	22000			20	4																																																																																																																																																						-44																																															
	8	1	1	1		1			1								50	1											270												95		1		1900	1700	6900	1900	24000			20	4																																																																																																																																																						-48																																															
	9	1	1	1		1			1								53	1											280												100		1		1900	1700	6900	1900	26000			20	4																																																																																																																																																						-52																																															
	10	1	1	1		1			1								56	1											290												105		1		1900	1700	6900	1900	28000			20	4																																																																																																																																																						-56																																															
우드스킨	1	2		0		1											8	1																							35				1760	1760	432000	1760	360000																																																												320		31	10																																																																								10											4																																																							
	2	2		0		1											11	1																							40				1760	1760	456000	1760	380000																																																													1120	31	16																																																																								16											10																																																							
	3	2		0		1											14	1																							45				1760	1760	480000	1760	400000																																																													2400	31	22																																																																								22											16																																																							
	4	2		0		1											17	1																							50				1760	1760	504000	1760	420000																																																													4160	31	28																																																																								28											22																																																							
	5	2		0		1											20	1																							55				1760	1760	528000	1760	440000																																																													8000	31	34																																																																								34											28																																																							
	6	2		0		1											23	1																							60				1760	1760	552000	1760	460000																																																														31	40																																																																								40											34																																																							
	7	2		0		1											26	1																							65				1760	1760	576000	1760	480000																																																														31	46																																																																								46											40																																																							
	8	2		0		1											29	1																							70				1760	1760	600000	1760	500000																																																														31	52																																																																								52											46																																																							
	9	2		0		1											32	1																							75				1760	1760	624000	1760	520000																																																														31	58																																																																								58											52																																																							
	10	2		0		1											35	1																							80				1760	1760	648000	1760	540000																																																														31	64																																																																								64											58																																																							
샤프 슈터	1	2		0		1											13	1																							40				1760	1760	48000	1760	40000																																																												720																																																				6		15																																																																																							
	2	2		0		1											16	1																							45				1760	1760	60000	1760	50000																																																													1920																																																			9		20																																																																																							
	3	2		0		1											19	1																							50				1760	1760	72000	1760	60000																																																													4800																																																			12		25																																																																																							
	4	2		0		1											22	1																							55				1760	1760	84000	1760	70000																																																													9600																																																			15		30																																																																																							
	5	2		0		1											25	1																							60				1760	1760	96000	1760	80000																																																													16000																																																			18		35																																																																																							
	6	2		0		1											28	1																							65				1760	1760	108000	1760	90000																																																																																																																21		40																																																																																							
	7	2		0		1											31	1																							70				1760	1760	120000	1760	100000																																																																																																																24		45																																																																																							
	8	2		0		1											34	1																							75				1760	1760	132000	1760	110000																																																																																																																27		50																																																																																							
	9	2		0		1											37	1																							80				1760	1760	144000	1760	120000																																																																																																																30		55																																																																																							
	10	2		0		1											40	1																							85				1760	1760	156000	1760	130000																																																																																																																33		60																																																																																							
윈드 애로우	1	2	1			1											18	1				15							200			100									45		1		1900	1700	6900	1900				20																																																									1200																																																																																																																																													
	2	2	1			1											21	1				17							210			105									50		1		1900	1700	6900	1900				20																																																										3200																																																																																																																																												
	3	2	1			1											24	1				19							220			110									55		1		1900	1700	6900	1900				20																																																										9600																																																																																																																																												
	4	2	1			1											27	1				21							230			115									60		1		1900	1700	6900	1900				20																																																										19200																																																																																																																																												
	5	2	1			1											30	1				23							240			120									65		1		1900	1700	6900	1900				20																																																										36000																																																																																																																																												
	6	2	1			1											33	1				25							250			125									70		1		1900	1700	6900	1900				20																																																																																																																																																																																																						
	7	2	1			1											36	1				27							260			130									75		1		1900	1700	6900	1900				20																																																																																																																																																																																																						
	8	2	1			1											39	1				29							270			135									80		1		1900	1700	6900	1900				20																																																																																																																																																																																																						
	9	2	1			1											42	1				31							280			140									85		1		1900	1700	6900	1900				20																																																																																																																																																																																																						
	10	2	1			1											45	1				33							290			145									90		1		1900	1700	6900	1900				20																																																																																																																																																																																																						
리얼 레인지	1	2		0		1											23	1																							55				1760	1760	288000	1760	240000																																																												2400																																																			1																																																																																										
	2	2		0		1											26	1																							60				1760	1760	312000	1760	260000																																																													8000																																																		2																																																																																										
	3	2		0		1											29	1																							65				1760	1760	336000	1760	280000																																																													19200																																																		3																																																																																										
	4	2		0		1											32	1																							70				1760	1760	360000	1760	300000																																																													32000																																																		4																																																																																										
	5	2		0		1											35	1																							75				1760	1760	384000	1760	320000																																																													80000																																																		5																																																																																										
