기술 명	기술 설명	스킬레벨	스킬타입		세부스킬타입	나이트클래스전용	아처클래스전용	메이지클래스전용	버서커클래스전용	헌터클래스전용	소서러클래스전용	어쌔신클래스전용	레인저클래스전용	엘리멘탈리스트클래스전용	슬레이어클래스전용	스카우터클래스전용	서머너클래스전용	요구레벨	요구스킬포인트	기본 공격포인트	마법 공격포인트	물 공격포인트	공기 공격포인트	땅 공격포인트	불 공격포인트	독 공격포인트	얼음 공격포인트	번개 공격포인트		기본 공격%	마법 공격%	물 공격%	공기 공격%	땅 공격%	불 공격%	독 공격%	얼음 공격%	번개 공격%			소모생명	소모마나		소모화살	생명감소	시전시간	재시전시간		지속시간	인터벌		시전거리	원형범위	직선범위	직선폭	지속공격	마법 지속공격포인트	물 지속공격포인트	공기 지속공격포인트	땅 지속공격포인트	불 지속공격포인트	독 지속공격포인트	얼음 지속공격포인트	번개 지속공격포인트	지속공격%	마법 지속공격%	물 지속공격%	공기 지속공격%	땅 지속공격%	불 지속공격%	독 지속공격%	얼음 지속공격%	번개 지속공격%	밀림거리	공격반사															방패블럭	스턴타임	크리티컬	스킬사정거리	스킬성공률	공격변환생명	공격변환마나	생명증가포인트	마나증가포인트	1차지공격	2차지공격	3차지공격	어그로돌생명	지속공격간격	마나소모감소	시전시간감소	스킬레벨증가	마나변환생명	데스공격	비용	업그레이드비용				소환수			추가지속시간	타겟	최대수	보너스경험치	보너스겔드	추가 기본 공격포인트	추가 마법 공격포인트	추가 물 공격포인트	추가 공기 공격포인트	추가 땅 공격포인트	추가 불 공격포인트	추가 독 공격포인트	추가 얼음 공격포인트	추가 번개 공격포인트		추가 기본 공격%	추가 마법 공격%	추가 물 공격%	추가 공기 공격%	추가 땅 공격%	추가 불 공격%	추가 독 공격%	추가 얼음 공격%	추가 번개 공격%		FACTOR_POINT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	스킬블럭	FACTOR_PERCENT	체력	힘	지식	민첩	카리스마	지혜	이동속도	생명	마나			어그로	최대생명	최대마나		공격속도	사정거리	스킬캐스트	스킬딜레이	공격성공률	근거리회피율	원거리회피율	최소 공격	최소 마법 공격	최소 물 공격	최소 공기 공격	최소 땅 공격	최소 불 공격	최소 독 공격	최소 얼음 공격	최소 번개 공격	최대 공격	최대 마법 공격	최대 물 공격	최대 공기 공격	최대 땅 공격	최대 불 공격	최대 독 공격	최대 얼음 공격	최대 번개 공격	기본 방어	마법 저항	물 저항	공기 저항	땅 저항	불 저항	독 저항	얼음 저항	번개 저항	물리 저항	스킬블럭				desc
불속성공격 스킬 1레벨		V																																													V		V																																																														V	V																																																										V									V																																																																						불공격의 고기절임\n불공격력 3증가
불속성공격 스킬 2레벨		V																																													V		V																																																														V	V																																																										V									V																																																																						화염공격의 고기절임\n불공격력 5증가
물속성공격 스킬 1레벨		V																																													V		V																																																														V	V																																																							V									V																																																																									물공격의 고기절임\n물공격력 3증가
물속성공격 스킬 2레벨		V																																													V		V																																																														V	V																																																							V									V																																																																									강공격의 고기절임\n물공격력 5증가
공기속성공격 스킬 1레벨		V																																													V		V																																																														V	V																																																								V									V																																																																								공기공격의 고기절임\n공기공격력 3증가
공기속성공격 스킬 2레벨		V																																													V		V																																																														V	V																																																								V									V																																																																								호흡공격의 고기절임\n공기공격력 5증가
땅속성공격 스킬 1레벨		V																																													V		V																																																														V	V																																																									V									V																																																																							땅공격의 고기절임\n땅공격력 3증가
땅속성공격 스킬 2레벨		V																																													V		V																																																														V	V																																																									V									V																																																																							대지공격의 고기절임\n땅공격력 5증가
마법속성공격 스킬 1레벨		V																																													V		V																																																														V	V																																																						V									V																																																																										마법공격의 고기절임\n마법공격력 3증가
마법속성공격 스킬 2레벨		V																																													V		V																																																														V	V																																																						V									V																																																																										정신공격의 고기절임\n정신공격력 5증가
불속성방어 스킬 1레벨		V																																													V		V																																																														V	V																																																																												V																																																													불방어의 스튜\n불저항력 4증가
불속성방어 스킬 2레벨		V																																													V		V																																																														V	V																																																																												V																																																													화염방어의 스튜\n불저항력 6증가
물속성방어 스킬 1레벨		V																																													V		V																																																														V	V																																																																									V																																																																물방어의 스튜\n물저항력 4증가
물속성방어 스킬 2레벨		V																																													V		V																																																														V	V																																																																									V																																																																강방어의 스튜\n물저항력 6증가
공기속성방어 스킬 1레벨		V																																													V		V																																																														V	V																																																																											V																																																														공기방어의 스튜\n공기저항력 4증가
공기속성방어 스킬 2레벨		V																																													V		V																																																														V	V																																																																											V																																																														호흡방어의 스튜\n공기저항력 6증가
땅속성방어 스킬 1레벨		V																																													V		V																																																														V	V																																																																										V																																																															땅방어의 스튜\n땅저항력 4증가
땅속성방어 스킬 2레벨		V																																													V		V																																																														V	V																																																																										V																																																															대지방어의 스튜\n땅저항력 6증가
마법속성방어 스킬 1레벨		V																																													V		V																																																														V	V																																																																								V																																																																	마법방어의 스튜\n마법저항력 4증가
마법속성방어 스킬 2레벨		V																																													V		V																																																														V	V																																																																								V																																																																	정신방어의 스튜\n마법저항력 6증가
이벤트아이템용01		V																																													V		V																																																														V	V																																																																							V																																																																		물리방어력7포인트상승
이벤트아이템용02		V																																													V		V																																																														V	V																																																																																															V																																										최대생명35%상승
이벤트아이템용03		V																																													V		V																																																														V	V																																																					V									V																																																																											물리공격력7포인트상승
이벤트아이템용04		V																																																																																																																																																																																																																																																							
이벤트아이템용05		V																																																																																																																																																																																																																																																							
행운 부적-정량제<30분>																																																																																																																																																																																																																																																									각성의 부적-정량제<30분>
행운 부적-정량제<60분>																																																																																																																																																																																																																																																									각성의 부적-정량제<60분>
행운 부적-정액제<1일>																																																																																																																																																																																																																																																									각성의 부적-정액제<1일>
행운 부적-정액제<3일>																																																																																																																																																																																																																																																									각성의 부적-정액제<3일>
행운 부적-정액제<14일>																																																																																																																																																																																																																																																									각성의 부적-정액제<14일>
행운 부적-정액제<7일>																																																																																																																																																																																																																																																									럭키 넘버 슬레븐-정액제<7일>
거인의 물약																																																																																																																																																																																																																																																									초대형 거인의 물약
회피의 물약																																																																																																																																																																																																																																																									초대형 회피의 물약
초대형 광속의 물약																																																																																																																																																																																																																																																									초대형 광속의 물약
초대형 방어의 물약																																																																																																																																																																																																																																																									초대형 방어의 물약
초대형 신속의 물약																																																																																																																																																																																																																																																									초대형 신속의 물약
렌즈스톤																																																																																																																																																																																																																																																									렌즈스톤
고기 잘라내기	몬스터 특정 부위의 고기를 얻을 수 있다\n획득 아이템은 요리하기 재료로 사용됨	V																V																																																																																											V																																																																																																																																												고기잘라내기 가능
가죽 벗기기	몬스터 가죽을 벗길 수 있다\n획득 아이템은 연금술 재료로 사용됨	V																V																																																																																											V																																																																																																																																												가죽벗기기 가능
시체 뒤지기	몬스터 시체를 뒤져 아이템을 획득할 수 있다\n획득 아이템은 요리하기와 연금술의 재료로 사용됨	V																V																																																																																											V																																																																																																																																												시체뒤지기 가능
요리하기	채취한 재료를 이용하여 요리를 만들 수 있다	V																V																																																																																											V																																																																																																																																												요리하기 가능
연금술	채취한 재료를 이용하여 변신 물약을 만들 수 있다	V																V																																																																																											V																																																																																																																																												연금술 가능
<BOSS><고블린 추장>컨퓨전		V	V																					V																						V	V					V		V	V																																																																																																																																																																																																		
<BOSS><홉 고블린 족장>스콘		V	V																		V																									V	V					V	V																																																																																																																																																																																																				
<BOSS><바이퍼 왕>인세너티		V	V																			V																								V	V					V		V	V																																																																																																																																																																																																		
<BOSS><스켈레톤 커맨더>소울 버닝		V	V																																												V																																																																																																																																																																																																										
<BOSS><스켈레톤 커맨더>서먼 스켈레톤		V	V																		V																									V	V					V		V	V																																																																																																																																																																																																		
<BOSS><리자드맨 로드>디스트럭션		V	V																																												V																																																																																																																																																																																																										
<BOSS><켄타우르스 대장>스피어 블라스트		V	V																				V																							V	V					V		V	V																																																																																																																																																																																																		
<BOSS><좀비 로드>어프리션		V	V																					V																						V	V					V	V																																																																																																																																																																																																				
<BOSS><하피 퀸>스톰		V	V																									V																		V	V					V	V																																																																																																																																																																																																				
<BOSS><마법박쥐 리더>소닉 웨이브		V	V																		V																									V	V					V		V	V																																																																																																																																																																																																		
<BOSS><거대 거미 퀸>포이즌 웹		V	V																							V																				V	V					V	V																																																																																																																																																																																																				
<BOSS><그리폰>라이트드롭		V	V																			V																								V	V					V		V	V																																																																																																																																																																																																		
<BOSS><와이번>로드 인페르노		V	V																						V																					V	V					V		V	V																																																																																																																																																																																																		
<BOSS><트롤>어스 리프트		V	V																					V																						V	V					V		V	V																																																																																																																																																																																																		
<BOSS><히드라>커스 서클		V	V																			V																								V	V					V		V	V																																																																																																																																																																																																		
<BOSS><만티코어>매지컬 사인		V	V																		V																									V	V					V		V	V																																																																																																																																																																																																		
<BOSS><스프리건 로드>스프리건		V	V																						V																					V	V					V	V																																																																																																																																																																																																				
<BOSS><마릴리스 프린세스>퀸 오브 워터		V	V																			V																								V	V					V	V																																																																																																																																																																																																				
<BOSS><엔트 로드>어드 마인드		V	V																					V																						V	V					V	V																																																																																																																																																																																																				
<BOSS><뱀파이어 프린스>블러드 사인		V	V																								V																			V	V					V	V																																																																																																																																																																																																				
<BOSS><라미아 퀸>라미아 파워		V	V																			V																								V	V					V	V																																																																																																																																																																																																				
<BOSS><구울 킹>포그 오브 베놈		V	V																							V																				V	V					V	V																																																																																																																																																																																																				
<BOSS><기간테스>익스플로전 플레임		V	V																						V																					V	V					V	V																																																																																																																																																																																																				
<BOSS><브론즈드래곤 시드>스킬		V	V																						V																					V	V					V	V																																																																																																																																																																																																				
<BOSS><뱀파이어퀸>근접스킬		V	V																	V	V	V	V	V	V	V	V	V																		V	V					V	V																																																																																																																																																																																																				
<BOSS><뱀파이어퀸>범위스킬		V	V																	V	V	V	V	V	V	V	V	V																		V	V					V	V																																																																																																																																																																																																				
<BOSS><케인독 대장>스킬		V	V																																											V	V																																																																																																																																																																																																										
<BOSS><놀보스>스킬		V	V																																											V	V																																																																																																																																																																																																										
<BOSS><벤덜리언 보스>스킬		V	V																																											V	V																																																																																																																																																																																																										
<BOSS><그리플러킹>스킬		V	V																																											V	V																																																																																																																																																																																																										
<BOSS><토탈 브로큰>스킬		V	V																																											V	V																																																																																																																																																																																																										
<MOB>마법정령스킬		V																																															V																																													V																																																																																																																																																											
<MOB>물정령스킬		V																																															V																																													V																																																																																																																				V																																							
<MOB>공기정령스킬		V																																															V																																													V																																																																				V																																																																																							
<MOB>땅정령스킬		V																																															V																																													V																																																																																									V																																																																		
<MOB>불정령스킬		V																																															V												V																																	V									V																																																																																																																																																		
<MOB>독정령스킬		V																																															V													V																																V									V																																																																																																																																																		
<MOB>얼음정령스킬		V																																															V																																													V																																																																																																											V																																																
<MOB>번개정령스킬		V																																																																																									V			V																																																																																																																																																											
무적상태		V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V																														V																																																																																																																																																																																																								
<소환>라이트닝 트랩<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>마법정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>물정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>공기정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>땅정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>불정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>독정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>얼음정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
<MOB>번개정령스킬<추가효과>		V																																																																																																																																																																																																																																																							
헬 바운드	대상을 원거리로 공격	V	V	V									V					V	V											V												V		V		V	V	V				V																																																									V				V																																																																																																																																								
스피어 애로우	직선 범위의 대상을 관통 공격	V	V	V									V					V	V											V												V		V		V	V	V				V		V	V																																																						V				V																																																																																																																																								
트루 임펙트	대상을 짧은 원거리로 공기의 힘으로 강하게 공격	V	V	V									V					V	V											V			V									V		V		V	V	V				V																																																									V				V																																																																																																																																								
점핑 샷	대상을 공중에서 공격	V	V	V									V					V	V											V												V		V		V	V	V				V																																																									V				V																																																																																																																																								
체인 리액션	일정시간동안 대상의 이동속도와 공격속도 감소 (보우 전용)	V	V	V									V					V	V											V												V		V		V	V	V	V			V																																																									V																																																																																												V									V																																							
멀티 스트라이크	카타리아로 여러 대상을 공격 (카타리아 전용)	V	V	V									V					V	V											V												V				V	V	V				V		V	V																																																						V									V																																																																																																																																			
파워 카타리아	카타리아로 강하게 대상을 공격 (카타리아 전용)	V	V	V									V					V	V											V		V										V				V	V	V				V																																																									V																																																																																																																																												
스나이프	대상을 먼거리에서 공격 (보우 전용)	V	V	V									V					V	V											V												V		V		V	V	V				V																																																									V																																																																																																																																												
시퀀스 어택	대상을 연속적으로 공격	V	V	V									V					V	V											V												V		V		V	V	V				V																																																									V																																																																																																																																												
타임 어택	대상을 시간차 공격	V	V	V									V					V	V											V												V				V	V	V	V			V																																																									V																																																																																																																																												
쉐도우 체이서	대상을 텔레포트 공격	V	V	V									V					V	V											V												V				V	V	V				V																																																									V																																																																																																																																												
엘리멘탈 코어	원형 범위내 대상들을 물의 힘으로 공격	V	V	V									V					V	V											V		V										V		V		V	V	V				V	V																																																								V																																																																																																																																												
에어 워크	일정시간동안 이동속도 증가	V	V		V								V					V	V																							V				V	V	V	V																																																												V																																																																																												V																																																이동속도증가
엘리멘탈 디펜스	일정시간동안 정령속성 저항력 증가	V	V		V								V					V	V																							V				V	V	V	V																																																												V																																																																											V	V	V	V	V																																																													정령저항증가
파인 보우	활에 대미지 추가	V	V		V								V					V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
파인 카타리아	카타리아에 대미지 추가	V	V		V								V					V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
플레임 포스	불의 힘을 이용해 자기주위의 대상을 지속공격	V	V		V								V					V	V																							V				V	V	V	V	V			V																																																								V																		V																																																																																																																										불지속대미지
마나 익스팅션	일정시간동안 공격 성공 시 마나흡수	V	V		V								V					V	V																							V				V	V	V	V																																															V													V																																																																																																																																												마나흡수
라이프 익스팅션	일정시간동안 공격 성공 시 생명흡수	V	V		V								V					V	V																							V				V	V	V	V																																														V														V																																																																																																																																												생명흡수
이터널 소울	일정시간동안 영웅의 혼이 강림하여 자신의 상태 강화	V	V		V								V					V	V																							V				V	V	V	V																																																												V																																		V	V		V																																																																																																							상태강화
문라잇 피버	"일정시간동안 밤에는 공격력 증가, 낮에는 방어력 증가"	V	V		V								V					V	V																							V				V	V	V	V																																																												V																																																								V									V									V																																																																		물리공격력증가(밤)\n물리방어력증가(낮)
배드 프렌즈	일정시간동안 몬스터를 아군으로 변화	V	V		V								V					V	V																							V				V	V	V	V																																													V															V										V																																																																																																																																		아군변화
모탈 대거	원형 범위내 대상들을 회전공격	V	V	V									V					V	V											V		V										V				V	V	V				V	V																																																								V																																																																																																																																												
인비저블	일정시간동안 자신의 몸을 가림. 공격 및 스킬사용 시 자동풀림	V	V		V								V					V	V																							V				V	V	V	V																																																												V																																																																																																																																												투명효과
라이트닝 트랩	번개의 힘을 이용한 트랩	V	V										V					V	V																							V				V	V	V	V																																																												V							V			V																																																																																																																																		
<소환>라이트닝 트랩		V																V																																V			V																																																																													V																																																																																																																							
인텐션	물리저항력 증가	V	V										V					V	V																																																																																										V																																																																																			V																																																									
샤프 포인트	공격성공률 증가	V	V										V					V	V																																																																																										V																																																					V																																																																																							
문라잇 브레스	크리티컬 공격력 증가	V	V										V					V	V																																																																									V		V															V																																																																																																																																												
그로스 오브 라이프	생명포인트 증가	V	V										V					V	V																																																																																										V																																																																																																		V																																										
마이트		V	V											V				V																								V				V	V	V				V																																																													V																																																																																																																																								
콜 오브 워터	물의 정령 '그리올리' 소환. 물정령의 힘으로 대상에게 공격속도 감소	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					물정령소환수 '그리올리'
<소환>콜 오브 워터		V												V				V		V		V																																																																								V																						V																																							V				V			V																																																V																																							공격속도감소
<소환>콜 오브 워터<추가효과>		V												V				V																															V																																																																			V																																																																																					V																																																공격속도감소
콜 오브 파이어	불의 정령 '투우가' 소환. 불정령의 힘으로 대상에게 불 지속대미지	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					불정령소환수 '투우가'
<소환>콜 오브 파이어		V												V				V		V					V																									V			V																																									V																						V											V																												V				V			V																																																V																																							불지속대미지
<소환>콜 오브 파이어<추가효과>		V												V				V																																V			V																																																															V											V																																																																																																																										불지속대미지
콜 오브 윈드	공기의 정령 '실피드' 소환. 공기정령의 힘으로 대상에게 명중률 감소	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					공기정령소환수 '실피드'
<소환>콜 오브 윈드		V												V				V		V			V																																																																							V																						V																																							V				V			V																																																V																																							명중률감소
<소환>콜 오브 윈드<추가효과>		V												V				V																															V																																																																			V																																														V																																																																																							명중률감소
스노우 헤저드	대상에게 얼음의 힘으로 공격	V	V	V										V				V	V								V			V												V				V	V	V				V																																							V			V															V																																																																																																																																												스턴효과
콜 오브 어스	땅의 정령 '그라디언' 소환. 땅정령의 힘으로 대상에게 방어력 감소	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					땅정령소환수 '그라디언'
<소환>콜 오브 어스		V												V				V		V				V																																																																						V																						V																																							V				V			V																																																V																																							물리방어력감소
<소환>콜 오브 어스<추가효과>		V												V				V																															V																																																																			V																																																																			V																																																																		물리방어력감소
콜 오브 매직	마법의 정령 '머큐리' 소환. 마법정령의 힘으로 대상에게 공격봉쇄	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					마법정령소환수 '머큐리'
<소환>콜 오브 매직		V												V				V		V	V																																																																									V																						V																																							V				V			V																																																V																																							공격봉쇄
<소환>콜 오브 매직<추가효과>		V												V				V																															V																																																																			V																																																																																																																																					공격봉쇄
디센트 오브 썬더	대상에게 번개의 힘으로 공격	V	V	V										V				V	V									V		V								V				V				V	V	V				V																																																									V																																																																																																																																												
포이즌 에어	원형 범위내 대상들을 독 공격	V	V	V										V				V	V							V				V						V						V				V	V	V	V			V	V									V																																									V						V																																																																																																																																												독지속대미지
엘리멘탈 스톰	원형 범위내의 대상들을 정령대미지로 공격	V	V	V										V				V	V		V	V	V	V	V	V	V	V		V												V				V	V	V				V	V																																																								V																																																																																																																																												
콜 오브 베놈	독의 정령 '베놈' 소환. 독정령의 힘으로  대상에게 독 지속대미지	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					독정령소환수 '베놈'
<소환>콜 오브 베놈		V												V				V		V						V																																																																				V																						V																																							V				V			V																																																V																																							독지속대미지
<소환>콜 오브 베놈<추가효과>		V												V				V																															V													V																																																						V																																																																																																																																					독지속대미지
콜 오브 아이스	얼음의 정령 '시그너스' 소환. 얼음정령의 힘으로 대상에게 이동속도 감소	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					얼음정령소환수 '시그너스'
<소환>콜 오브 아이스		V												V				V		V							V																																																																			V																						V																																							V				V			V																																																V																																							이동속도감소
<소환>콜 오브 아이스<추가효과>		V												V				V																															V																																																																			V																																																																																					V																																																이동속도감소
콜 오브 라이트닝	번개의 정령 '실버' 소환. 번개정령의 힘으로 대상에게 스턴공격	V	V		V									V				V	V																							V				V	V	V	V																																																												V					V		V																																																																																																																																					번개정령소환수 '실버'
<소환>콜 오브 라이트닝		V												V				V		V								V																																																																		V																						V																																							V				V			V																																																V																																							스턴효과
<소환>콜 오브 라이트닝<추가효과>		V												V				V																																																																									V																									V																																																																																																																																					스턴효과
홀리 그라운드	일정시간동안 원형 범위안에서 생명과 마나재생능력 증가	V	V											V				V	V																							V				V	V	V	V																																																												V							V			V																																																																																																																																		생명마나재생
<소환>홀리 그라운드		V												V				V																																V			V																																																															V																																																																																																																																					생명마나재생
<소환>홀리 그라운드<추가효과>		V												V				V																																			V																																												V	V																		V																																																																																																																																					생명마나재생
블레싱 오브 문라잇	정령 소환수의 정령 공격력 증가	V	V		V									V				V	V																							V				V	V	V	V																																																												V																																																									V	V	V	V	V					V	V	V	V	V																																																																						정령공격력증가
파인 스태프	스태프 대미지 추가	V	V		V									V				V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
파인 차크람	차크람 대미지 추가	V	V		V									V				V	V																							V				V	V	V	V																																																												V																																																								V									V																																																																											물리공격력증가
블레스 오브 페어리	일정시간동안 자신의 생명력 증가	V	V		V									V				V	V																							V				V	V	V	V																																																												V																																																																																																		V																																										생명력증가
프로스트 아머	일정시간동안 방어력 증가. 추가로 적의 공격속도 감소	V	V		V									V				V	V																							V				V	V	V	V																																																												V							V																																																																			V																																																																		물리방어력증가
프로스트 아머<추가효과>		V												V				V																															V																																																																																																																																																																	V																																							공격속도감소
소울 바리어	일정시간동안 일정확률로 공격방어	V	V		V									V				V	V																							V				V	V	V	V																																													V															V																																																																																																																																												공격방어
리콜	파티원 소환	V	V		V									V				V	V																							V				V	V	V																																																													V																																																																																																																																												
라이트닝 피어	원거리 원형 범위내의 대상들을 번개의 힘으로 공격. 추가로  적의 이동속도 감소	V	V		V									V				V	V									V		V								V				V				V	V	V	V			V	V											V																																							V						V																																																																																												V																																																
하이퍼 소울 디펜스	자신을 포함한 정령 소환수의 정령 저항력 증가	V	V		V									V				V	V																							V				V	V	V	V																																																												V																																																																											V	V	V	V	V																																																													정령저항력증가
인크리즈 게이트	정령 소환수의 개체 수 증가	V	V		V									V				V	V																							V				V	V	V	V																																																												V										V																																																																																																																																		소환수개체증가
디센트 오브 루나	자신을 포함한 정령 소환수의 체력을 회복	V	V		V									V				V	V																							V				V	V	V				V	V																																																								V																																									V																																																																																																			
뮤테이션	일정시간동안 적을 크리처로 변이	V	V		V									V				V	V																							V				V	V	V	V																																																												V						V																																																																																																																																						크리처변이
엘리먼트 힐	정령 소환수의 생명 증가	V	V											V				V	V																																																																																										V																																																																																																																																												생명증가
엘리먼트 힐<추가효과>																																																																																																																																																																																																															V																																										생명증가
디펜스 마스터	기본 방어력 증가	V	V											V				V	V																																																																																										V																																																																										V																																																																		
컴뱃 마스터	기본 공격력 증가	V	V											V				V	V																																																																																										V																																																								V									V																																																																											
타임 리커버리	기술의 지속시간 증가	V	V											V				V	V																																																																																										V								V																																																																																																																																				
