TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Type	SubType	ExtraType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling	QuestItem	Gacha_Type_Numer	GachaRank	StaminaCure	RemainPetStamina	GachaMinLv	GachaMaxLv	Item_section_num	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
2177	Mindbuster Bracelets	26	20	31	4	1									7	100	3	11968874		1232	51			3	47	2	2	1	3																					5	5																																				15	Unique Armor	154	Mage(Human)	12																			169;14;237;238;19	1		2	2			20	32				
2178	Mindbuster Kilt	26	20	31	4	1									7	100	3	11968874		2464	103			3	62	2	3	2	4																					9																																					15	Unique Armor	154	Mage(Human)	12																			171;172;174;167;25;164;173;165	1		2	2			20	32				
2179	Mindbuster Boots	26	20	31	4	1									7	100	3	11968874		1232	51			3	47	2	2	1	3																					5			5																																		15	Unique Armor	154	Mage(Human)	12																			73;70;212;211	1		2	2			20	32				
4171	Mindbuster Garb	26	20	31	4	1									8	100	4	11427313		6160	257			4	90	3	4	3	5																					19																																					17	Elite Armor	174	Mage(Human)	13																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	3			20	32				
4172	Mindbuster Bracelets	26	20	31	4	1									8	100	4	11427313		1232	51			4	61	2	2	1	3																					11	11																																				17	Elite Armor	174	Mage(Human)	13																			169;14;237;238;19	1		2	3			20	32				
4173	Mindbuster Kilt	26	20	31	4	1									8	100	4	11427313		2464	103			4	81	2	3	2	4																					15																																					17	Elite Armor	174	Mage(Human)	13																			171;172;174;167;25;164;173;165	1		2	3			20	32				
4174	Mindbuster Boots	26	20	31	4	1									8	100	4	11427313		1232	51			4	61	2	2	1	3																					11			11																																		17	Elite Armor	174	Mage(Human)	13																			73;70;212;211	1		2	3			20	32				
679	Flowmetal Cap	30	24	35	4	1									5	400	1			3040	127			1	22			1	2																					2																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
678	Flowmetal Garb	30	24	35	4	1									5	400	1			15120	630			1	50	1	4	2	4																					6																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
681	Flowmetal Bracelets	30	24	35	4	1									5	400	1			3040	127			1	34	1	2	1	2																					3																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
682	Flowmetal Kilt	30	24	35	4	1									5	400	1			6080	253			1	45	1	3	1	3																					5																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
683	Flowmetal Boots	30	24	35	4	1									5	400	1			3040	127			1	34	1	2	1	2																					3																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
2347	Mirrorin Headband	35	29	40	4	1									6	300	2	16777040		3648	152			2	27			1	2																					3																																					13	Rare Armor	134	Mage(Human)	11																				1		2	1			29	41				
2348	Mirrorin Garb	35	29	40	4	1									6	300	2	16777040		18144	756			2	61	2	4	3	5																					12																																					13	Rare Armor	134	Mage(Human)	11																				1		2	1			29	41				
2350	Mirrorin Bracelets	35	29	40	4	1									6	300	2	16777040		3648	152			2	40	2	2	1	3																					5	4																																				13	Rare Armor	134	Mage(Human)	11																				1		2	1			29	41				
2351	Mirrorin Kilt	35	29	40	4	1									6	300	2	16777040		7296	304			2	54	2	3	2	4																					9																																					13	Rare Armor	134	Mage(Human)	11																				1		2	1			29	41				
2352	Mirrorin Boots	35	29	40	4	1									6	300	2	16777040		3648	152			2	40	2	2	1	3																					5			4																																		13	Rare Armor	134	Mage(Human)	11																				1		2	1			29	41				
2323	Skulletto Headband	35	29	40	4	1									7	100	3	11968874		4256	177			3	31			1	2																					4																																					15	Unique Armor	154	Mage(Human)	12																			351;352;355;354;353	1		2	2			29	41				
2324	Skulletto Garb	35	29	40	4	1									7	100	3	11968874		21168	882			3	70	3	4	3	5																					15																																					15	Unique Armor	154	Mage(Human)	12																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2			29	41				
2326	Skulletto Bracelets	35	29	40	4	1									7	100	3	11968874		4256	177			3	47	2	2	1	3																					6	6																																				15	Unique Armor	154	Mage(Human)	12																			169;14;237;238;19	1		2	2			29	41				
2327	Skulletto Kilt	35	29	40	4	1									7	100	3	11968874		8512	355			3	62	2	3	2	4																					11																																					15	Unique Armor	154	Mage(Human)	12																			171;172;174;167;25;164;173;165	1		2	2			29	41				
2328	Skulletto Boots	35	29	40	4	1									7	100	3	11968874		4256	177			3	47	2	2	1	3																					6			6																																		15	Unique Armor	154	Mage(Human)	12																			73;70;212;211	1		2	2			29	41				
4175	Skulletto Headband	35	29	40	4	1									8	100	4	11427313		4256	177			4	40			1	2																					10																																					17	Elite Armor	174	Mage(Human)	13																			351;352;355;354;353	1		2	3			29	41				
4176	Skulletto Garb	35	29	40	4	1									8	100	4	11427313		21168	882			4	90	3	4	3	5																					21																																					17	Elite Armor	174	Mage(Human)	13																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	3			29	41				
4177	Skulletto Bracelets	35	29	40	4	1									8	100	4	11427313		4256	177			4	61	2	2	1	3																					12	12																																				17	Elite Armor	174	Mage(Human)	13																			169;14;237;238;19	1		2	3			29	41				
4178	Skulletto Kilt	35	29	40	4	1									8	100	4	11427313		8512	355			4	81	2	3	2	4																					17																																					17	Elite Armor	174	Mage(Human)	13																			171;172;174;167;25;164;173;165	1		2	3			29	41				
4179	Skulletto Boots	35	29	40	4	1									8	100	4	11427313		4256	177			4	61	2	2	1	3																					12			12																																		17	Elite Armor	174	Mage(Human)	13																			73;70;212;211	1		2	3			29	41				
685	Brightwill Cap	39	33	44	4	1									5	400	1			9120	380			1	22			1	2																					2																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
684	Brightwill Garb	39	33	44	4	1									5	400	1			45600	1900			1	50	1	4	2	4																					8																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
687	Brightwill Bracelets	39	33	44	4	1									5	400	1			9120	380			1	34	1	2	1	2																					4																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
688	Brightwill Kilt	39	33	44	4	1									5	400	1			18240	760			1	45	1	3	1	3																					6																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
689	Brightwill Boots	39	33	44	4	1									5	400	1			9120	380			1	34	1	2	1	2																					4																																					11	Normal Armor	114	Mage(Human)	10																				1		2									
2353	Idea Call Headband	44	38	49	4	1									6	300	2	16777040		10944	456			2	27			1	2																					4																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1			38	50				
2354	Idea Call Garb	44	38	49	4	1									6	300	2	16777040		54720	2280			2	61	2	4	3	5																					13																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1			38	50				
2356	Idea Call Bracelets	44	38	49	4	1									6	300	2	16777040		10944	456			2	40	2	2	1	3																					6	5																																				13	Rare Armor	134	Mage(Human)	12																				1		2	1			38	50				
2357	Idea Call Kilt	44	38	49	4	1									6	300	2	16777040		21888	912			2	54	2	3	2	4																					10																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1			38	50				
2358	Idea Call Boots	44	38	49	4	1									6	300	2	16777040		10944	456			2	40	2	2	1	3																					6			5																																		13	Rare Armor	134	Mage(Human)	12																				1		2	1			38	50				
2329	Cold Vengeance Headband	44	38	49	4	1									7	100	3	11968874		12768	532			3	31			1	2																					5																																					15	Unique Armor	154	Mage(Human)	13																			351;352;355;354;353	1		2	2			38	50				
2330	Cold Vengeance Garb	44	38	49	4	1									7	100	3	11968874		63840	2660			3	70	3	4	3	5																					16																																					15	Unique Armor	154	Mage(Human)	13																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2			38	50				
2332	Cold Vengeance Bracelets	44	38	49	4	1									7	100	3	11968874		12768	532			3	47	2	2	1	3																					7	7																																				15	Unique Armor	154	Mage(Human)	13																			169;14;237;238;19	1		2	2			38	50				
2333	Cold Vengeance Kilt	44	38	49	4	1									7	100	3	11968874		25536	1064			3	62	2	3	2	4																					12																																					15	Unique Armor	154	Mage(Human)	13																			171;172;174;167;25;164;173;165	1		2	2			38	50				
2334	Cold Vengeance Boots	44	38	49	4	1									7	100	3	11968874		12768	532			3	47	2	2	1	3																					7			7																																		15	Unique Armor	154	Mage(Human)	13																			73;70;212;211	1		2	2			38	50				
4180	Cold Vengeance Headband	44	38	49	4	1									8	100	4	11427313		12768	532			4	40			1	2																					11																																					17	Elite Armor	174	Mage(Human)	14																			351;352;355;354;353	1		2	3			38	50				
4181	Cold Vengeance Garb	44	38	49	4	1									8	100	4	11427313		63840	2660			4	90	3	4	3	5																					22																																					17	Elite Armor	174	Mage(Human)	14																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	3			38	50				
4182	Cold Vengeance Bracelets	44	38	49	4	1									8	100	4	11427313		12768	532			4	61	2	2	1	3																					13	13																																				17	Elite Armor	174	Mage(Human)	14																			169;14;237;238;19	1		2	3			38	50				
4183	Cold Vengeance Kilt	44	38	49	4	1									8	100	4	11427313		25536	1064			4	81	2	3	2	4																					18																																					17	Elite Armor	174	Mage(Human)	14																			171;172;174;167;25;164;173;165	1		2	3			38	50				
4184	Cold Vengeance Boots	44	38	49	4	1									8	100	4	11427313		12768	532			4	61	2	2	1	3																					13			13																																		17	Elite Armor	174	Mage(Human)	14																			73;70;212;211	1		2	3			38	50				
1141	Spellmaster Cap	48	42	53	4	1									5	400	1			23200	967			1	22			1	2																					3																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
1140	Spellmaster Garb	48	42	53	4	1									5	400	1			116000	4833			1	50	1	4	2	4																					10																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
1143	Spellmaster Bracelets	48	42	53	4	1									5	400	1			23200	967			1	34	1	2	1	2																					4																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
1144	Spellmaster Kilt	48	42	53	4	1									5	400	1			46400	1933			1	45	1	3	1	3																					7																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
1145	Spellmaster Boots	48	42	53	4	1									5	400	1			23200	967			1	34	1	2	1	2																					4																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
2359	Heartfind Headband	52	46	57	4	1									6	300	2	16777040		27840	1160			2	27			1	2																					4																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1			46	61				
2360	Heartfind Garb	52	46	57	4	1									6	300	2	16777040		139200	5800			2	61	2	4	3	5																					15																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1			46	61				
2362	Heartfind Bracelets	52	46	57	4	1									6	300	2	16777040		27840	1160			2	40	2	2	1	3																					7	6																																				13	Rare Armor	134	Mage(Human)	12																				1		2	1			46	61				
2363	Heartfind Kilt	52	46	57	4	1									6	300	2	16777040		55680	2320			2	54	2	3	2	4																					11																																					13	Rare Armor	134	Mage(Human)	12																				1		2	1			46	61				
2364	Heartfind Boots	52	46	57	4	1									6	300	2	16777040		27840	1160			2	40	2	2	1	3																					7			6																																		13	Rare Armor	134	Mage(Human)	12																				1		2	1			46	61				
2335	Enigma Sign Headband	52	46	57	4	1									7	100	3	11968874		32480	1353			3	31			1	2																					5																																					15	Unique Armor	154	Mage(Human)	13																			351;352;355;354;353	1		2	2			46	61				
2336	Enigma Sign Garb	52	46	57	4	1									7	100	3	11968874		162400	6767			3	70	3	4	3	5																					18																																					15	Unique Armor	154	Mage(Human)	13																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2			46	61				
2338	Enigma Sign Bracelets	52	46	57	4	1									7	100	3	11968874		32480	1353			3	47	2	2	1	3																					8	8																																				15	Unique Armor	154	Mage(Human)	13																			169;14;237;238;19	1		2	2			46	61				
2339	Enigma Sign Kilt	52	46	57	4	1									7	100	3	11968874		64960	2707			3	62	2	3	2	4																					13																																					15	Unique Armor	154	Mage(Human)	13																			171;172;174;167;25;164;173;165	1		2	2			46	61				
2340	Enigma Sign Boots	52	46	57	4	1									7	100	3	11968874		32480	1353			3	47	2	2	1	3																					8			8																																		15	Unique Armor	154	Mage(Human)	13																			73;70;212;211	1		2	2			46	61				
4185	Enigma Sign Headband	52	46	57	4	1									8	100	4	11427313		32480	1353			4	40			1	2																					11																																					17	Elite Armor	174	Mage(Human)	14																			351;352;355;354;353	1		2	3			46	61				
4186	Enigma Sign Garb	52	46	57	4	1									8	100	4	11427313		162400	6767			4	90	3	4	3	5																					24																																					17	Elite Armor	174	Mage(Human)	14																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	3			46	61				
4187	Enigma Sign Bracelets	52	46	57	4	1									8	100	4	11427313		32480	1353			4	61	2	2	1	3																					14	14																																				17	Elite Armor	174	Mage(Human)	14																			169;14;237;238;19	1		2	3			46	61				
4188	Enigma Sign Kilt	52	46	57	4	1									8	100	4	11427313		64960	2707			4	81	2	3	2	4																					19																																					17	Elite Armor	174	Mage(Human)	14																			171;172;174;167;25;164;173;165	1		2	3			46	61				
4189	Enigma Sign Boots	52	46	61	4	1									8	100	4	11427313		32480	1353			4	61	2	2	1	3																					14			14																																		17	Elite Armor	174	Mage(Human)	14																			73;70;212;211	1		2	3			46	61				
2023	Perma Cap	56	50	61	4	1									5	400	1			31200	1300			1	22			1	2																					3																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
2025	Perma Garb	56	50	61	4	1									5	400	1			156000	6500			1	50	1	4	2	4																					12																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
2027	Perma Bracelets	56	50	61	4	1									5	400	1			31200	1300			1	34	1	2	1	2																					5																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
2028	Perma Kilt	56	50	61	4	1									5	400	1			62400	2600			1	45	1	3	1	3																					9																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
2029	Perma Boots	56	50	61	4	1									5	400	1			31200	1300			1	34	1	2	1	2																					5																																					11	Normal Armor	114	Mage(Human)	11																				1		2									
2365	Lost Oracle Headband	60	54	65	4	1									6	300	2	16777040		37440	1560			2	27			1	2																					5																																					13	Rare Armor	134	Mage(Human)	13																				1		2	1			54	69				
2366	Lost Oracle Garb	60	54	65	4	1									6	300	2	16777040		187200	7800			2	61	2	4	3	5																					17																																					13	Rare Armor	134	Mage(Human)	13																				1		2	1			54	69				
2368	Lost Oracle Bracelets	60	54	65	4	1									6	300	2	16777040		37440	1560			2	40	2	2	1	3																					8	7																																				13	Rare Armor	134	Mage(Human)	13																				1		2	1			54	69				
2369	Lost Oracle Kilt	60	54	65	4	1									6	300	2	16777040		74880	3120			2	54	2	3	2	4																					12																																					13	Rare Armor	134	Mage(Human)	13																				1		2	1			54	69				
2370	Lost Oracle Boots	60	54	65	4	1									6	300	2	16777040		37440	1560			2	40	2	2	1	3																					8			7																																		13	Rare Armor	134	Mage(Human)	13																				1		2	1			54	69				
2341	Highcoma Headband	60	54	65	4	1									7	100	3	11968874		43680	1820			3	31			1	2																					6																																					15	Unique Armor	154	Mage(Human)	14																			351;352;355;354;353	1		2	2			54	69				
2342	Highcoma Garb	60	54	65	4	1									7	100	3	11968874		218400	9100			3	70	3	4	3	5																					20																																					15	Unique Armor	154	Mage(Human)	14																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2			54	69				
2344	Highcoma Bracelets	60	54	65	4	1									7	100	3	11968874		43680	1820			3	47	2	2	1	3																					9	9																																				15	Unique Armor	154	Mage(Human)	14																			169;14;237;238;19	1		2	2			54	69				
2345	Highcoma Kilt	60	54	65	4	1									7	100	3	11968874		87360	3640			3	62	2	3	2	4																					14																																					15	Unique Armor	154	Mage(Human)	14																			171;172;174;167;25;164;173;165	1		2	2			54	69				
2346	Highcoma Boots	60	54	65	4	1									7	100	3	11968874		43680	1820			3	47	2	2	1	3																					9			9																																		15	Unique Armor	154	Mage(Human)	14																			73;70;212;211	1		2	2			54	69				
4190	Highcoma Headband	60	54	65	4	1									8	100	4	11427313		43680	1820			4	40			1	2																					12																																					17	Elite Armor	174	Mage(Human)	15																			351;352;355;354;353	1		2	3			54	69				
4191	Highcoma Garb	60	54	65	4	1									8	100	4	11427313		218400	9100			4	90	3	4	3	5																					26																																					17	Elite Armor	174	Mage(Human)	15																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	3			54	69				
4192	Highcoma Bracelets	60	54	65	4	1									8	100	4	11427313		43680	1820			4	61	2	2	1	3																					15	15																																				17	Elite Armor	174	Mage(Human)	15																			169;14;237;238;19	1		2	3			54	69				
4193	Highcoma Kilt	60	54	65	4	1									8	100	4	11427313		87360	3640			4	81	2	3	2	4																					20																																					17	Elite Armor	174	Mage(Human)	15																			171;172;174;167;25;164;173;165	1		2	3			54	69				
4194	Highcoma Boots	60	54	65	4	1									8	100	4	11427313		43680	1820			4	61	2	2	1	3																					15			15																																		17	Elite Armor	174	Mage(Human)	15																			73;70;212;211	1		2	3			54	69				
2024	Omphalos Cap	64	58	69	4	1									5	400	1			37600	1567			1	22			1	2																					4																																					11	Normal Armor	114	Mage(Human)	12																				1		2									
2030	Omphalos Garb	64	58	69	4	1									5	400	1			188000	7833			1	50	1	4	2	4																					14																																					11	Normal Armor	114	Mage(Human)	12																				1		2									
2032	Omphalos Bracelets	64	58	69	4	1									5	400	1			37600	1567			1	34	1	2	1	2																					6																																					11	Normal Armor	114	Mage(Human)	12																				1		2									
2033	Omphalos Kilt	64	58	69	4	1									5	400	1			75200	3133			1	45	1	3	1	3																					10																																					11	Normal Armor	114	Mage(Human)	12																				1		2									
2034	Omphalos Boots	64	58	69	4	1									5	400	1			37600	1567			1	34	1	2	1	2																					6																																					11	Normal Armor	114	Mage(Human)	12																				1		2									
3101	Shine Eye Headband	68	62	73	4	1									6	300	2	16777040		45120	1880			2	27			1	2																					5																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			62	77				
3100	Shine Eye Garb	68	62	73	4	1									6	300	2	16777040		225600	9400			2	61	2	4	3	5																					19																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			62	77				
3102	Shine Eye Bracelets	68	62	73	4	1									6	300	2	16777040		45120	1880			2	40	2	2	1	3																					8	8																																				13	Rare Armor	134	Mage(Human)	14																				1		2	1			62	77				
3103	Shine Eye Kilt	68	62	73	4	1									6	300	2	16777040		90240	3760			2	54	2	3	2	4																					14																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			62	77				
3104	Shine Eye Boots	68	62	73	4	1									6	300	2	16777040		45120	1880			2	40	2	2	1	3																					8			8																																		13	Rare Armor	134	Mage(Human)	14																				1		2	1			62	77				
3106	Brainbuster Headband	68	62	73	4	1									7	100	3	11968874		52640	2193			3	31			1	2																					6																																					15	Unique Armor	154	Mage(Human)	15																			351;352;355;354;353	1		2	2			62	77				
3105	Brainbuster Garb	68	62	73	4	1									7	100	3	11968874		263200	10967			3	70	3	4	3	5																					22																																					15	Unique Armor	154	Mage(Human)	15																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2			62	77				
3107	Brainbuster Bracelets	68	62	73	4	1									7	100	3	11968874		52640	2193			3	47	2	2	1	3																					9	10																																				15	Unique Armor	154	Mage(Human)	15																			169;14;237;238;19	1		2	2			62	77				
3108	Brainbuster Kilt	68	62	73	4	1									7	100	3	11968874		105280	4387			3	62	2	3	2	4																					16																																					15	Unique Armor	154	Mage(Human)	15																			171;172;174;167;25;164;173;165	1		2	2			62	77				
3109	Brainbuster Boots	68	62	73	4	1									7	100	3	11968874		52640	2193			3	47	2	2	1	3																					9			10																																		15	Unique Armor	154	Mage(Human)	15																			73;70;212;211	1		2	2			62	77				
4196	Brainbuster Headband	68	62	73	4	1									8	100	4	11427313		52640	2193			4	40			1	2																					12																																					17	Elite Armor	174	Mage(Human)	16																			351;352;355;354;353	1		2	3			62	77				
4195	Brainbuster Garb	68	62	73	4	1									8	100	4	11427313		263200	10967			4	90	3	4	3	5																					28																																					17	Elite Armor	174	Mage(Human)	16																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	3			62	77				
4197	Brainbuster Bracelets	68	62	73	4	1									8	100	4	11427313		52640	2193			4	61	2	2	1	3																					15	16																																				17	Elite Armor	174	Mage(Human)	16																			169;14;237;238;19	1		2	3			62	77				
4198	Brainbuster Kilt	68	62	73	4	1									8	100	4	11427313		105280	4387			4	81	2	3	2	4																					22																																					17	Elite Armor	174	Mage(Human)	16																			171;172;174;167;25;164;173;165	1		2	3			62	77				
4199	Brainbuster Boots	68	62	73	4	1									8	100	4	11427313		52640	2193			4	61	2	2	1	3																					15			16																																		17	Elite Armor	174	Mage(Human)	16																			73;70;212;211	1		2	3			62	77				
3111	Grace Headband	72	66	77	4	1									5	400	1			46400	1933			1	22			1	2																					5																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
3110	Grace Garb	72	66	77	4	1									5	400	1			232000	9667			1	50	1	4	2	4																					16																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
3112	Grace Bracelets	72	66	77	4	1									5	400	1			46400	1933			1	34	1	2	1	2																					7																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
3113	Grace Kilt	72	66	77	4	1									5	400	1			92800	3867			1	45	1	3	1	3																					11																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
3114	Grace Boots	72	66	77	4	1									5	400	1			46400	1933			1	34	1	2	1	2																					7																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
3116	Diporward Headband	76	70	81	4	1									6	300	2	16777040		55680	2320			2	27			1	2																					6																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			70	85				
3115	Diporward Garb	76	70	81	4	1									6	300	2	16777040		278400	11600			2	61	2	4	3	5																					21																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			70	85				
3117	Diporward Bracelets	76	70	81	4	1									6	300	2	16777040		55680	2320			2	40	2	2	1	3																					9	9																																				13	Rare Armor	134	Mage(Human)	14																				1		2	1			70	85				
3118	Diporward Kilt	76	70	81	4	1									6	300	2	16777040		111360	4640			2	54	2	3	2	4																					15																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			70	85				
3119	Diporward Boots	76	70	81	4	1									6	300	2	16777040		55680	2320			2	40	2	2	1	3																					9			9																																		13	Rare Armor	134	Mage(Human)	14																				1		2	1			70	85				
3121	Divine Emblem Headband	76	70	81	4	1									7	100	3	11968874		64960	2707			3	31			1	2																					7																																					15	Unique Armor	154	Mage(Human)	15																			351;352;355;354;353	1		2	2			70	85				
3120	Divine Emblem Garb	76	70	81	4	1									7	100	3	11968874		324800	13533			3	70	3	4	3	5																					24																																					15	Unique Armor	154	Mage(Human)	15																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2			70	85				
3122	Divine Emblem Bracelets	76	70	81	4	1									7	100	3	11968874		64960	2707			3	47	2	2	1	3																					10	11																																				15	Unique Armor	154	Mage(Human)	15																			169;14;237;238;19	1		2	2			70	85				
3123	Divine Emblem Kilt	76	70	81	4	1									7	100	3	11968874		129920	5413			3	62	2	3	2	4																					17																																					15	Unique Armor	154	Mage(Human)	15																			171;172;174;167;25;164;173;165	1		2	2			70	85				
3124	Divine Emblem Boots	76	70	81	4	1									7	100	3	11968874		64960	2707			3	47	2	2	1	3																					10			11																																		15	Unique Armor	154	Mage(Human)	15																			73;70;212;211	1		2	2			70	85				
4376	Divine Emblem Headband	76	70	81	4	1									8	100	4	11427313		64960	2707			4	40			1	2																					13																																					17	Elite Armor	174	Mage(Human)	16																			351;352;355;354;353	1		2	3			70	85				
4375	Divine Emblem Garb	76	70	81	4	1									8	100	4	11427313		324800	13533			4	90	3	4	3	5																					30																																					17	Elite Armor	174	Mage(Human)	16																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	3			70	85				
4377	Divine Emblem Bracelets	76	70	81	4	1									8	100	4	11427313		64960	2707			4	61	2	2	1	3																					16	17																																				17	Elite Armor	174	Mage(Human)	16																			169;14;237;238;19	1		2	3			70	85				
4378	Divine Emblem Kilt	76	70	81	4	1									8	100	4	11427313		129920	5413			4	81	2	3	2	4																					23																																					17	Elite Armor	174	Mage(Human)	16																			171;172;174;167;25;164;173;165	1		2	3			70	85				
4379	Divine Emblem Boots	76	70	81	4	1									8	100	4	11427313		64960	2707			4	61	2	2	1	3																					16			17																																		17	Elite Armor	174	Mage(Human)	16																			73;70;212;211	1		2	3			70	85				
5131	Myriad Headband	79	73	84	4	1									5	400	1			63200	2633			1	28			1	2																					6																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
5132	Myriad Garb	79	73	84	4	1									5	400	1			316000	13167			1	63	1	4	2	4																					18																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
5133	Myriad Bracelets	79	73	84	4	1									5	400	1			63200	2633			1	42	1	2	1	2																					8																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
5134	Myriad Kilt	79	73	84	4	1									5	400	1			126400	5267			1	56	1	3	1	3																					13																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
5135	Myriad Boots	79	73	84	4	1									5	400	1			63200	2633			1	42	1	2	1	2																					8																																					11	Normal Armor	114	Mage(Human)	13																				1		2									
5136	Floralsense Headband	83	77	88	4	1									6	300	2	16777040		75840	3160			2	34			1	2																					7																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			77	97				
5137	Floralsense Garb	83	77	88	4	1									6	300	2	16777040		379200	15800			2	76	2	4	3	5																					23																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			77	97				
5138	Floralsense Bracelets	83	77	88	4	1									6	300	2	16777040		75840	3160			2	50	2	2	1	3																					10	10																																				13	Rare Armor	134	Mage(Human)	14																				1		2	1			77	97				
5139	Floralsense Kilt	83	77	88	4	1									6	300	2	16777040		151680	6320			2	67	2	3	2	4																					16																																					13	Rare Armor	134	Mage(Human)	14																				1		2	1			77	97				
5140	Floralsense Boots	83	77	88	4	1									6	300	2	16777040		75840	3160			2	50	2	2	1	3																					10			10																																		13	Rare Armor	134	Mage(Human)	14																				1		2	1			77	97				
5141	Dragon Emperor's Headband	83	77	88	4	1									7	100	3	11968874		88480	3687			3	39			1	2																					8																																					15	Unique Armor	154	Mage(Human)	15																			351;352;355;354;353	1		2	2			77	97				
5142	Dragon Emperor's Garb	83	77	88	4	1									7	100	3	11968874		442400	18433			3	88	3	4	3	5																					26																																					15	Unique Armor	154	Mage(Human)	15																			11;13;23;20;12;16;17;18;15;21;22;24	1		2	2			77	97				
