½ΊΕ³Έν	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb																																																																																																																																																																																																	
<BOSS><Lequimes King> Skill	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<BOSS><Mysterio> Plague of Sob	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<BOSS><Tara> Plague of Max	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<BOSS><Sparta> Spartan Training	1	2	1	1	1304									101																																																																																																																																																																																																																																																			
<BOSS><Mortar> Corpse Miller	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<BOSS><Amantorg> Full Throttle	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<BOSS><Kobolt Dark Wizard> Brain Blizzard	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<BOSS><Fate Insect>Skill1	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<BOSS><Fate Insect>Skill2	1	2	1	1	1304									101																																																																																																																																																																																																																																																			
<BOSS><Fate Insect>Skill3	1	2	1	1	304									101																																																																																																																																																																																																																																																			
Normal Attack	1	2	2	1	202																																					1																																																																																																																																																																																																																							
Force	1	2	1	1	202	1								101																											1																																																																																																																																																																																																																								
Might	1	2	1	1	202	1								101																											1																																																																																																																																																																																																																								
Invincible State	10	2	2	100	1																																																																																																																																																																																																																																																												
Small Movement Speed Potion	10	2	2	100	1															116																																																																																																																																																																																																																																													
Medium Movement Speed Potion	10	2	2	100	1															116																																																																																																																																																																																																																																													
Large Movement Speed Potion	10	2	2	100	1															116																																																																																																																																																																																																																																													
Small Attack Speed Potion	10	2	2	100	1															116																																																																																																																																																																																																																																													
Medium Attack Speed Potion	10	2	2	100	1															116																																																																																																																																																																																																																																													
Large Attack Speed Potion	10	2	2	100	1															116																																																																																																																																																																																																																																													
Maximum Life Increase Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Maximum Mana Increase Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Attack Power Increase Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Defense Power Increase Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Mana Replenishment Skill Level 1	10	2	2	100	1																															2																																																																																																																																																																																																																													
Mana Replenishment Skill Level 2	10	2	2	100	1																															2																																																																																																																																																																																																																													
Mana Replenishment Skill Level 3	10	2	2	100	1																															2																																																																																																																																																																																																																													
Life Replenishment Skill Level 1	10	2	2	100	1																															1																																																																																																																																																																																																																													
Life Replenishment Skill Level 2	10	2	2	100	1																															1																																																																																																																																																																																																																													
Life Replenishment Skill Level 3	10	2	2	100	1																															1																																																																																																																																																																																																																													
Fire Attack Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Fire Attack Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Water Attack Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Water Attack Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Wind Attack Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Wind Attack Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Earth Attack Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Earth Attack Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Magic Attack Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Magic Attack Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Fire Defense Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Fire Defense Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Fire Defense Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Fire Defense Skill Level 4	10	2	2	100	1															116																																																																																																																																																																																																																																													
Water Defense Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Water Defense Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Water Defense Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Water Defense Skill Level 4	10	2	2	100	1															116																																																																																																																																																																																																																																													
Wind Defense Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Wind Defense Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Wind Defense Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Wind Defense Skill Level 4	10	2	2	100	1															116																																																																																																																																																																																																																																													
Earth Defense Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Earth Defense Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Earth Defense Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Earth Defense Skill Level 4	10	2	2	100	1															116																																																																																																																																																																																																																																													
Magic Defense Skill Level 1	10	2	2	100	1															116																																																																																																																																																																																																																																													
Magic Defense Skill Level 2	10	2	2	100	1															116																																																																																																																																																																																																																																													
Magic Defense Skill Level 3	10	2	2	100	1															116																																																																																																																																																																																																																																													
Magic Defense Skill Level 4	10	2	2	100	1															116																																																																																																																																																																																																																																													
Event Item01	10	2	2	100	1															116																																																																																																																																																																																																																																													
Event Item02	10	2	2	100	1															116																																																																																																																																																																																																																																													
Event Item03	10	2	2	100	1															116																																																																																																																																																																																																																																													
Event Item04	10	2	2	100	1																																																																																																																																																																																																																																																												
Event Item05	10	2	2	100	1																																																																																																																																																																																																																																																												
Human Figure	10	2	2	100	1															116																																																																																																																																																																																																																																													
Oak Figure	10	2	2	100	1															116																																																																																																																																																																																																																																													
MoonElf Figure	10	2	2	100	1															116																																																																																																																																																																																																																																													
Archlord Figure	10	2	2	100	1															116																																																																																																																																																																																																																																													
Assorted Fruit	10	2	2	100	1															116																																																																																																																																																																																																																																													
Red-bean Sherbet	10	2	2	100	1															116																																																																																																																																																																																																																																													
Green Tea Sherbert	10	2	2	100	1															116																																																																																																																																																																																																																																													
Fruit Ice	10	2	2	100	1															116																																																																																																																																																																																																																																													
Lucky Charm-Quantative System <30 Minutes>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Lucky Charm-Quantative System <60 Minutes>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Lucky Charm-Flat Sum System <1 Day>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Lucky Charm-Flat Sum System <3 Days>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Lucky Charm-Flat Sum System <14 Days>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Lucky Amulet - Fixed Price <7 days>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Fortune Amulet - Flat Sum System <10 Hours>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Fortune Amulet - Flat Sum System <12 Hours>	10	2	2	100	1																																											2			1	3		1																																																																																																																																																																																																											
Improvement in Drop Rate	10	2	2	100	1																																											2			1	6		1																																																																																																																																																																																																											
Giant Potion	10	2	2	100	1															116																												2			1			1																																																																																																																																																																																																											
Evasion Potion	10	2	2	100	1															10																												2			1			1																																																																																																																																																																																																											
Extra-large Light Speed Potion	10	2	2	100	1															116																												2			1			1																																																																																																																																																																																																											
Extra-large Defense Potion	10	2	2	100	1															116																												2			1			1																																																																																																																																																																																																											
Extra-large Quickness Potion	10	2	2	100	1															116																												2			1			1																																																																																																																																																																																																											
Lens Stone	10	2	2	100	1															116																								4				2			1			1																																																																																																																																																																																																											
Compound Potion	10	2	2	100	1															116																												2			1			1																																																																																																																																																																																																											
Day and Night	40	2	2	100	1																																				2																	1																																																																																																																																																																																																							
Rain Control	40	2	2	100	1																																				2																	2																																																																																																																																																																																																							
Snow Control	40	2	2	100	1																																				2																	4																																																																																																																																																																																																							
Lord Howling	10009	2	2	100	1																																																																																																																																																																																																																																																												
Meteoric Shower	1	2	1	100	701									101																											2																		2																																																																																																																																																																																																						
Evil Light	200	2	2	100	1																																				2					7													1																																																																																																																																																																																																						
<Summon> Evil Light																																																																																																																																																																																																																																																																	
Call Dragon	40	2	2	100	1																																				2																1																																																																																																																																																																																																								
Call Royal Knight	210	2	2	100	1																																				2					1													1																																																																																																																																																																																																						
<Summon> Call Royal Knight																																																																																																																																																																																																																																																																	
Life Top Buff	10	3	2	10	602															10																								5				2	1																																																																																																																																																																																																																
Archon Guard Attack	1	3	1	1	611									101																																			1																																																																																																																																																																																																																
Guard Tower Attack	1	3	1	1	611									101																																			1																																																																																																																																																																																																																
Gate Keeper Titan	210	1	2	100	1	1																																								6													1																																																																																																																																																																																																						
<Summon> Gate Keeper Titan																																																																																																																																																																																																																																																																	
Looter Gargantua	210	1	2	100	1	1																																								6													1																																																																																																																																																																																																						
<Summon> Looter Gargantia																																																																																																																																																																																																																																																																	
Colossal	210	1	2	100	1	1																																								6													1																																																																																																																																																																																																						
<Summon> Collossal																																																																																																																																																																																																																																																																	
Critter	210	1	2	100	1	1																																								6													1																																																																																																																																																																																																						
<Summon> Critter																																																																																																																																																																																																																																																																	
<Di Kayn>DeadlyRaise	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Di Kayn>PoisonCircle	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<Di Kayn>Warlord																																																																																																																																																																																																																																																																	
<Summon>Warlord																																																																																																																																																																																																																																																																	
<MOB>Zebus Crusher Long Distance	1	2	1	1	1304									101																																																																																																																																																																																																																																																			
<BOSS> <Blant Queen> Skill 1	1	2	1	1	1304									101																																																																																																																																																																																																																																																			
<BOSS><Sand Ogre>Skill	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental1	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental2	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental3	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental4	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental5	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental6	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental7	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental8	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental9	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental10	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental11	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<Trap>Ice Elemental12	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<BOSS><Paingrow>CallofName	210	1	2	100	1	1																																								6													1																																																																																																																																																																																																						
<BOSS><Paingrow>IceVoice	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<BOSS><Paingrow>Blizzardra	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<Summon><Paingrow>CallofName																																																																																																																																																																																																																																																																	
CloakofFire	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
CloakofWater	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
CloakofEarth	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
CloakofAir	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
CloakofMagic	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
CloakofIce	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
CloakofThunder	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
CloakofPoison	10	2	2	100	1															116																												2						1																																																																																																																																																																																																											
DetectSkill	20	2	2	100	302												11																																							1			1																																																																																																																																																																																																						
RaceWarBuff	10	2	2	100	1																																											2				1																																																																																																																																																																																																													
<BOSS><Circuitorder>GreatCircuiit	1	2	1	1	1304									101																																																																																																																																																																																																																																																			
<BOSS><Circuitorder>LashVolt	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<BOSS><Circuitorder>ThurnderOrb	1	2	1	1	1304									101																																																																																																																																																																																																																																																			
<Trap>Thunder_thunder	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<Trap>Thunder_fence	1	2	1	1	404									101																																																																																																																																																																																																																																																			
<Trap>Thunder_mirage	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<Trap>Poison_gas	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<Trap>Poison_thorn	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<Trap>Poison_lake	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<BOSS><Dishope>VenomBreath	1	2	1	1	304									101																																																																																																																																																																																																																																																			
<BOSS><Dishope>TrapVine	1	2	1	1	1404									101																																																																																																																																																																																																																																																			
<BOSS><Dishope>PoisonEye	1	2	1	1	304									101																																																																																																																																																																																																																																																			
