LineDelimiter	___
REMIT_MSG_DESC	자신이 저지른 잘못 때문에 괴로워하고 있군요. 과거를 돌려 놓을 수는 없습니다. 하지만 정령의 은총에 따라 기회가 다시 주어지기도 합니다. 그대가 얻은 사면장을 보여주세요. 정령의 이름으로 사면해 드리겠습니다.
REMIT_MSG_CUR_PO	현재 악당 포인트: %d
REMIT_MSG_RM_PO	소멸 가능한 포인트: %d
REMIT_MSG_IND_CNT	사면장: %d
REMIT_MSG_NOT_TP	악당 1단계(포인트 40) 이상 상태가 2시간 이하일 경우 악당 포인트를 소멸할 수 없습니다.
REMIT_MSG_CNF_IND	사면장 %d개로 악당 포인트 %d점을 소멸하시겠습니까?
REMIT_MSG_SUCCESS	악당 포인트 %d점이 소멸되었습니다.

FreeMurdererLv1	악당 1단계가 해제됩니다. 경비병으로부터 공격받지 않습니다.
FreeMurdererLv2	"악당 2단계가 해제됩니다. 만물상인, 병장기 상인, 대장장이 NPC를 사용할 수 있습니다."
FreeMurdererLv3	악당 3단계가 해제됩니다. 사망으로 인한 경험치 손실률이 정상 적용됩니다.
BecomeMurdererLv1	악당 1단계입니다. 경비병으로부터 공격받게 됩니다. 2시간 이후부터 포인트 소멸이 가능해집니다. 포인트를 소멸시키려면 사면관을 찾아가야합니다. 120분간 면죄 받을 수 없습니다.
BecomeMurdererLv2	"악당 2단계입니다. 만물상인, 무기 방어구 판매상인, 대장장이 NPC를 이용할 수 없습니다. 120분간 면죄 받을 수 없습니다."
BecomeMurdererLv3	악당 3단계입니다. 사망시 손실 경험치가 10%증가합니다. 120분간 면죄 받을 수 없습니다.
CharacterPenalty_CantPT	악당 2단계부터는 다른 캐릭터와 거래할 수 없습니다.
CharacterPenalty_CantCharCust	악당 3단계부터는 성형술사를 이용할 수 없습니다.
CharacterPenalty_CantNPC	악당 2단계부터는 상인의 구입/판매 기능을 사용할 수 없습니다.
CharacterPenalty_CantAuction	악당 3단계부터는 아이템 거래소를 이용할 수 없습니다.
CharacterPenalty_CantConvert	악당 2단계부터는 대장장이를 통한 아이템 개조가 불가능합니다.
CharacterPenalty_ExpLose	
CharacterPenalty_CantAttack	
MurdererGetPoint	악당포인트 (%d)점을 얻었습니다.
FreeFirstAttacker	선공자 상태가 해제됩니다.

MutationFailureInvalidTarget	크리처로 변이할 수 없는 타겟입니다.

Party_Murderer_Error_Color	4294940928
Party_Murderer_Error_Self	악당 상태에서는 파티를 맺을 수 없습니다.
Party_Murderer_Error_Target	%s 님은 악당 1단계로 파티 초대가 불가능합니다.
Party_Murderer_Error_Leave	악당 1단계로 파티에서 자동 탈퇴됩니다.

GuildBattle_1	5분
GuildBattle_2	60분
GuildBattle_3	120분
GuildBattle_4	180분

GuildBattle_Time_1	5
GuildBattle_Time_2	60
GuildBattle_Time_3	120
GuildBattle_Time_4	180

KeepCash	보유로니
Unit	개
UseCash	사용할 로니
BuyResult	결제 후 잔액
CashChargeURL	http://archlord.naver.com/mypage.nhn
NotCommitOnDead	죽은 상태에선 칸트라 상점의 아이템을 구입할 수 없습니다.

CashInven_ItemDetailInfo	%s
CashInven_ItemDetailInfoDay	남은 사용시간 : %d일 %d시간
CashInven_ItemDetailInfoHour	남은 사용시간 : %d시간 %d분
CashInven_ItemDetailInfoMinute	남은 사용시간 : %d분
CashInven_ItemDetailInfoSecond	남은 사용시간 : %d초
CashInven_ItemDetailInfoRealTime	시간: %s
CashInven_ItemUse	사용
CashInven_ItemNoUse	사용 중지
CashInven_ItemUsing	사용중
CashInven_ItemDetailInfo_Count	소지개수 : %d 개
CashInven_ItemPause	일시 정지
CashInven_ItemRemainCount	남은개수 : %d 개

BuddyList_Select_None	친구리스트에서 대상을 선택해 주십시오.
BanList_Select_None	거부리스트에서 대상을 선택해 주십시오.
BuddyList_Add_User	%s님을 친구(거부) 리스트에 등록하였습니다.
BuddyList_Remove_User	%s님을 친구(거부) 리스트에서 삭제하였습니다.
BuddyList_Already_Add	친구(거부) 리스트에 등록된 캐릭터입니다.
BuddyList_Invite_Event_Send	%s님에게 파티초대를 신청했습니다.
BanList_TradeOption_Enable	%s님과의 거래를 차단하였습니다.
BanList_TradeOption_Disable	%s님과의 거래차단을 해제하였습니다.
BanList_WhisperOption_Enable	%s님과의 귓속말을 차단하였습니다.
BanList_WhisperOption_Disable	%s님과의 귓속말차단을 해제하였습니다.
BanList_InviteOption_Enable	%s님과의 파티/길드 초대를 차단하였습니다.
BanList_InviteOption_Disable	%s님과의 파티/길드초대를 해제하였습니다.

Guild_Msg_Battle_Adjust_Min_Duration	길드전이 5분으로 자동 설정됩니다.
Guild_Msg_Battle_Adjust_Max_Duration	길드전이 180분으로 자동 설정됩니다.


Channel_Need_Password	비밀번호를 설정해야합니다.
Channel_Join_Message	%s님께서 입장하셨습니다.
Channel_Leave_Message	%s님께서 퇴장하셨습니다.
Channel_Create_Message	[%s] 대화방을 개설하였습니다.

CASH_ITEM_STOP_USING_ITEM	%s 아이템이 사용 중지 되었습니다.
CASH_ITEM_END_USING_ITEM	%s 아이템의 효과가 사라졌습니다.
CASH_ITEM_CANNOT_UNUSE_ITEM	캐쉬 아이템은 사용 중지가 불가능합니다.
CASH_ITEM_SAME_KIND_ALREADY_IN_USE	같은 기능의 아이템이 이미 사용중입니다.
CASH_ITEM_PAUSE_ITEM	%s 아이템이 일시 정지 되었습니다.
CASH_ITEM_CANNOT_UNUSE_STATUS	캐쉬 아이템을 사용 중지 할 수 없는 상태입니다.

MAIL_LETTER_COUNT	사용가능 편지지 %d
MAIL_CLOSE_CONFIRM	취소하시겠습니까?
MAIL_WRITE_SUCCESS	편지를 성공적으로 보냈습니다.
MAIL_WRITE_FAIL	편지 보내기가 실패하였습니다.
MAIL_ITEM_SAVED	아이템을 저장하였습니다.
MAIL_WRITE_DESC	첨부할 아이템을 드래그하세요.___남아있는 편지지는 %d개 입니다.

WARN_MESSAGE_1	"장시간의 게임이용은 건강을 해칠 수 있습니다. 잠깐의 여유, 보다 큰 즐거움을 위한 센스입니다."
WARN_MESSAGE_2	게임이용에도 적절한 휴식이 필요합니다. 잠깐의 여유가 보다 즐거운 아크로드를 만듭니다.

WC_ARRANGE	
WC_CANCELED	현상수배를 취소하셨습니다.
WC_SUCCEEDED	(%s) 님을 (%I64d) 겔드에 현상수배하였습니다.
WC_NOT_ENOUGH_BASE	기본현상금 (%I64d) 겔드가 부족하여 수배할 수 없습니다.
WC_UNDERBASE	현상금은 기본현상금 (%I64d) 겔드 이상이어야 합니다.
WC_NOT_ENOUGH_MONEY	총 보유 겔드가 부족합니다.
WC_ALREADY_ARRANGED	이미 수배하였습니다.
WC_RANK_TOOLTIP1	현재 현상수배 %d위
WC_RANK_TOOLTIP2	총 현상금 %I64d
WC_KILL	현상수배자 (%s) 를 잡았습니다. 현상금 (%I64d) 겔드를 획득하였습니다.
WC_DEAD	수배중인 상태에서 (%s) 님에게 사망하였습니다. 경험치 (%I64d) 를 잃었습니다.

SiegeWarPrefixNPCName	[전령]
SiegeWarDate	공성전 시간
SiegeWarDateYear	년
SiegeWarDateMonth	월
SiegeWarDateDay	일
SiegeWarDateHour	시
SiegeWarDatePM	오후
SiegeWarComplete	공성완료
SiegeWarReserve	공성예정
SiegeWarSetTimeHelp	공성완료 후 성주는 72시간 이내에 다음 공성전에 대한 일정 및 시간을 정해야 한다.
SiegeWarRemainTime	남은 시간
SiegeWarDefenseGuildHelp	수성측 길드 신청 조건___길드 생성일 7일 이상___길드 인원 30인 이상
SiegeWarNotSelectedDefenseGuild	수성 길드 미확정
SiegeWarDefenseGuild	수성측 길드
