TID	NAME	UseNormalAttack	HateRace	HateRacePercent	HateClass	HateClassPercent	HateAction	HateActionPercent	FellowWorkerTID	FellowWorkerName	FellowWorkerRange	FellowWorkerAcceptCount	FellowWorkerRefreshTime	FollowerTID	FollowerName	FollowerNUM	Max_CumulativeFollower	Min_UpkeepFollower	FollowerRoyalty	Skill1	Skill2	Skill3	Skill4	Skill5	Item1	Item2	Item3	Item4	Item5	Guard	PreemptiveType	PreemptiveCondition1	PreemptiveCondition2	PreemptiveCondition3	PreemptiveRange	Immunity	ImmunPercent	Attribute	SummonTID	SummonMaxCount
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6530	윈드멤프시	1	인간	110	궁수	115	null	null	null	null	5	2	60	null	null	null	null	null	null	<MOB>공기정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				194												LV								
																				4												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6630	샤콘	1	오크	110	법사	115	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
630	티카	1	오크	110	법사	115	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7740	다릴라	1	인간	120	전사	120	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8080	핑켈	1	오크	120	궁수	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7660	발토	1	인간	125	법사	120	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6310	다르칸	1	오크	125	법사	115	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
150	타라반	1	오크	125	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6640	파마슈라	1	오크	125	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6650	샤마슈라	1	오크	125	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7830	에고니	1	인간	130	궁수	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6540	사자의 여왕	1	인간	110	궁수	115	null	null	null	null	5	2	60	null	null	null	null	null	null	<MOB>독정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				197												LV								
																				5												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
600	볼코	1	오크	130	법사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7650	비글로스	1	인간	110	전사	110	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7620	롤랜도	1	오크	110	궁수	110	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7070	히리피나	1	인간	120	법사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>공기정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				194												LV								
																				5												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7630	코르소스	1	오크	120	전사	115	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7900	블리지	1	인간	125	궁수	115	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7640	롱고	1	오크	125	법사	115	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7930	바르소	1	인간	130	전사	120	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7080	가디메시	1	오크	130	궁수	120	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>공기정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				194												LV								
																				5												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7940	바이칸	1	인간	110	법사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7800	성크	1	오크	110	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7090	불꽃 박쥐	1	인간	120	궁수	125	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>불정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	3	null	null	null	null	null
																				196												LV								
																				2												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7580	어스 골렘	1	오크	120	법사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>땅정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	3	null	null	null	null	null
																				195												LV								
																				3												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7610	회오리 박쥐	1	인간	125	전사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>공기정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				194												LV								
																				3												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7590	룬 골렘	1	오크	125	궁수	110	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>마법정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				192												LV								
																				3												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7600	마그마론	1	인간	130	법사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	<BOSS><기간테스>익스플로전 플레임	<MOB>불정령스킬	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				350	196											LV								
																				1	3											60								
																				HP	HP											이상								
																				0	0											금지								
																				이상	이상																			
																				30	0																			
																				시간	시간																			
																				5	5																			
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
4690	블러드본 솔저	1	오크	130	전사	115	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5440	블러드본 파이터	1	인간	110	궁수	115	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5450	블러드본 아처	1	인간	125	법사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5460	블러드본 데스나이트	1	인간	130	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5470	블러드본 다크브레서	1	오크	125	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>공기정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				194												LV								
																				5												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5480	블러드본 위자드	1	오크	110	궁수	110	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5490	블러드본 샤만	1	인간	120	법사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>마법정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				192												LV								
																				5												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5500	레클레스	1	오크	110	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	<BOSS><스켈레톤 커맨더>서먼 스켈레톤	<MOB>마법정령스킬	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				182	192											LV								
																				1	6											60								
																				HP	HP											이상								
																				0	0											금지								
																				이상	이상																			
																				30	0																			
																				시간	시간																			
																				5	5																			
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5510	세이버 루핀	1	오크	110	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5520	하울링 루핀	1	오크	110	법사	115	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5530	크래셔 루핀	1	오크	130	법사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5540	커스 루핀	1	인간	130	법사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>마법정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				192												LV								
																				5												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5550	카렌차	1	인간	130	법사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>마법정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				192												LV								
																				5												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5560	다크 크러스터	1	인간	110	전사	110	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5570	아이 크러스터	1	인간	110	궁수	115	null	null	null	null	5	2	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5580	세벤트	1	오크	130	법사	125	null	null	null	null	5	2	60	null	null	null	null	null	null	<BOSS><거대 거미 퀸>포이즌 웹	<MOB>독정령스킬	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				188	197											LV								
																				1	5											60								
																				HP	HP											이상								
																				0	0											금지								
																				이상	이상																			
																				30	0																			
																				시간	시간																			
																				5	5																			
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5590	다크 언더뱃	1	오크	120	법사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5600	스크림 언더뱃	1	인간	120	법사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5610	뱀파이어 노예	1	인간	125	전사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5620	뱀파이어 시종	1	오크	125	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5630	루시벨	1	오크	125	전사	125	null	null	null	null	null	null	60	null	null	null	null	null	null	<BOSS><뱀파이어 프린스>블러드 사인	<MOB>얼음정령스킬	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																				347	198											LV								
																				1	5											60								
																				HP	HP											이상								
																				0	0											금지								
																				이상	이상																			
																				30	0																			
																				시간	시간																			
																				5	5																			
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5640	뱀파이어 암살자	1	인간	130	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5650	뱀파이어 호위병	1	인간	130	법사	110	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5660	뱀파이어 근위병	1	인간	110	궁수	115	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6120	이그나투스	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	<BOSS><뱀파이어퀸>근접스킬	<BOSS><뱀파이어퀸>범위스킬	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	고정	null	null
																				384	385											LV								
																				1	1											60								
																				HP	HP											이상								
																				0	0											금지								
																				이상	이상																			
																				30	30																			
																				시간	시간																			
																				5	5																			
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6510	서큐버스 인피리어	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8340	서큐버스	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	5	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8350	서큐버스 위치	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	5	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8360	서큐버스 노블	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	5	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
8370	서큐버스 프리미어	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	<MOB>불정령스킬	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	5	null	null	null	null	null
																				196												LV								
																				3												60								
																				HP												이상								
																				0												금지								
																				이상																				
																				0																				
																				시간																				
																				5																				
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
7810	에리니에스 병사	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	4	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6520	에리니에스	1	인간	120	전사	120	null	null	null	null	null	null	60	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1	타겟	null	null	5	null	null	null	null	null
																																LV								
																																60								
																																이상								
																																금지								
																																								
																																								
																																								
																																								
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
