name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_swashbuckler	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_obiter	require_class_summoner	require_class_scion	require_level	require_point	require_heroic_point	require_charisma_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	dmg_heroic	damage_thunder	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	dmg_heroic_percent	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp	cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_heroic	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	heroic_reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	stun_generate_time	critical	skill_range	skill_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	time_control	item_parts	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	summons_count	bonus_exp	bonus_money	bonus_drop_rate	bonus_charisma_add_rate	level_diff	divide_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	dmg_min_heroic	dmg_max_heroic	def_point_heroic	heroic_melee_Resistance	heroic_ranged_Resistance	heroic_magic_Resistance	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_MAGNIFY	movement	atk_speed
	5	3					1											26	1																																																																																160		7																		20000																																																							12																																																																																																
	6	3					1											29	1																																																																																170		8																																																																									14																																																																																																
	7	3					1											32	1																																																																																180		9																																																																									16																																																																																																
	8	3					1											35	1																																																																																190		10																																																																									18																																																																																																
	9	3					1											38	1																																																																																200		11																																																																									20																																																																																																
	10	3					1											41	1																																																																																210		12																																																																									22																																																																																																
	11	3					1											44	1																																																																																220		13																																																																									24																																																																																																
	12	3					1											47	1																																																																																230		14																																																																									26																																																																																																
	13	3					1											50	1																																																																																240		15																																																																									28																																																																																																
	14	3					1											53	1																																																																																250		16																																																																									30																																																																																																
	15	3					1											56	1																																																																																260		17																																																																									32																																																																																																
	16	3					1											59	1																																																																																270		18																																																																									34																																																																																																
	17	3					1											62	1																																																																																280		19																																																																									36																																																																																																
	18	3					1											65	1																																																																																290		20																																																																									38																																																																																																
	19	3					1											68	1																																																																																300		21																																																																									40																																																																																																
	20	3					1											71	1																																																																																310		22																																																																									42																																																																																																
Mana Effect	1	3					1											22	1																																																																																												-10							2400																																																														4	4	4	4	4					4	4	4	4	4																																																																													
	2	3					1											25	1																																																																																												-15								6400																																																													6	6	6	6	6					6	6	6	6	6																																																																													
	3	3					1											28	1																																																																																												-20								16800																																																													8	8	8	8	8					8	8	8	8	8																																																																													
	4	3					1											31	1																																																																																												-25								32000																																																													10	10	10	10	10					10	10	10	10	10																																																																													
	5	3					1											34	1																																																																																												-30								80000																																																													12	12	12	12	12					12	12	12	12	12																																																																													
	6	3					1											37	1																																																																																												-35																																																																					14	14	14	14	14					14	14	14	14	14																																																																													
	7	3					1											40	1																																																																																												-40																																																																					16	16	16	16	16					16	16	16	16	16																																																																													
	8	3					1											43	1																																																																																												-45																																																																					18	18	18	18	18					18	18	18	18	18																																																																													
	9	3					1											46	1																																																																																												-50																																																																					20	20	20	20	20					20	20	20	20	20																																																																													
	10	3					1											49	1																																																																																												-55																																																																					22	22	22	22	22					22	22	22	22	22																																																																													
	11	3					1											52	1																																																																																												-60																																																																					24	24	24	24	24					24	24	24	24	24																																																																													
	12	3					1											55	1																																																																																												-65																																																																					26	26	26	26	26					26	26	26	26	26																																																																													
	13	3					1											58	1																																																																																												-70																																																																					28	28	28	28	28					28	28	28	28	28																																																																													
	14	3					1											61	1																																																																																												-75																																																																					30	30	30	30	30					30	30	30	30	30																																																																													
	15	3					1											64	1																																																																																												-80																																																																					32	32	32	32	32					32	32	32	32	32																																																																													
	16	3					1											67	1																																																																																												-85																																																																					34	34	34	34	34					34	34	34	34	34																																																																													
	17	3					1											70	1																																																																																												-90																																																																					36	36	36	36	36					36	36	36	36	36																																																																													
	18	3					1											73	1																																																																																												-95																																																																					38	38	38	38	38					38	38	38	38	38																																																																													
	19	3					1											76	1																																																																																												-100																																																																					40	40	40	40	40					40	40	40	40	40																																																																													
	20	3					1											79	1																																																																																												-105																																																																					42	42	42	42	42					42	42	42	42	42																																																																													
Physical Gain	1	3					1											30	1																																																																																																			7200																																																																																																														5																																										
	2	3					1											33	1																																																																																																				16000																																																																																																													7																																										
	3	3					1											36	1																																																																																																				48000																																																																																																													9																																										
	4	3					1											39	1																																																																																																				96000																																																																																																													11																																										
	5	3					1											42	1																																																																																																				160000																																																																																																													13																																										
	6	3					1											45	1																																																																																																																																																																																																																	15																																										
	7	3					1											48	1																																																																																																																																																																																																																	17																																										
	8	3					1											51	1																																																																																																																																																																																																																	19																																										
	9	3					1											54	1																																																																																																																																																																																																																	21																																										
	10	3					1											57	1																																																																																																																																																																																																																	23																																										
	11	3					1											60	1																																																																																																																																																																																																																	25																																										
	12	3					1											63	1																																																																																																																																																																																																																	27																																										
	13	3					1											66	1																																																																																																																																																																																																																	29																																										
	14	3					1											69	1																																																																																																																																																																																																																	31																																										
	15	3					1											72	1																																																																																																																																																																																																																	33																																										
	16	3					1											75	1																																																																																																																																																																																																																	35																																										
	17	3					1											78	1																																																																																																																																																																																																																	37																																										
	18	3					1											81	1																																																																																																																																																																																																																	39																																										
	19	3					1											84	1																																																																																																																																																																																																																	41																																										
	20	3					1											87	1																																																																																																																																																																																																																	43																																										
Intense Magic	1	3								1								14	1																																																																																		15										0							800																																																																																																																																																								
	2	3								1								17	1																																																																																		20										0								2080																																																																																																																																																							
	3	3								1								20	1																																																																																		25										0								4800																																																																																																																																																							
	4	3								1								23	1																																																																																		30										0								9600																																																																																																																																																							
	5	3								1								26	1																																																																																		35										0								20000																																																																																																																																																							
	6	3								1								29	1																																																																																		40										0																																																																																																																																																															
	7	3								1								32	1																																																																																		45										0																																																																																																																																																															
	8	3								1								35	1																																																																																		50										0																																																																																																																																																															
	9	3								1								38	1																																																																																		55										0																																																																																																																																																															
	10	3								1								41	1																																																																																		60										0																																																																																																																																																															
	11	3								1								44	1																																																																																		65										0																																																																																																																																																															
	12	3								1								47	1																																																																																		70										0																																																																																																																																																															
	13	3								1								50	1																																																																																		75										0																																																																																																																																																															
	14	3								1								53	1																																																																																		80										0																																																																																																																																																															
	15	3								1								56	1																																																																																		85										0																																																																																																																																																															
	16	3								1								59	1																																																																																		90										0																																																																																																																																																															
	17	3								1								62	1																																																																																		95										0																																																																																																																																																															
	18	3								1								65	1																																																																																		100										0																																																																																																																																																															
	19	3								1								68	1																																																																																		105										0																																																																																																																																																															
	20	3								1								71	1																																																																																		110										0																																																																																																																																																															
Mind Control	1	3								1								22	1																																																																																																			2400																																																																																																															5																																									
	2	3								1								25	1																																																																																																				6400																																																																																																														7																																									
	3	3								1								28	1																																																																																																				16800																																																																																																														9																																									
	4	3								1								31	1																																																																																																				32000																																																																																																														11																																									
	5	3								1								34	1																																																																																																				80000																																																																																																														13																																									
	6	3								1								37	1																																																																																																																																																																																																																		15																																									
	7	3								1								40	1																																																																																																																																																																																																																		17																																									
	8	3								1								43	1																																																																																																																																																																																																																		19																																									
	9	3								1								46	1																																																																																																																																																																																																																		21																																									
	10	3								1								49	1																																																																																																																																																																																																																		23																																									
	11	3								1								52	1																																																																																																																																																																																																																		25																																									
	12	3								1								55	1																																																																																																																																																																																																																		27																																									
	13	3								1								58	1																																																																																																																																																																																																																		29																																									
	14	3								1								61	1																																																																																																																																																																																																																		31																																									
	15	3								1								64	1																																																																																																																																																																																																																		33																																									
	16	3								1								67	1																																																																																																																																																																																																																		35																																									
	17	3								1								70	1																																																																																																																																																																																																																		37																																									
	18	3								1								73	1																																																																																																																																																																																																																		39																																									
	19	3								1								76	1																																																																																																																																																																																																																		41																																									
	20	3								1								79	1																																																																																																																																																																																																																		43																																									
Armament	1	3								1								30	1																																																																																																			7200																																																																																8	8	8	8	8																																																																				
	2	3								1								33	1																																																																																																				16000																																																																															10	10	10	10	10																																																																				
	3	3								1								36	1																																																																																																				48000																																																																															12	12	12	12	12																																																																				
	4	3								1								39	1																																																																																																				96000																																																																															14	14	14	14	14																																																																				
	5	3								1								42	1																																																																																																				160000																																																																															16	16	16	16	16																																																																				
	6	3								1								45	1																																																																																																																																																																																			18	18	18	18	18																																																																				
	7	3								1								48	1																																																																																																																																																																																			20	20	20	20	20																																																																				
	8	3								1								51	1																																																																																																																																																																																			22	22	22	22	22																																																																				
	9	3								1								54	1																																																																																																																																																																																			24	24	24	24	24																																																																				
	10	3								1								57	1																																																																																																																																																																																			26	26	26	26	26																																																																				
	11	3								1								60	1																																																																																																																																																																																			28	28	28	28	28																																																																				
	12	3								1								63	1																																																																																																																																																																																			30	30	30	30	30																																																																				
	13	3								1								66	1																																																																																																																																																																																			32	32	32	32	32																																																																				
	14	3								1								69	1																																																																																																																																																																																			34	34	34	34	34																																																																				
	15	3								1								72	1																																																																																																																																																																																			36	36	36	36	36																																																																				
	16	3								1								75	1																																																																																																																																																																																			38	38	38	38	38																																																																				
	17	3								1								78	1																																																																																																																																																																																			40	40	40	40	40																																																																				
	18	3								1								81	1																																																																																																																																																																																			42	42	42	42	42																																																																				
	19	3								1								84	1																																																																																																																																																																																			44	44	44	44	44																																																																				
	20	3								1								87	1																																																																																																																																																																																			46	46	46	46	46																																																																				
Power Surge	1	3			1	1	1	1	1	1	1	1	1	1	1	1	1	6	1																																																																																																			160																																								3																																																																																																																
	2	3			1	1	1	1	1	1	1	1	1	1	1	1	1	9	1																																																																																																				800																																							6																																																																																																																
	3	3			1	1	1	1	1	1	1	1	1	1	1	1	1	12	1																																																																																																				1920																																							9																																																																																																																
	4	3			1	1	1	1	1	1	1	1	1	1	1	1	1	15	1																																																																																																				3520																																							12																																																																																																																
	5	3			1	1	1	1	1	1	1	1	1	1	1	1	1	18	1																																																																																																				6000																																							15																																																																																																																
	6	3			1	1	1	1	1	1	1	1	1	1	1	1	1	21	1																																																																																																																																											18																																																																																																																
	7	3			1	1	1	1	1	1	1	1	1	1	1	1	1	24	1																																																																																																																																											21																																																																																																																
	8	3			1	1	1	1	1	1	1	1	1	1	1	1	1	27	1																																																																																																																																											24																																																																																																																
	9	3			1	1	1	1	1	1	1	1	1	1	1	1	1	30	1																																																																																																																																											27																																																																																																																
	10	3			1	1	1	1	1	1	1	1	1	1	1	1	1	33	1																																																																																																																																											30																																																																																																																
	11	3			1	1	1	1	1	1	1	1	1	1	1	1	1	36	1																																																																																																																																											33																																																																																																																
	12	3			1	1	1	1	1	1	1	1	1	1	1	1	1	39	1																																																																																																																																											36																																																																																																																
	13	3			1	1	1	1	1	1	1	1	1	1	1	1	1	42	1																																																																																																																																											39																																																																																																																
	14	3			1	1	1	1	1	1	1	1	1	1	1	1	1	45	1																																																																																																																																											42																																																																																																																
	15	3			1	1	1	1	1	1	1	1	1	1	1	1	1	48	1																																																																																																																																											45																																																																																																																
	16	3			1	1	1	1	1	1	1	1	1	1	1	1	1	51	1																																																																																																																																											48																																																																																																																
	17	3			1	1	1	1	1	1	1	1	1	1	1	1	1	54	1																																																																																																																																											51																																																																																																																
	18	3			1	1	1	1	1	1	1	1	1	1	1	1	1	57	1																																																																																																																																											54																																																																																																																
	19	3			1	1	1	1	1	1	1	1	1	1	1	1	1	60	1																																																																																																																																											57																																																																																																																
	20	3			1	1	1	1	1	1	1	1	1	1	1	1	1	63	1																																																																																																																																											60																																																																																																																
Nimbleness	1	3			1	1	1	1	1	1	1	1	1	1	1	1	1	6	1																																																																																																			160																																										3																																																																																																														
	2	3			1	1	1	1	1	1	1	1	1	1	1	1	1	9	1																																																																																																				800																																									4																																																																																																														
	3	3			1	1	1	1	1	1	1	1	1	1	1	1	1	12	1																																																																																																				1920																																									5																																																																																																														
	4	3			1	1	1	1	1	1	1	1	1	1	1	1	1	15	1																																																																																																				3520																																									6																																																																																																														
	5	3			1	1	1	1	1	1	1	1	1	1	1	1	1	18	1																																																																																																				6000																																									7																																																																																																														
	6	3			1	1	1	1	1	1	1	1	1	1	1	1	1	21	1																																																																																																																																													8																																																																																																														
	7	3			1	1	1	1	1	1	1	1	1	1	1	1	1	24	1																																																																																																																																													9																																																																																																														
	8	3			1	1	1	1	1	1	1	1	1	1	1	1	1	27	1																																																																																																																																													10																																																																																																														
	9	3			1	1	1	1	1	1	1	1	1	1	1	1	1	30	1																																																																																																																																													11																																																																																																														
	10	3			1	1	1	1	1	1	1	1	1	1	1	1	1	33	1																																																																																																																																													12																																																																																																														
	11	3			1	1	1	1	1	1	1	1	1	1	1	1	1	36	1																																																																																																																																													13																																																																																																														
	12	3			1	1	1	1	1	1	1	1	1	1	1	1	1	39	1																																																																																																																																													14																																																																																																														
	13	3			1	1	1	1	1	1	1	1	1	1	1	1	1	42	1																																																																																																																																													15																																																																																																														
	14	3			1	1	1	1	1	1	1	1	1	1	1	1	1	45	1																																																																																																																																													16																																																																																																														
	15	3			1	1	1	1	1	1	1	1	1	1	1	1	1	48	1																																																																																																																																													17																																																																																																														
	16	3			1	1	1	1	1	1	1	1	1	1	1	1	1	51	1																																																																																																																																													18																																																																																																														
	17	3			1	1	1	1	1	1	1	1	1	1	1	1	1	54	1																																																																																																																																													19																																																																																																														
	18	3			1	1	1	1	1	1	1	1	1	1	1	1	1	57	1																																																																																																																																													20																																																																																																														
	19	3			1	1	1	1	1	1	1	1	1	1	1	1	1	60	1																																																																																																																																													21																																																																																																														
	20	3			1	1	1	1	1	1	1	1	1	1	1	1	1	63	1																																																																																																																																													22																																																																																																														
Intellect	1	3			1	1	1	1	1	1	1	1	1	1	1	1	1	6	1																																																																																																			160																																									3																																																																																																															
