ID	tname	npcid list	npc name list	공통대사확률	공통대사	Mob 혼잣말	확률	공격	확률	PC 타켓팅	확률	Mob die	확률	Mob 스폰	확률	Mob 추적	확률	Mob miss	확률
14	켄타우르스	723	켄타우르스 기마병			에잇~어떤 놈이 돌을 가져간거야!! 그 놈때문에 돌을 찾기 전까지	0.3	날개도 없는 것들이 겁도 없이 공격하는군!	0.1	저기 웬놈이 지나가는군!! 일단 저 놈을 족쳐봐야겠다!! 	0.1	으…하늘의 종족인 내가 이런 야만족에게 당하다니…윽	0.3	크크크…사냥감을 몰아서 사냥하기에 이만큼 좋은 곳도 없지..	0.3	하하!! 그렇게 도망간다고 멀리 갈 수 있을것 같나? 	0.3	지상에서만 돌아다니는 너희같은 종족에게 내가 쉽게 당할것 같으냐!	0.3
		726 	켄타우르스 윈드러너			크…사냥감들이 점점 난폭해져서..잡기가 힘들어졌어		어디 위대한 켄타우르스에게 덤비는 종족이 누군지 볼까		켄타우르스에 대한 적의가 여기까지 느껴지는군! 저런 놈을 가만둘 수는 없지!!		난 여기서 죽겠지만..내 종족이 너희를 멸종시키고야 말것이다!! 크르르..		크크…우리가 전투하기에 최고의 장소군..마음에 들어.		크르르!! 여기까지 와서 도망가다니!! 고블린보다 못한 놈 같으니!!!		켄타우르스가 말을 한다고 놀란건가? 난 너희 종족의 말은 모두 구사할 수 있다구!!	
		727	켄타우르스 정찰자			크…난폭한 사냥감을 어떻게 한 번에 잡을 수 있을까..		오~굉장한 실력인데! 네 놈이 돌을 훔쳐갔구나!!		흠…썩 가진거 없어 보이는 사냥감이지만..흠흠..뭐라도 건질 수 있겠지!!		컥!! 여기서 죽어야만하는가!! 		으…지상에서의 전투에서 우릴 따라올 놈들이 있을까!		얌전히 항복해라!! 싫다고? 그럼 죽음뿐이다!! 		쯔쯔…적의 움직임도 제대로 보지 못하면서 나랑 싸울 생각을 하다니!!	
		730	켄타우르스 사냥꾼			크…사냥은 혼자하는게 최고지…		허걱!! 이..렇게 생길수도? 에잇! 용서할 수 없다!!		오옹~~ 저 놈은 나 만의 사냥감!!  		켈켈켈..적과 싸우다 죽는건 켄타우르스 전사의 명예다!!		으싸! 사냥하기에 더 없이 좋은 날씨야!! 		크르르!! 우리 전사의 땅에서 벗어나려 하다니!! 어리석은 것!!		크르르.. 전사로서의 기본도 갖춰지지 않았군!!	
		728	켄타우르스 에어본																
		729 	켄타우르스 궁수																
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
15	켄타우르스 대장	269	켄타우르스 대장			크...사냥감을 한 마리도 놓치지 말아야지	0.3	네 놈이구나! 우리 종족의 보물을 훔쳐간 게…절대 용서할 수 없어!	0.1	크하하! 거기!! 꽤 세보이는데.. 나랑 붙어보자!!	0.1	아…지식의 돌은 빼앗기고 여기서 이렇게 죽다니..	0.3	지식의 돌을 잃어버린지도 벌써 몇년이 흘렀군	0.3	크하하! 비겁하게 도망가다니!! 차라리 죽음을 택해라!!	0.3	흥~별 것도 아니군	0.3
						흠흠…이 정도 넓이면 켄타우르스가 사냥하는데 적당하겠군.		크르륵! 네 놈이 알고 있는 걸 모두 말해!!		크르륵!! 저 놈 정도면 내 전투 대상으로 충분하겠어!		내 뒤를 이을 루칸 부대장이 네 놈을 반드시 찾아 죽일 것이다!		우리처럼 날개가 달리지 않은 이상 돌을 훔쳐내는건 무리였을텐데..하피들의 짓인가		크크..넌 이미 죽은 목숨이다!		우하하! 최후의 발악을 하는구나!	
						이건 우리 종족을 없애려는 못된 것들의 음모임에 틀림없어!		감히 켄타우르스 대장 앞으로 겁도 없이 지나가다니!!		크르르! 우리 영역을 함부로 돌아다니는 네 놈은 뭐냐!		크..흐…지다니…		지식의 돌이 없어진 이후 켄타우르스에 여자가 모두 사라져버렸다!! 흑흑!!		으그그!! 뒷 모습을 보이다니!! 수치스러운줄 알아라!!		크르르!! 우리 켄타우르스 전사에게 이 쯤은 아무것도 아니다!!	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	트롤	453 	트롤노예			크릉..잠에서 깨고 나니 배가 고프군!!	0.3	크르릉..나랑 놀자니까! 어딜 자꾸 가려는거지!! 크크!!	0.1	크허!! 눈에 띄는대로 모두 사냥해야지!!	0.1	으어어…이렇게 쓰러지다니..	0.3	우흐흐…나랑 놀아줄 다른 트롤은 없나…	0.3	허허..도망가네..이봐! 이봐! 거기 좀 서보라고!!	0.3	어…빗나갔다. 쿠쿠..이봐 잘 좀 맞춰보라고…	0.3
		454 	트롤호위병			흠…우리 트롤들의 나무는 다 어디로 사라진거지..		우거거...맛나게 생긴 다리다! 		크르릉!! 오늘은 먹을게 자기 발로 찾아오는군!!		우어억~쓰러진다.어..어..		쿠으으~사냥철이다!  		크르르...간신히 찾은 먹이를 놓칠 수 없지!!		크르르..뭔가에 맞은거 같기도 한데..	
		34 	트롤 두목			어우우...이 곳이라면 먹을게 많을 것 같아!		쿠르르…한번에 밟아버려야지.		킁! 킁!! 냄새가 좋아.크…		으허..헉! 숨..을 ..쉴..수가…		어우..어…발에 밟히는게 너무 많아!		크흐흐..사냥감이 도망가는군.		크흐흐..그렇게 날뛰다니!! 신선해서 좋군!	
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
17	좀비	39	좀비			글글글…아 속이 근질거린다. 	0.3	그으으..한 번에 으스러뜨려주마…	0.1	살..아..있..는   살.. 냄새가.. 풍긴다.	0.1	으…으..	0.3	우..으..으..배..고..파…	0.3	네..놈…은..내..손에 죽..는..다..	0.3	그..으..으…	0.3
		85	좀비 리더			손가락 끝이 간질거린다.헤…		어..떠..냐…이 강력한 손에 맞은 기분이….											
						쿠득쿠득													
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18	휴먼	1610	가드 아처			여기는 우리 휴먼의 전초 기지다. 다른 종족은 따끔한 맛을 볼 줄 알아!	1	적이다! 다른 종족의 침입을 막아라!	1	적이다!	1	휴먼에게 영광을!	1	여긴 어디지? 나는 누구?	1	게 섯거라!	1	한 번 정도는 실수할 수도 있지!	1
		1609	가드 메이지			경계 중 이상무! 우리가 봐도 우린 정말 든든하다니까.		어딜 감히! 휴먼의 전초 기지에 함부로 발을 들여 놓는 자에게 죽음을 선사해주마!				아버지 죄송해요!		시간과 공간을 거슬러 여기까지 오다니!!				네 놈, 제법이구나!	
		1633	가드 나이트					우릴 물로 보지 마라!				동료들이 이 곳을 영원히 지켜줄 것이다!							
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	오크	1224	가드 소서러			우어! 오크의 전초 기지. 우리가 지킨다!	1	공격하라! 공격하라!	1	적이다!	1	대왕 폐하 만세!!	1	엉?	1	멈추지 않으면 다리를 잘라버리겠다!	1	한 번 정도는 피해도 다음 공격은 어림 없을걸!	1
		1635	가드 버서커			우가각! 설마하니 여기에 나타나는 어리석은 이종족 멍청이가 있지는 않겠지!!		말이 필요없다!		이봐들! 이쪽으로 와 보라고!!		영웅으로 죽지 못하다니, 정말 억울하다!		어라. 왜 내가 여기있지?					
		1634	가드 커맨더					이 땅에서 소멸시켜주지!											
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	문엘프	1639	가드 레인져			사랑과 정열을 우리 종족에게!	1	문엘프의 저주를 그대에게!	1	적이다!	1	문엘프의 앞날에 영원한 번영이 있기를!	1	잘 생각해보자고. 왜 내가 여기에 있는지.	1	우리의 빠른 다리에서 벗어날 수는 없을 거야!	1	이런! 믿을 수 없어!	1
		1638	가드 스워시버클러			여기선 달이 보이지 않아. 정말 우울하군.		깨끗이 제거해주지.		정말 운 나쁜 녀석이로군!		아아. 달빛이 환해지고 있어…….		누가 날 불렀나?		도망쳐야 다리만 아프지. 거기 멈춰서서 심판을 받아라!		적이지만 훌륭한 솜씨. 하지만 다음엔 어림 없다.	
		1637	가드 엘리멘탈리스트			어둠을 틈타 나타나는 놈들이 있다면 우리의 밝은 눈을 저주할 거야. 후후.		아무리 약해빠진 놈이라도 봐주지 않는다!											
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
