tid	Description	Body	Legs	Weapon	Shield	Head	Ring	Necklace	Boots	Gloves	Refinery	Gacha	Type	PointType	Level_limit	Rank_limit	Probability	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	regen_mp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point	Ignore_Physical_Defense_Rate	Ignore_Attribute_Defense_Rate	Critical_Defense_Rate	ReinforcementRate
2158	8% chance on hit to strike your target for 180% damage.												22																																																			1		8	180														○	71	80	22							
2159	9% chance on hit to strike your target for 190% damage.												22																																																			1		9	190														○	81	90	22							
2160	10% chance on hit to strike your target for 200% damage.												22																																																			1		10	200														○	91	100	22							
2161	1% chance on hit to stun your target for 3 sec.												23																																																			2		1		3000													○	1	10	23							
2162	2% chance on hit to stun your target for 3 sec.												23																																																			2		2		3000													○	11	20	23							
2163	3% chance on hit to stun your target for 3 sec.												23																																																			2		3		3000													○	21	30	23							
2164	4% chance on hit to stun your target for 3 sec.												23																																																			2		4		3000													○	31	40	23							
2165	5% chance on hit to stun your target for 3 sec.												23																																																			2		5		3000													○	41	50	23							
2166	6% chance on hit to stun your target for 3 sec.												23																																																			2		6		3000													○	51	60	23							
2167	7% chance on hit to stun your target for 3 sec.												23																																																			2		7		3000													○	61	70	23							
2168	8% chance on hit to stun your target for 3 sec.												23																																																			2		8		3000													○	71	80	23							
2169	9% chance on hit to stun your target for 3 sec.												23																																																			2		9		3000													○	81	90	23							
2170	10% chance on hit to stun your target for 3 sec.												23																																																			2		10		3000													○	91	100	23							
2171	4% chance when hit to convert 10% of damage taken into restored health.												24																																																			3		4			10												○	1	10	24							
2172	6% chance when hit to convert 12% of damage taken into restored health.												24																																																			3		6			12												○	11	20	24							
2173	8% chance when hit to convert 13% of damage taken into restored health.												24																																																			3		8			14												○	21	30	24							
2174	10% chance when hit to convert 16% of damage taken into restored health.												24																																																			3		10			16												○	31	40	24							
2175	12% chance when hit to convert 18% of damage taken into restored health.												24																																																			3		12			18												○	41	50	24							
2176	14% chance when hit to convert 20% of damage taken into restored health.												24																																																			3		14			20												○	51	60	24							
2177	16% chance when hit to convert 22% of damage taken into restored health.												24																																																			3		16			22												○	61	70	24							
2178	18% chance when hit to convert 24% of damage taken into restored health.												24																																																			3		18			24												○	71	80	24							
2179	20% chance when hit to convert 26% of damage taken into restored health.												24																																																			3		20			26												○	81	90	24							
2180	22% chance when hit to convert 28% of damage taken into restored health.												24																																																			3		22			28												○	91	100	24							
2181	HP Recovery +20 every 10 sec												25																																																			4						20											○	1	10	25							
2182	HP Recovery +30 every 10 sec												25																																																			4						30											○	11	20	25							
2183	HP Recovery +40 every 10 sec												25																																																			4						40											○	21	30	25							
2184	HP Recovery +50 every 10 sec												25																																																			4						50											○	31	40	25							
2185	HP Recovery +60 every 10 sec												25																																																			4						60											○	41	50	25							
2186	HP Recovery +70 every 10 sec												25																																																			4						70											○	51	60	25							
2187	HP Recovery +80 every 10 sec												25																																																			4						80											○	61	70	25							
2188	HP Recovery +90 every 10 sec												25																																																			4						90											○	71	80	25							
2189	HP Recovery +100 every 10 sec												25																																																			4						100											○	81	90	25							
2190	HP Recovery +110 every 10 sec												25																																																			4						110											○	91	100	25							
2191	Learned skills upgraded by 1 rank.												26																																																														1						○	45	75	26							
2192	Learned skills upgraded by 2 ranks.												26																																																														2						○	76	120	26							
2193	Bonus XP +2%												27																																																															2					○	1	10	27							
2194	Bonus XP +3%												27																																																															3					○	11	20	27							
2195	Bonus XP +4%												27																																																															4					○	21	30	27							
2196	Bonus XP +5%												27																																																															5					○	31	40	27							
2197	Bonus XP +6%												27																																																															6					○	41	50	27							
2198	Bonus XP +7%												27																																																															7					○	51	60	27							
2199	Bonus XP +8%												27																																																															8					○	61	70	27							
2200	Bonus XP +9%												27																																																															9					○	71	80	27							
2201	Bonus XP +10%												27																																																															10					○	81	90	27							
2202	Bonus XP +12%												27																																																															12					○	91	100	27							
2203	Bonus Gold +4%												28																																																																4				○	1	10	28							
2204	Bonus Gold +6%												28																																																																6				○	11	20	28							
2205	Bonus Gold +8%												28																																																																8				○	21	30	28							
2206	Bonus Gold +10%												28																																																																10				○	31	40	28							
2207	Bonus Gold +12%												28																																																																12				○	41	50	28							
2208	Bonus Gold +14%												28																																																																14				○	51	60	28							
2209	Bonus Gold +16%												28																																																																16				○	61	70	28							
2210	Bonus Gold +18%												28																																																																18				○	71	80	28							
2211	Bonus Gold +20%												28																																																																20				○	81	90	28							
2212	Bonus Gold +22%												28																																																																22				○	91	100	28							
2213	Bonus drop rate +2%												29																																																																	2			○	1	10	29							
2214	Bonus drop rate +4%												29																																																																	4			○	11	20	29							
2215	Bonus drop rate +6%												29																																																																	6			○	21	30	29							
2216	Bonus drop rate +8%												29																																																																	8			○	31	40	29							
2217	Bonus drop rate +10%												29																																																																	10			○	41	50	29							
2218	Bonus drop rate +12%												29																																																																	12			○	51	60	29							
2219	Bonus drop rate +14%												29																																																																	14			○	61	70	29							
2220	Bonus drop rate +16%												29																																																																	16			○	71	80	29							
2221	Bonus drop rate +18%												29																																																																	18			○	81	90	29							
2222	Bonus drop rate +20%												29																																																																	20			○	91	100	29							
2223	Reduces skill cast time by 4%												30																																																												4								○	1	10	30							
2224	Reduces skill cast time by 5%												30																																																												5								○	11	20	30							
2225	Reduces skill cast time by 6%												30																																																												6								○	21	30	30							
2226	Reduces skill cast time by 7%												30																																																												7								○	31	40	30							
2227	Reduces skill cast time by 8%												30																																																												8								○	41	50	30							
2228	Reduces skill cast time by 9%												30																																																												9								○	51	60	30							
2229	Reduces skill cast time by 10%												30																																																												10								○	61	70	30							
2230	Reduces skill cast time by 11%												30																																																												11								○	71	80	30							
2231	Reduces skill cast time by 12%												30																																																												12								○	81	90	30							
2232	Reduces skill cast time by 13%												30																																																												13								○	91	100	30							
2233	Reduces skill cooldown time by 4%												31																																																													4							○	1	10	31							
2234	Reduces skill cooldown time by 5%												31																																																													5							○	11	20	31							
2235	Reduces skill cooldown time by 6%												31																																																													6							○	21	30	31							
2236	Reduces skill cooldown time by 7%												31																																																													7							○	31	40	31							
2237	Reduces skill cooldown time by 8%												31																																																													8							○	41	50	31							
2238	Reduces skill cooldown time by 9%												31																																																													9							○	51	60	31							
2239	Reduces skill cooldown time by 10%												31																																																													10							○	61	70	31							
2240	Reduces skill cooldown time by 11%												31																																																													11							○	71	80	31							
2241	Reduces skill cooldown time by 12%												31																																																													12							○	81	90	31							
2242	Reduces skill cooldown time by 13%												31																																																													13							○	91	100	31							
2243	Ice Damage +5												32																			5																																																	○	1	10	32							
2244	Ice Damage +8												32																			8																																																	○	11	20	32							
2245	Ice Damage +11												32																			11																																																	○	21	30	32							
2246	Ice Damage +14												32																			14																																																	○	31	40	32							
2247	Ice Damage +17												32																			17																																																	○	41	50	32							
2248	Ice Damage +20												32																			20																																																	○	51	60	32							
2249	Ice Damage +23												32																			23																																																	○	61	70	32							
2250	Ice Damage +26												32																			26																																																	○	71	80	32							
2251	Ice Damage +29												32																			29																																																	○	81	90	32							
2252	Ice Damage +32												32																			32																																																	○	91	100	32							
2253	Dodge +4%												42																																																			6															4	4	○	1	10	42							
2254	Dodge +5%												42																																																			6															5	5	○	11	20	42							
2255	Dodge +6%												42																																																			6															6	6	○	21	30	42							
2256	Dodge +7%												42																																																			6															7	7	○	31	40	42							
2257	Dodge +8%												42																																																			6															8	8	○	41	50	42							
2258	Dodge +9%												42																																																			6															9	9	○	51	60	42							
2259	Dodge +10%												42																																																			6															10	10	○	61	70	42							
2260	Dodge +11%												42																																																			6															11	11	○	71	80	42							
2261	Dodge +12%												42																																																			6															12	12	○	81	90	42							
2262	Dodge +13%												42																																																			6															13	13	○	91	100	42							
2263	2% chance on hit to wound the target dealing 40 physical damage a second for 6 seconds.												33										40																																									5	6000	2						6000									○	1	10	33							
2264	3% chance on hit to wound the target dealing 50 physical damage a second for 6 seconds.												33										50																																									5	6000	3						6000									○	11	20	33							
2265	4% chance on hit to wound the target dealing 60 physical damage a second for 6 seconds.												33										60																																									5	6000	4						6000									○	21	30	33							
2266	5% chance on hit to wound the target dealing 70 physical damage a second for 6 seconds.												33										70																																									5	6000	5						6000									○	31	40	33							
2267	6% chance on hit to wound the target dealing 80 physical damage a second for 6 seconds.												33										80																																									5	6000	6						6000									○	41	50	33							
2268	7% chance on hit to wound the target dealing 90 physical damage a second for 6 seconds.												33										90																																									5	6000	7						6000									○	51	60	33							
2269	8% chance on hit to wound the target dealing 100 physical damage a second for 6 seconds.												33										100																																									5	6000	8						6000									○	61	70	33							
2270	9% chance on hit to wound the target dealing 110 physical damage a second for 6 seconds.												33										110																																									5	6000	9						6000									○	71	80	33							
2271	10% chance on hit to wound the target dealing 120 physical damage a second for 6 seconds.												33										120																																									5	6000	10						6000									○	81	90	33							
2272	12% chance on hit to wound the target dealing 130 physical damage a second for 6 seconds.												33										130																																									5	6000	12						6000									○	91	100	33							
2273	2% chance on hit to curse the target dealing 40 arcane damage a second for 6 seconds.												34													40																																						5	6000	2						6000									○	1	10	34							
2274	3% chance on hit to curse the target dealing 50 arcane damage a second for 6 seconds.												34													50																																						5	6000	3						6000									○	11	20	34							
2275	4% chance on hit to curse the target dealing 60 arcane damage a second for 6 seconds.												34													60																																						5	6000	4						6000									○	21	30	34							
2276	5% chance on hit to curse the target dealing 70 arcane damage a second for 6 seconds.												34													70																																						5	6000	5						6000									○	31	40	34							
2277	6% chance on hit to curse the target dealing 80 arcane damage a second for 6 seconds.												34													80																																						5	6000	6						6000									○	41	50	34							
2278	7% chance on hit to curse the target dealing 90 arcane damage a second for 6 seconds.												34													90																																						5	6000	7						6000									○	51	60	34							
2279	8% chance on hit to curse the target dealing 100 arcane damage a second for 6 seconds.												34													100																																						5	6000	8						6000									○	61	70	34							
2280	9% chance on hit to curse the target dealing 110 arcane damage a second for 6 seconds.												34													110																																						5	6000	9						6000									○	71	80	34							
2281	10% chance on hit to curse the target dealing 120 arcane damage a second for 6 seconds.												34													120																																						5	6000	10						6000									○	81	90	34							
2282	12% chance on hit to curse the target dealing 130 arcane damage a second for 6 seconds.												34													130																																						5	6000	12						6000									○	91	100	34							
2283	2% chance on hit to saturate the target dealing 40 water damage a second for 6 seconds.												35														40																																					5	6000	2						6000									○	1	10	35							
2284	3% chance on hit to saturate the target dealing 50 water damage a second for 6 seconds.												35														50																																					5	6000	3						6000									○	11	20	35							
2285	4% chance on hit to saturate the target dealing 60 water damage a second for 6 seconds.												35														60																																					5	6000	4						6000									○	21	30	35							
2286	5% chance on hit to saturate the target dealing 70 water damage a second for 6 seconds.												35														70																																					5	6000	5						6000									○	31	40	35							
2287	6% chance on hit to saturate the target dealing 80 water damage a second for 6 seconds.												35														80																																					5	6000	6						6000									○	41	50	35							
2288	7% chance on hit to saturate the target dealing 90 water damage a second for 6 seconds.												35														90																																					5	6000	7						6000									○	51	60	35							
2289	8% chance on hit to saturate the target dealing 100 water damage a second for 6 seconds.												35														100																																					5	6000	8						6000									○	61	70	35							
2290	9% chance on hit to saturate the target dealing 110 water damage a second for 6 seconds.												35														110																																					5	6000	9						6000									○	71	80	35							
2291	10% chance on hit to saturate the target dealing 120 water damage a second for 6 seconds.												35														120																																					5	6000	10						6000									○	81	90	35							
2292	12% chance on hit to saturate the target dealing 130 water damage a second for 6 seconds.												35														130																																					5	6000	12						6000									○	91	100	35							
2293	2% chance on hit to scorch the target dealing 40 fire damage a second for 6 seconds.												36															40																																				5	6000	2						6000									○	1	10	36							
2294	3% chance on hit to scorch the target dealing 50 fire damage a second for 6 seconds.												36															50																																				5	6000	3						6000									○	11	20	36							
2295	4% chance on hit to scorch the target dealing 60 fire damage a second for 6 seconds.												36															60																																				5	6000	4						6000									○	21	30	36							
2296	5% chance on hit to scorch the target dealing 70 fire damage a second for 6 seconds.												36															70																																				5	6000	5						6000									○	31	40	36							
2297	6% chance on hit to scorch the target dealing 80 fire damage a second for 6 seconds.												36															80																																				5	6000	6						6000									○	41	50	36							
2298	7% chance on hit to scorch the target dealing 90 fire damage a second for 6 seconds.												36															90																																				5	6000	7						6000									○	51	60	36							
2299	8% chance on hit to scorch the target dealing 100 fire damage a second for 6 seconds.												36															100																																				5	6000	8						6000									○	61	70	36							
2300	9% chance on hit to scorch the target dealing 110 fire damage a second for 6 seconds.												36															110																																				5	6000	9						6000									○	71	80	36							
2301	10% chance on hit to scorch the target dealing 120 fire damage a second for 6 seconds.												36															120																																				5	6000	10						6000									○	81	90	36							
2302	12% chance on hit to scorch the target dealing 130 fire damage a second for 6 seconds.												36															130																																				5	6000	12						6000									○	91	100	36							
2303	2% chance on hit to pummel the target dealing 40 earth damage a second for 6 seconds.												37																40																																			5	6000	2						6000									○	1	10	37							
2304	3% chance on hit to pummel the target dealing 50 earth damage a second for 6 seconds.												37																50																																			5	6000	3						6000									○	11	20	37							
2305	4% chance on hit to pummel the target dealing 60 earth damage a second for 6 seconds.												37																60																																			5	6000	4						6000									○	21	30	37							
2306	5% chance on hit to pummel the target dealing 70 earth damage a second for 6 seconds.												37																70																																			5	6000	5						6000									○	31	40	37							
2307	6% chance on hit to pummel the target dealing 80 earth damage a second for 6 seconds.												37																80																																			5	6000	6						6000									○	41	50	37							
2308	7% chance on hit to pummel the target dealing 90 earth damage a second for 6 seconds.												37																90																																			5	6000	7						6000									○	51	60	37							
2309	8% chance on hit to pummel the target dealing 100 earth damage a second for 6 seconds.												37																100																																			5	6000	8						6000									○	61	70	37							
2310	9% chance on hit to pummel the target dealing 110 earth damage a second for 6 seconds.												37																110																																			5	6000	9						6000									○	71	80	37							
2311	10% chance on hit to pummel the target dealing 120 earth damage a second for 6 seconds.												37																120																																			5	6000	10						6000									○	81	90	37							
2312	12% chance on hit to pummel the target dealing 130 earth damage a second for 6 seconds.												37																130																																			5	6000	12						6000									○	91	100	37							
2313	2% chance on hit to blast the target dealing 40 air damage a second for 6 seconds.												38																	40																																		5	6000	2						6000									○	1	10	38							
2314	3% chance on hit to blast the target dealing 50 air damage a second for 6 seconds.												38																	50																																		5	6000	3						6000									○	11	20	38							
2315	4% chance on hit to blast the target dealing 60 air damage a second for 6 seconds.												38																	60																																		5	6000	4						6000									○	21	30	38							
2316	5% chance on hit to blast the target dealing 70 air damage a second for 6 seconds.												38																	70																																		5	6000	5						6000									○	31	40	38							
2317	6% chance on hit to blast the target dealing 80 air damage a second for 6 seconds.												38																	80																																		5	6000	6						6000									○	41	50	38							
2318	7% chance on hit to blast the target dealing 90 air damage a second for 6 seconds.												38																	90																																		5	6000	7						6000									○	51	60	38							
2319	8% chance on hit to blast the target dealing 100 air damage a second for 6 seconds.												38																	100																																		5	6000	8						6000									○	61	70	38							
2320	9% chance on hit to blast the target dealing 110 air damage a second for 6 seconds.												38																	110																																		5	6000	9						6000									○	71	80	38							
2321	10% chance on hit to blast the target dealing 120 air damage a second for 6 seconds.												38																	120																																		5	6000	10						6000									○	81	90	38							
2322	12% chance on hit to blast the target dealing 130 air damage a second for 6 seconds.												38																	130																																		5	6000	12						6000									○	91	100	38							
2323	2% chance on hit to infect the target dealing 40 poison damage a second for 6 seconds.												39																		40																																	5	6000	2						6000									○	1	10	39							
2324	3% chance on hit to infect the target dealing 50 poison damage a second for 6 seconds.												39																		50																																	5	6000	3						6000									○	11	20	39							
2325	4% chance on hit to infect the target dealing 60 poison damage a second for 6 seconds.												39																		60																																	5	6000	4						6000									○	21	30	39							
2326	5% chance on hit to infect the target dealing 70 poison damage a second for 6 seconds.												39																		70																																	5	6000	5						6000									○	31	40	39							
2327	6% chance on hit to infect the target dealing 80 poison damage a second for 6 seconds.												39																		80																																	5	6000	6						6000									○	41	50	39							
2328	7% chance on hit to infect the target dealing 90 poison damage a second for 6 seconds.												39																		90																																	5	6000	7						6000									○	51	60	39							
2329	8% chance on hit to infect the target dealing 100 poison damage a second for 6 seconds.												39																		100																																	5	6000	8						6000									○	61	70	39							
2330	9% chance on hit to infect the target dealing 110 poison damage a second for 6 seconds.												39																		110																																	5	6000	9						6000									○	71	80	39							
2331	10% chance on hit to infect the target dealing 120 poison damage a second for 6 seconds.												39																		120																																	5	6000	10						6000									○	81	90	39							
2332	12% chance on hit to infect the target dealing 130 poison damage a second for 6 seconds.												39																		130																																	5	6000	12						6000									○	91	100	39							
2333	2% chance on hit to chill the target dealing 40 ice damage a second for 6 seconds.												40																			40																																5	6000	2						6000									○	1	10	40							
2334	3% chance on hit to chill the target dealing 50 ice damage a second for 6 seconds.												40																			50																																5	6000	3						6000									○	11	20	40							
2335	4% chance on hit to chill the target dealing 60 ice damage a second for 6 seconds.												40																			60																																5	6000	4						6000									○	21	30	40							
2336	5% chance on hit to chill the target dealing 70 ice damage a second for 6 seconds.												40																			70																																5	6000	5						6000									○	31	40	40							
2337	6% chance on hit to chill the target dealing 80 ice damage a second for 6 seconds.												40																			80																																5	6000	6						6000									○	41	50	40							
2338	7% chance on hit to chill the target dealing 90 ice damage a second for 6 seconds.												40																			90																																5	6000	7						6000									○	51	60	40							
2339	8% chance on hit to chill the target dealing 100 ice damage a second for 6 seconds.												40																			100																																5	6000	8						6000									○	61	70	40							
2340	9% chance on hit to chill the target dealing 110 ice damage a second for 6 seconds.												40																			110																																5	6000	9						6000									○	71	80	40							
2341	10% chance on hit to chill the target dealing 120 ice damage a second for 6 seconds.												40																			120																																5	6000	10						6000									○	81	90	40							
2342	12% chance on hit to chill the target dealing 130 ice damage a second for 6 seconds.												40																			130																																5	6000	12						6000									○	91	100	40							
2343	2% chance on hit to shock the target dealing 40lightning damage a second for 6 seconds.												41																				40																															5	6000	2						6000									○	1	10	41							
2344	3% chance on hit to shock the target dealing 50lightning damage a second for 6 seconds.												41																				50																															5	6000	3						6000									○	11	20	41							
2345	4% chance on hit to shock the target dealing 60lightning damage a second for 6 seconds.												41																				60																															5	6000	4						6000									○	21	30	41							
2346	5% chance on hit to shock the target dealing 70lightning damage a second for 6 seconds.												41																				70																															5	6000	5						6000									○	31	40	41							
2347	6% chance on hit to shock the target dealing 80lightning damage a second for 6 seconds.												41																				80																															5	6000	6						6000									○	41	50	41							
2348	7% chance on hit to shock the target dealing 90lightning damage a second for 6 seconds.												41																				90																															5	6000	7						6000									○	51	60	41							
2349	8% chance on hit to shock the target dealing 100lightning damage a second for 6 seconds.												41																				100																															5	6000	8						6000									○	61	70	41							
2350	9% chance on hit to shock the target dealing 110lightning damage a second for 6 seconds.												41																				110																															5	6000	9						6000									○	71	80	41							
2351	10% chance on hit to shock the target dealing 120lightning damage a second for 6 seconds.												41																				120																															5	6000	10						6000									○	81	90	41							
2352	12% chance on hit to shock the target dealing 130lightning damage a second for 6 seconds.												41																				130																															5	6000	12						6000									○	91	100	41							
2353	Lightning Damage +5												43																				5																																																○	1	10	43							
2354	Lightning Damage +8												43																				8																																																○	11	20	43							
2355	Lightning Damage +11												43																				11																																																○	21	30	43							
2356	Lightning Damage +14												43																				14																																																○	31	40	43							
2357	Lightning Damage +17												43																				17																																																○	41	50	43							
2358	Lightning Damage +20												43																				20																																																○	51	60	43							
2359	Lightning Damage +23												43																				23																																																○	61	70	43							
2360	Lightning Damage +26												43																				26																																																○	71	80	43							
2361	Lightning Damage +29												43																				29																																																○	81	90	43							
2362	Lightning Damage +32												43																				32																																																○	91	100	43							
2363	Poison Damage +5												44																		5																																																		○	1	10	44							
2364	Poison Damage +8												44																		8																																																		○	11	20	44							
2365	Poison Damage +11												44																		11																																																		○	21	30	44							
2366	Poison Damage +14												44																		14																																																		○	31	40	44							
2367	Poison Damage +17												44																		17																																																		○	41	50	44							
2368	Poison Damage +20												44																		20																																																		○	51	60	44							
2369	Poison Damage +23												44																		23																																																		○	61	70	44							
2370	Poison Damage +26												44																		26																																																		○	71	80	44							
2371	Poison Damage +29												44																		29																																																		○	81	90	44							
2372	Poison Damage +32												44																		32																																																		○	91	100	44							
2373	Ice Resistance +2%												45																																							2																													○	1	10	45							
2374	Ice Resistance +3%												45																																							3																													○	11	20	45							
2375	Ice Resistance +4%												45																																							4																													○	21	30	45							
2376	Ice Resistance +5%												45																																							5																													○	31	40	45							
2377	Ice Resistance +6%												45																																							6																													○	41	50	45							
2378	Ice Resistance +7%												45																																							7																													○	51	60	45							
2379	Ice Resistance +8%												45																																							8																													○	61	70	45							
2380	Ice Resistance +9%												45																																							9																													○	71	80	45							
2381	Ice Resistance +10%												45																																							10																													○	81	90	45							
2382	Ice Resistance +11%												45																																							11																													○	91	100	45							
2383	Lightning Resistance +2%												46																																								2																												○			46							
2384	Lightning Resistance +3%												46																																								3																												○			46							
2385	Lightning Resistance +4%												46																																								4																												○			46							
2386	Lightning Resistance +5%												46																																								5																												○			46							
2387	Lightning Resistance +6%												46																																								6																												○			46							
2388	Lightning Resistance +7%												46																																								7																												○			46							
2389	Lightning Resistance +8%												46																																								8																												○			46							
2390	Lightning Resistance +9%												46																																								9																												○			46							
2391	Lightning Resistance +10%												46																																								10																												○			46							
2392	Lightning Resistance +11%												46																																								11																												○			46							
2393	Poison Resistance +2%												47																																						2																														○			47							
2394	Poison Resistance +3%												47																																						3																														○			47							
2395	Poison Resistance +4%												47																																						4																														○			47							
2396	Poison Resistance +5%												47																																						5																														○			47							
2397	Poison Resistance +6%												47																																						6																														○			47							
2398	Poison Resistance +7%												47																																						7																														○			47							
2399	Poison Resistance +8%												47																																						8																														○			47							
2400	Poison Resistance +9%												47																																						9																														○			47							
2401	Poison Resistance +10%												47																																						10																														○			47							
2402	Poison Resistance +11%												47																																						11																														○			47							
2403	Fire Damage +5												48															5																																																					○	1	10	48							
2404	Fire Damage +8												48															8																																																					○	11	20	48							
2405	Fire Damage +11												48															11																																																					○	21	30	48							
2406	Fire Damage +14												48															14																																																					○	31	40	48							
2407	Fire Damage +17												48															17																																																					○	41	50	48							
2408	Fire Damage +20												48															20																																																					○	51	60	48							
2409	Fire Damage +23												48															23																																																					○	61	70	48							
2410	Fire Damage +26												48															26																																																					○	71	80	48							
2411	Fire Damage +29												48															29																																																					○	81	90	48							
2412	Fire Damage +32												48															32																																																					○	91	100	48							
2413	Earth Damage +5												49																5																																																				○	1	10	49							
2414	Earth Damage +8												49																8																																																				○	11	20	49							
2415	Earth Damage +11												49																11																																																				○	21	30	49							
2416	Earth Damage +14												49																14																																																				○	31	40	49							
2417	Earth Damage +17												49																17																																																				○	41	50	49							
2418	Earth Damage +20												49																20																																																				○	51	60	49							
2419	Earth Damage +23												49																23																																																				○	61	70	49							
2420	Earth Damage +26												49																26																																																				○	71	80	49							
2421	Earth Damage +29												49																29																																																				○	81	90	49							
2422	Earth Damage +32												49																32																																																				○	91	100	49							
2423	Water Damage +5												50														5																																																						○	1	10	50							
2424	Water Damage +8												50														8																																																						○	11	20	50							
2425	Water Damage +11												50														11																																																						○	21	30	50							
2426	Water Damage +14												50														14																																																						○	31	40	50							
2427	Water Damage +17												50														17																																																						○	41	50	50							
2428	Water Damage +20												50														20																																																						○	51	60	50							
2429	Water Damage +23												50														23																																																						○	61	70	50							
2430	Water Damage +26												50														26																																																						○	71	80	50							
2431	Water Damage +29												50														29																																																						○	81	90	50							
2432	Water Damage +32												50														32																																																						○	91	100	50							
2436	Damage +1												1		1	1							1																																																										○										
2437	Damage +2												1		1	1							2																																																										○										
2438	Damage +3												1		1	1							3																																																										○										
2439	Damage +4												1		1	1							4																																																										○										
2440	Damage +5												1		1	1							5																																																										○										
2441	Damage +6												1		1	1							6																																																										○										
2442	Damage +7												1		1	1							7																																																										○										
2443	Damage +8												1		1	1							8																																																										○										
2444	Damage +9												1		1	1							9																																																										○										
2445	Damage +10												1		1	1							10																																																										○										
2446	Damage +3			O							0		1		1	1	450						3																																																										○										
2447	Damage +4			O							0		1		1	1	400						4																																																										○										
2448	Damage +5			O							0		1		1	1	100						5																																																										○										
2449	Damage +6			O							0		1		1	1	40						6																																																										○										
2450	Damage +7			O							0		1		1	1	10						7																																																										○										
2451	Damage +8			O							0		1		1	1	5						8																																																										○										
2452	Damage +9			O							0		1		1	1	4						9																																																										○										
