ID	tname	npcid list	npc name list	°øÅëÈ®·ü	°øÅë´ë»ç	¸»Ç³¼± ´ë»ç	Min_Time	Max_Time	¾Ç´ç 1´Ü°è ´ë»çÈ®·ü	¾Ç´ç 1´Ü°è ´ë»ç	¾Ç´ç 2´Ü°è ´ë»çÈ®·ü	¾Ç´ç 2´Ü°è ´ë»ç	¾Ç´ç 3´Ü°è ´ë»çÈ®·ü	¾Ç´ç 3´Ü°è ´ë»ç
					While hunting monsters, you'll sometimes find that they drop weapons they've stolen from travelers. Those weapons don't differ much from the ones I sell. So the more weapons they drop, the sadder I get. That would end up disappointing my master.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
67	<Magic Armor Merchant> Nuru		<Magic Armor Merchant> Nuru	100	I'm Nuru, a magic armor merchant. This shop wasn't originally mine, the owner gave it to me when he died. The villagers commend me on my work, but I sometimes leave out important things because of my forgetfulness. It's a problem.				100	My master told me on his deathbed not to sell armor to those who kill others. And now seems to be one of those times.... But if you don't trash my store, I could reconsider selling you something.	100	I won't sell anything to you.	100	I won't sell anything to you.
					I'm so forgetful. Sometimes I hold something in my left hand but look for it in my right hand, but I have to work to put food on the table for 13 family members. It's important if you don't want to be looked down upon in a big city like this.									
					Those who don't like me say I killed the owner and stole his assets. And they try to steal my shop, too. It's very bad. I worked hard and the owner acknowledged me for it. I, Nuru, will keep this shop no matter who comes. It's everything to me.									
					By my name, I sell only the best magic armor. Wearing my armor will give you a definite advantage in battle. Don't compare mine with those of other travelers. My armor is the best and I'm proud of that.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
68	<Warrior Trainer> Seshi		<Warrior Trainer> Seshi	100	I'm Seshi and I teach warrior skills to travelers. I'm originally from Trilgard, but set off on a journey due to some personal reasons. I eventually ran out of money and ended up here. I need to make as much money as possible in the shortest amount of time, so I work really hard.				100	I don't want to teach you, but since I need money, I'll still do it. It'll be a little expensive, though. You don't have to, if you don't like it....	100	A... criminal...? You better watch your back.	100	A... criminal...? You better watch your back.
					Deception and backstabbing are an embarrassing trait for a warrior. My colleague, with whom I was traveling, left me and fled when we were in a pinch. I barely managed to survive and am now scouring all of Chantra to find him. But I haven't been successful so far.									
					I love bounty hunts because not only can you make money, but you can also show off your skills. Do you know which criminal has the biggest bounty in Trilgard? It's Usus, the one who created all the trouble a year ago. It's been a year since he disappeared, but no one has even seen his shadow yet.									
					The monsters seem to be acting weird lately. What else can we do other than hunt them down? If you ask me trying to find out what's controlling them, etc. is not our job. There's only one thing that me or you, or anyone should worry about, and that's yourself. That's the way I see it.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
69	<Archer Trainer> Vanita		<Archer Trainer> Vanita	100	I'm Vanita, an archer trainer. One's archery skills don't just get better from learning, but are based on the archer's attitude and mind. Do you wish to learn a skill? Then practice hard. Don't think about coming to me unless you're prepared for some tough training.				100	I'm a very strict teacher. And I'm even stricter with you. If you're only half-hearted about it, I wouldn't mind if you went elsewhere. That would be better for me anyway.	100	I don't have anything else to say, so please leave.	100	I don't have anything else to say, so please leave.
					I hate travelers who try to sponge off others. Some of this city's so-called warriors are like this. You should know how to take care of your own problems. They need to change their attitudes. I hate being around such people even for a second.									
					...... Don't disturb me. I'm focusing my mind.									
					Have you heard of the saying 'one arrow can save a country?' It means that even small things can achieve big results. But it also refers to the greatness of an archer. I like this saying.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
70	<Magic Trainer> Vaihal		<Magic Trainer> Vaihal	100	I'm Vaihal, a magic trainer. Ceci is my little sister. I came all the way here after she disappeared from the city. Why am I following her? To take her back home. Her talents don't only lie in being a skill trainer. She's needed to create a stronger Trilgard. That's how talented she is.				100	I have no idea what brought you here. But I hope you'll see the Pardoner as soon as you're done learning skills from me. Even though you say you don't trust others... I don't think others would trust you either.	100	What do you want here?	100	What do you want here?
					The world has changed quite a bit. Everything is messed up since rumors about the Archlord have been spreading. Nothing's going the way people planned, dangerous gangs roam the streets and the people are panic-stricken. But we have yet to see a hero. Research is vital for the development of magic, but I don't know what the fate of our research is now.									
					Training your mind and body is foremost in training in magic skills. Nothing can be done once your physical strength drops to rock bottom. So I keep healthy by regularly eating tasty dishes. Eating food can temporarily boost your life. But I admit my sister thinks I'm obsessed with eating.									
					Kuhn is very unstable; with one complication on top of another, things could get quite dangerous. Two civil militias are up against each other in the castle. The external manpower, which is basically our main military power, is worn down from fighting against the mercenaries and assassins but I have less to worry about since no one really cares about sorcerers.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
71	<Safe Keeper> Koppo		<Safe Keeper> Koppo	100	I'm Koppo, a safe keeper. I'm quite influential, the most famous citizen and an essential part of this city. It wouldn't be an overstatement to say that most of the money flowing through this city is mine. There are many who owe me money and Gutsera is one of them. Everyone serves me like I'm a king.				100	Looks are one thing, but your inside is rotten. If I stored your items, I'd feel dirty, too. Do you still want to leave them here?	100	Do you want to store items?	100	Do you want to store items?
					Hey, what's with your attire? I don't like people who are sloppy dressers. Adventurers and travelers get a chance to cross rivers and lakes now and then. Couldn't you have washed yourself then? I think my safe would be filthy if I kept your goods!									
					One of my hobbies is to carefully clean the items stored in my safe. They're not mine, but I can't stand them getting dirty while being inside my safe. Some people don't like it. But then, they can find another safe. At least they should know their possessions are safe and clean with me.									
					I don't care for foreign cultures or other races. I don't like our culture being invaded by them. I couldn't care less about cultural exchange between species. All that's left is culture that's dirty like trash. I hate how Orcs are no longer like Orcs these days.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
72	<Blacksmith> Tol Dulead		<Blacksmith> Tol Dulead	100	Lalala. I'm Tol Dulhead. I'm the city's blacksmith and the best blacksmith in the country. Lululu. Come see me anytime when you need to strengthen your items. I'll show you my stuff. You look like a pretty talented traveler. I guess you'll need armor or weapons?				100	Lululu... So let's start working.... Eh? Is there something you want from me? Oh, you're here to get stuff fixed.... It's none of my business, but you should consider visiting the Pardoner. He might help you.	100	Lululu... Oh no! Talking to you has put me in a bad mood! Help me be happy again and get out of my sight!	100	Lululu... Oh no! Talking to you has put me in a bad mood! Help me be happy again and get out of my sight!
					Lululu. My brother lives in Trilgard and his name is Dil Hammerpole. I'm on good terms with him and we're neck and neck in terms of skill. We're rivals. Lululu. But we don't hold any animosity towards each other. We can't help but acknowledge each other's talents. But someday I'll be the best.									
					Lululu. Have you ever thought about this while traveling? Ever thought about why Gnomes just work as blacksmiths or as armor merchants? Well, it's because Gnomes are born blacksmiths. There are pretty good blacksmiths among other species, too, but not nearly as good as us.									
					Blacksmiths used to fix things. But with so many people doing two jobs, we're doing less and less repair work. Never mind, I still feel good because I know I've got skills! Hehehe. Let's start another day!									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
73	<Guild Registrar> Lagran		<Guild Registrar> Lagran	100	Do you wish to join a guild? Then you're wise to come to see me, Lagran, the guild registrar. Guilds link travelers together, so it's good to be part of one. Even the smallest group can help in dangerous situations. I know better than anyone else because I've traveled a lot as well.									
					Guilds used to be unfamiliar to Orcs, who were used to fighting alone. We simply borrowed this from the humans. We can't help but admit that, although some warriors deny it. Well, does it matter? If it works, it works.									
					Small animals are on the verge of extinction due to the rage of monsters. Ferocious beasts or big herbivores are maintaining their habitat by living in groups. But it's hard to see animals like squirrels or rabbits now. I'd like to say that it's great since I hate small animals! But the big animals are slowly disappearing as well.									
					As a guild registrar, I can't remember all the travelers under my supervision. There are too many. But I know that memorizing as many as I can creates less problems. So I give each traveler a special nickname to help me remember them better. For you, let's see. How about raccoon tail? Huh? You don't like it?									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
74	<Item Trader> Oxior		<Item Trader> Oxior	100	I'm Oxior and I trade items. Hm. Your items aren't that bad. Do you wish to leave them with me? I'll hold onto them and sell them at a good price for you!				100	Your things look good. Though, that doesn't mean you look good. I'll trade with you for your items, but only this once.	100	No matter how good your items are, I won't trade with you!	100	No matter how good your items are, I won't trade with you!
					Be careful not to buy something just because it looks good. You may run short on money. Even if an item trader doesn't con a traveler, if the traveler doesn't control their spending, it's easy to go broke.									
					Item traders in all cities exchange information with each other, so it's possible to do business with pretty much any trader. That's a great advantage.									
					You need not come see us to sell an item. Just register it into your inventory. Haven't you heard of this?									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
75	<Alchemist> Montro		<Alchemist> Montro	100	I'm Montro, a failed alchemist. Gosh...... My entire life is a failure. I've been unsuccessful for ten years and it's just recently that I barely managed to settle down. I didn't start this with money or fame in mind. But I realized it's necessary to spread the word about my existence as long as I live here. Whew...... Things really are hopeless.				100	I'm Montro, a failed alchemist. Gosh...... My entire life is a failure. I've been unsuccessful for ten years and it's just recently that I barely managed to settle down. I didn't start this with money or fame in mind. But I realized it's necessary to spread the word about my existence as long as I live here. Whew...... Things really are hopeless.	100	I'm Montro, a failed alchemist. Gosh...... My entire life is a failure. I've been unsuccessful for ten years and it's just recently that I barely managed to settle down. I didn't start this with money or fame in mind. But I realized it's necessary to spread the word about my existence as long as I live here. Whew...... Things really are hopeless.	100	I'm Montro, a failed alchemist. Gosh...... My entire life is a failure. I've been unsuccessful for ten years and it's just recently that I barely managed to settle down. I didn't start this with money or fame in mind. But I realized it's necessary to spread the word about my existence as long as I live here. Whew...... Things really are hopeless.
					Capital is needed in order to continue alchemy. But I have nothing, so I'm no different than Abrach. At least he begs for money. I don't know what I'm doing. Living like this is really pathetic. Oh, I really must be cursed.					Capital is needed in order to continue alchemy. But I have nothing, so I'm no different than Abrach. At least he begs for money. I don't know what I'm doing. Living like this is really pathetic. Oh, I really must be cursed.		Capital is needed in order to continue alchemy. But I have nothing, so I'm no different than Abrach. At least he begs for money. I don't know what I'm doing. Living like this is really pathetic. Oh, I really must be cursed.		Capital is needed in order to continue alchemy. But I have nothing, so I'm no different than Abrach. At least he begs for money. I don't know what I'm doing. Living like this is really pathetic. Oh, I really must be cursed.
					These days, I'm considering doing anything that's profitable, that's why I opened a shop here. Explaining this is making me depressed though.					These days, I'm considering doing anything that's profitable, that's why I opened a shop here. Explaining this is making me depressed though.		These days, I'm considering doing anything that's profitable, that's why I opened a shop here. Explaining this is making me depressed though.		These days, I'm considering doing anything that's profitable, that's why I opened a shop here. Explaining this is making me depressed though.
					The depth of alchemy cannot be measured. Just think of this as a place that manufactures tools, which make travelers' journeys better. Well, I'm thinking of making money and getting back on my feet.					The depth of alchemy cannot be measured. Just think of this as a place that manufactures tools, which make travelers' journeys better. Well, I'm thinking of making money and getting back on my feet.		The depth of alchemy cannot be measured. Just think of this as a place that manufactures tools, which make travelers' journeys better. Well, I'm thinking of making money and getting back on my feet.		The depth of alchemy cannot be measured. Just think of this as a place that manufactures tools, which make travelers' journeys better. Well, I'm thinking of making money and getting back on my feet.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
76	<Cook> Gult		<Cook> Gult	100	I'm the only cook in this village. I don't worry much about the taste of my food because warriors pretty much eat anything. But that doesn't mean I'm not a good cook. My rule is to use as many ingredients as necessary. And creating just the right taste is also a way to save time. It seems you know a bit about cooking.				100	I'm the only cook in this village. I don't worry much about the taste of my food because warriors pretty much eat anything. But that doesn't mean I'm not a good cook. My rule is to use as many ingredients as necessary. And creating just the right taste is also a way to save time. It seems you know a bit about cooking.	100	I'm the only cook in this village. I don't worry much about the taste of my food because warriors pretty much eat anything. But that doesn't mean I'm not a good cook. My rule is to use as many ingredients as necessary. And creating just the right taste is also a way to save time. It seems you know a bit about cooking.	100	I'm the only cook in this village. I don't worry much about the taste of my food because warriors pretty much eat anything. But that doesn't mean I'm not a good cook. My rule is to use as many ingredients as necessary. And creating just the right taste is also a way to save time. It seems you know a bit about cooking.
					You know when travelers are really annoying? When they aren't interested in my food, they just stare at me. What do they take me for? I only deal with those I find worthy, not just anyone. Haha.					You know when travelers are really annoying? When they aren't interested in my food, they just stare at me. What do they take me for? I only deal with those I find worthy, not just anyone. Haha.		You know when travelers are really annoying? When they aren't interested in my food, they just stare at me. What do they take me for? I only deal with those I find worthy, not just anyone. Haha.		You know when travelers are really annoying? When they aren't interested in my food, they just stare at me. What do they take me for? I only deal with those I find worthy, not just anyone. Haha.
					The bad thing about Golundo is that it's so secluded. You have to go all the way to Kun for ingredients. So Oxior goes between Kun and here for me. Of course, it's also to get supplies that he needs, but I'm still grateful. But I don't have any feelings for him beyond that. Nope, nooo way!					The bad thing about Golundo is that it's so secluded. You have to go all the way to Kun for ingredients. So Oxior goes between Kun and here for me. Of course, it's also to get supplies that he needs, but I'm still grateful. But I don't have any feelings for him beyond that. Nope, nooo way!		The bad thing about Golundo is that it's so secluded. You have to go all the way to Kun for ingredients. So Oxior goes between Kun and here for me. Of course, it's also to get supplies that he needs, but I'm still grateful. But I don't have any feelings for him beyond that. Nope, nooo way!		The bad thing about Golundo is that it's so secluded. You have to go all the way to Kun for ingredients. So Oxior goes between Kun and here for me. Of course, it's also to get supplies that he needs, but I'm still grateful. But I don't have any feelings for him beyond that. Nope, nooo way!
					The cold snow of Golundo is also quite tasty. Does snow have a taste? Of course. To a cook, there's nothing in the world that doesn't have some sort of taste. Rocks and even dirt have taste. It's our job to study how we're going to use such flavors.					The cold snow of Golundo is also quite tasty. Does snow have a taste? Of course. To a cook, there's nothing in the world that doesn't have some sort of taste. Rocks and even dirt have taste. It's our job to study how we're going to use such flavors.		The cold snow of Golundo is also quite tasty. Does snow have a taste? Of course. To a cook, there's nothing in the world that doesn't have some sort of taste. Rocks and even dirt have taste. It's our job to study how we're going to use such flavors.		The cold snow of Golundo is also quite tasty. Does snow have a taste? Of course. To a cook, there's nothing in the world that doesn't have some sort of taste. Rocks and even dirt have taste. It's our job to study how we're going to use such flavors.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
77	<Adventurer> Fodon		<Adventurer> Fodon	100	I'm Fodon, a true adventurer. But this place...... It's just not the right place for an adventurer! All I see are warriors that aren't very intelligent. An adventurer needs both strength and intelligence. Just being tough doesn't do it. You need to be intelligent like me.				100	I'm Fodon, a true adventurer. But this place...... It's just not the right place for an adventurer! All I see are warriors that aren't very intelligent. An adventurer needs both strength and intelligence. Just being tough doesn't do it. You need to be intelligent like me.	100	I'm Fodon, a true adventurer. But this place...... It's just not the right place for an adventurer! All I see are warriors that aren't very intelligent. An adventurer needs both strength and intelligence. Just being tough doesn't do it. You need to be intelligent like me.	100	I'm Fodon, a true adventurer. But this place...... It's just not the right place for an adventurer! All I see are warriors that aren't very intelligent. An adventurer needs both strength and intelligence. Just being tough doesn't do it. You need to be intelligent like me.
					An adventurer is a romantic. You need to know about everything, sometimes you have to be strong as the waves, yet be soft and tender like seedlings in the spring when needed. Know that being rigid all the time will lead you to your downfall. You're a traveler, so keep that in mind.					An adventurer is a romantic. You need to know about everything, sometimes you have to be strong as the waves, yet be soft and tender like seedlings in the spring when needed. Know that being rigid all the time will lead you to your downfall. You're a traveler, so keep that in mind.		An adventurer is a romantic. You need to know about everything, sometimes you have to be strong as the waves, yet be soft and tender like seedlings in the spring when needed. Know that being rigid all the time will lead you to your downfall. You're a traveler, so keep that in mind.		An adventurer is a romantic. You need to know about everything, sometimes you have to be strong as the waves, yet be soft and tender like seedlings in the spring when needed. Know that being rigid all the time will lead you to your downfall. You're a traveler, so keep that in mind.
					All men find me perfect, but I have no interest in my own romance. I prefer watching from the side. Take this city for example. So many unfortunate lovers have entered my gazes. One of them is Oxior. I'm sure you've felt it while talking to her.					All men find me perfect, but I have no interest in my own romance. I prefer watching from the side. Take this city for example. So many unfortunate lovers have entered my gazes. One of them is Oxior. I'm sure you've felt it while talking to her.		All men find me perfect, but I have no interest in my own romance. I prefer watching from the side. Take this city for example. So many unfortunate lovers have entered my gazes. One of them is Oxior. I'm sure you've felt it while talking to her.		All men find me perfect, but I have no interest in my own romance. I prefer watching from the side. Take this city for example. So many unfortunate lovers have entered my gazes. One of them is Oxior. I'm sure you've felt it while talking to her.
					I hate the fact that it's hard to differentiate soldiers from adventurers. Sometimes Dason makes the same mistake and tells me to do this and that. It makes me angry to be treated that way, but I don't express my anger because I know he's not a bad guy. Plus, getting angry often goes against the way of an adventurer.					I hate the fact that it's hard to differentiate soldiers from adventurers. Sometimes Dason makes the same mistake and tells me to do this and that. It makes me angry to be treated that way, but I don't express my anger because I know he's not a bad guy. Plus, getting angry often goes against the way of an adventurer.		I hate the fact that it's hard to differentiate soldiers from adventurers. Sometimes Dason makes the same mistake and tells me to do this and that. It makes me angry to be treated that way, but I don't express my anger because I know he's not a bad guy. Plus, getting angry often goes against the way of an adventurer.		I hate the fact that it's hard to differentiate soldiers from adventurers. Sometimes Dason makes the same mistake and tells me to do this and that. It makes me angry to be treated that way, but I don't express my anger because I know he's not a bad guy. Plus, getting angry often goes against the way of an adventurer.
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
78	<Merchant> Goro		<Merchant> Goro	100	I'm Goro, a Merchant! Don't underestimate me because I'm young. I have tons of guys who would give you a good beating at my say-so. Age isn't everything. I'm a genius. A prodigy.				100	Ah! Oh my... Just when no guards are in sight... Hmhm! You... you'd better not try to kill me. You're here because you need items, right? You... should go and visit the Pardoner. He'll help you!	100	Even if you're still young, that's no excuse! I don't have anything to sell to you!	100	Even if you're still young, that's no excuse! I don't have anything to sell to you!
					Hey, you. Who are you staring at? You're not? There are tons of people who're old and useless. And these people wander around calling themselves travelers and adventurers. You people still need to buy merchandise from me, so make sure you don't rub me up the wrong way.									
					Because I'm so intelligent and great, I'm escorted by Trilgard guards when I leave the city. There are so many monsters and different species that are after me. Hey, come to think of it, I shouldn't just welcome travelers like you. Gosh. I should be more careful.									
					Welcome to Trilgard. Be sure to come see me when you're here. Huh? Runerut already said the same thing? How dare he say that? Who would visit a guild leader first? You should know very well that the beginning and the end of a journey goes through a Merchant. Right?									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
79	<Warrior Weapons Merchant> Traltran		<Warrior Weapons Merchant> Traltran	100	Welcome, wanderer. There isn't a weapon you can't buy here in Trilgard. These weapons may be ordinary now, but will become legendary once held in your hands. Keep in mind that you should never scrimp when buying weapons!				100	I don't care much for wanderers... here today, gone tomorrow. But if you buy a weapon from me, I'd never want to see you again. Don't buy weapons from me. If you'd listen to my advice, you'd go and see the Pardoner.	100	I don't have anything to sell to you....	100	I don't have anything to sell to you....
					Hm, I'm not originally from here, but came here to make money. Sometimes, it's necessary to live in a big city. Settling down in a place where your skills are acknowledged is quite useful for your finances. I used to be a pretty good blacksmith, but gave up my position to someone who's better than me. I'm now a warrior weapons merchant.									
					To be honest, it's not that bad. I don't like travelers of other species. I guess they don't like me, either. Anyway, the reason I'm alive like this is because they've accepted me in two regards. The first, I'm great with an axe and second, I have a great knack for choosing weapons. No one's better than I am in these two aspects.									
					The reason I opened a shop here is because of a warrior's axe I saw when I was very young. I'd never seen anything so awesome. I'd like to see it again sometime. Maybe I'll get the chance now. Heroes emerge during chaotic times, right? So many people going after the Archlord must mean that chaos is about to come.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
80	<Warrior Armor Merchant> Nurk		<Warrior Armor Merchant> Nurk	100	You've come to the right place if you're looking for a warrior armor merchant. Who are you? A traveler? An adventurer? Oh, what does it matter? I'll deal with you if you're going to buy some of my armor. But if not, I'll beat you up and kick you out of the castle. You don't think I can? I've done it before so there's no reason I can't do it now!				100	I've been involved with violence. But I never killed a life as carelessly as you do. Psh! You're angry because I spit? Then don't buy my goods. I don't want to sell them to you either.	100	Psh!	100	Psh!
					Hm. There's a special air about you. Are you a nobleman of the big city? No? Oh, you're not. I was nervous for a second. There are so many insignificant people walking around in armor. You seem like one of them.									
					I don't understand. Isn't Trilgard a symbolic city of the Orcs? Aren't only strong warriors like me worthy of staying and not the riff-raff? So I taught them a lesson and got punished for it. If Ugdrasil was alive, he would've made a different judgment.									
					I know Usus. Officially, my record's 3 fights and 3 losses. But he always cheats. Darn. I would've won if he'd been fighting fair and square. But I must acknowledge his attack on Tullan! That was worthy of an Orc! Yes indeed, it was. Haha.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
81	<Archer Weapons Merchant> Serrito		<Archer Weapons Merchant> Serrito	100	I'm Serrito, an archer weapons merchant. I'm trying my best to supply good bows in the shortest amount of time. A good weapon can be of great help to a traveler. What could be worse than having a traveler show up and say that they got hurt because of my weapons.				100	If anyone was hurt by the weapons I sold you, I'd never forgive myself. You seem to have committed great sins, so go and see the Pardoner. It'll cleanse your mind and stop you from going wrong again.	100	I have to prevent others from getting hurt. I won't sell any weapons to you.	100	I have to prevent others from getting hurt. I won't sell any weapons to you.
					I committed a grave error and was put under a spell that disables me from using one of my arms. So I can no longer hunt. But it doesn't bother me. Committing a sin again would be just as heart wrenching and sad.									
					The most important aspect when buying a bow is it must suit you. It must feel right in your hands. Never buy a bow just because it looks strong or beautiful. You'll end up making a big mistake. Keep in mind that arrows shot without caution can hurt your colleagues. I sell a fine selection of bows.									
					Crossbows allow accurate shooting, but often break down. They use machinery and some of them have quite complex structures. So sometimes, even I can't fix them. Crossbows made by Humans, who tend to like making things unnecessarily complicated, have such crossbows. Of course, I'm not trying to completely deny their weapons all together.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
82	<Archer Armor Merchant> Gott		<Archer Armor Merchant> Gott	100	Well...... I'm...... Gott, an archer armor merchant. Oh, my...... I should speak a little faster...... That's why customers seem to feel uncomfortable...... Oh, my...... I should be careful or I could lose my customers.				100	Ah... are you... here... to buy... armor? Hmm... I don't want... to sell... hmm? No... no problem... with customers.... I just... don't want... to sell... to people... like you.... Oh? You're... still here...?	100	I... don't... think... I... can... sell... anything... to... you....	100	I... don't... think... I... can... sell... anything... to... you....
					Do you like animals? I like mice...... They're small, cute, smart and helpful in many ways...... I hate cats...... They're big, heavy, mean and smelly...... But they can be useful in many ways, too...... Maybe I should raise a cat...... No, then it would eat all my mice...... I guess I won't raise a cat.									
					The residents of Trilgard don't seem to welcome outsiders even if they're Orcs. I had a hard time settling down. It was worse because I'm s-shy like this...... B-but, I was able to settle down eventually...... because everyone likes my armor.									
					Armor sales have increased recently¡¦ Umm¡¦ It's now 50 sets of armor per day¡¦ Before it used to be about 25¡¦ so it is quite an increase. This is because the information about the 'Place where the Archon is kept', is spreading very quickly between travelers in this area. We're not allowed to mention.... about it in this city....... But everyone's searching to find the Archon......									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
83	<Magic Weapons Merchant> Erval		<Magic Weapons Merchant> Erval	100	I'm Erval and I'm a magic weapons merchant. Elves are very in tune with magic because the environment we're born into is like magic. Of course, the tools made from our magic are also powerful. Don't you want to use a great weapon? Come to Erval's magic weapons shop and experience a world of wonders.				100	Understanding others leads to less fighting. But you don't seem to be understanding. It's none of my business, but maybe you should see the Pardoner. Oh, and... did you want to buy weapons? I'd rather you didn't.	100	I want to make you disappear with my magic. Ah... I don't sell weapons. Not to you!	100	I want to make you disappear with my magic. Ah... I don't sell weapons. Not to you!
					Those who sell magic tools are generally great sorcerers. I am one, too. But I had more interest in traveling the world and became a magic weapons merchant. As a merchant, I can meet lots of people. Associating with other species is fun and adds to my knowledge.									
					I wasn't too fond of Orcs. But after living here for a long time, I got used to them. They look ferocious, but understanding them will lead me to seeing their true selves. Orcs treat me with respect as well. It's all possible because we have a good understanding of each other. Do you travelers have a good understanding of each other?									
					Am I a sorcerer? Hahaha. I don't know. Elves are connected with magic, but I'm not great enough to introduce myself as a sorcerer. I am and will always be a magic weapons merchant. I find that to be enough.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
84	<Magic Armor Merchant> Pirtus		<Magic Armor Merchant> Pirtus	100	Hm, I'm Pirtus. I'm a magic armor merchant. Of all the armor I sell, there's one that cannot be destroyed by anything. 100 Gnomes worked in shifts for 100 years to make this. But there was no one worthy enough to wear it, so it eventually...... came back to me. Huh? You want to see it? Well, I don't know. Well, you see... It was just a joke.				100	Are you here to buy armor? You want to buy armor from me? Now that's a depressing thought. Oh, no I'm not joking. You just have to put up with it.	100	Don't even dare to try and buy armor from me. Just leave our village.	100	Don't even dare to try and buy armor from me. Just leave our village.
					I like joking around, but some say I'm a liar. You should just think of it as a source of energy in life rather than a lie. Jokes break the ice and make conversations possible. Think of it like that and it won't be that bad.									
					I'm hesitant about making jokes about the Archlord because travelers are very sensitive. They're all ears when you talk. I once made a joke and almost got in big trouble. So I don't make jokes about the Archlord anymore. Jokes are fun, but not when you're dead!									
					I guarantee the quality of my merchandise. I may joke around a lot and tell the occasional fib, but I don't lie about the price or quality of my items. I'm not that low. I base my prices on a set profit scale and never sell anything that's defective. I used to be a traveler myself, so know that defective items can be dangerous.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
85	<Warrior Trainer> Kildemor		<Warrior Trainer> Kildemor	100	Enjoy learning skills from the most powerful warrior! I'm Kildemor, a warrior trainer. I can make even the weakest imp into a powerful warrior! Of course, it's a shame that someone as talented and skilled as I am is working as a trainer. But it's time to focus on training warriors so we can protect our city should war break out.				100	My job is to raise great warriors. But you don't have what it takes to be a great warrior. I can teach you of skills to get stronger, but learning them from me will be expensive.	100	Get out of my sight!	100	Get out of my sight!
					Trilgard lost many great warriors due to an attack by monsters. So we need to focus on recruiting new forces. I'm trying to find travelers suitable and willing to settle down here. How about you? Stay and fight for Trilgard!									
					Do you know Usus? A year ago, he declared war on Tullan, the city of humans, and significantly weakened its their defenses. Many young, strong warriors followed in the steps of Usus but they disappeared! Only the undisciplined ones remain. Oh, it's tragic.									
					The Archlord? I don't wish to become one and no I'm not scared! A warrior obtains strength from training his body. There not dependent on weird objects filled with unknown powers! Travelers seeking such objects deserve a good beating. Are you one of them? Travelers these days are so... anyway...									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
86	<Archer Trainer> Gorgan		<Archer Trainer> Gorgan	100	I'm Gorgan, an Archer Trainer. Originally, I was an embarrassment as an archer. But I practiced hard and became a trainer. You can do it, too. What's more important than innate talent is your effort and will to never give up.				100	What do you want? You seem like an evil one to me. But if I see you trying hard, then I'll teach you.	100	¡¦	100	¡¦
					I don't talk much.									
					I really hate the Archons! They're the source of all the blood in this land!									
					Orcs are generally made into warriors, so it's been only a few thousands year since they learned how to use bows. The bow is a very difficult for Orcs, who lack flexibility. So an Orc who shoots well is one that has worked very hard.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
87	<Magic Trainer> Lytillo		<Magic Trainer> Lytillo	100	I'm Lytillo, a magic trainer. Unlike other sorcerers, I'm loved by the people here. It's true. I can resolve any conflict or problem and open doors that were never expected to open. Orcs don't always use force to handle problems, so I'm very useful.				100	You're the type who solves everything with force. You're the exact opposite of me, and still you came here to learn.	100	I can't teach anyone who only cares for power!	100	I can't teach anyone who only cares for power!
					I'm considering taking on an assistant because there are so many who wish to learn from me. Not to belittle all the other skills trainers, but at this rate, I worry that Trilgard may become a city of magic.									
					Magical skill is an exhibition of potential. And empowering your magic with the power of the Elementals depends on how well you interact with the Elementals. So you should train and discipline yourself at all times.									
					I've heard many legends about the Archons since I was young. I used to look up to them then. But now, I don't. The volition of youngsters who look up to the Archons and the Archlord is enough. Once their wills come together, anything is possible. I fear that such power will be used for evil.									
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
88	<Safe Keeper> Dipo		<Safe Keeper> Dipo	100	I'm Dipo, a Safe Keeper. Scram, all you fools! Don't waste your money, store it in my safe instead! I'm Dipo, the city's greatest! Everyone needs me. Frankly, I'm more important than that useless chief guard.				100	I invest money that travelers leave with me in other things. Do you still want to leave your money? Well, I don't even want to touch your dirty money.... You still want to leave it here?	100	I've got a bad feeling about storing your things. Pick them up as soon as possible.	100	I've got a bad feeling about storing your things. Pick them up as soon as possible.
