Target Type	Target TID	Class	Skill TID	Probability	Item Set
	1743	1;2;3;4	663	90	20
	1744	1;2;3;4	663	90	20
	1739	1;2;3;4	663	90	18
	1740	1;2;3;4	663	90	18
	1741	1;2;3;4	663	90	18
	1758	1;2;3;4	663	90	47
	1759	1;2;3;4	663	90	47
	1757	1;2;3;4	663	90	47
	1745	1;2;3;4	663	90	20
	1746	1;2;3;4	663	90	20
	1747	1;2;3;4	663	90	20
	1760	1;2;3;4	663	90	51
	1761	1;2;3;4	663	90	51
	1762	1;2;3;4	663	90	51
	1766	1;2;3;4	663	90	5
	1767	1;2;3;4	663	90	5
	1768	1;2;3;4	663	90	5
	1769	1;2;3;4	663	90	39
	1770	1;2;3;4	663	90	39
	1771	1;2;3;4	663	90	39
	1772	1;2;3;4	663	90	39
	1773	1;2;3;4	663	90	39
	1774	1;2;3;4	663	90	39
	1775	1;2;3;4	663	90	32
	1776	1;2;3;4	663	90	32
	1777	1;2;3;4	663	90	32
	1778	1;2;3;4	663	90	51
	1779	1;2;3;4	663	90	51
	1780	1;2;3;4	663	90	51
	1781	1;2;3;4	663	90	9
	1782	1;2;3;4	663	90	9
	1783	1;2;3;4	663	90	9
	1784	1;2;3;4	663	90	14
	1785	1;2;3;4	663	90	14
	1786	1;2;3;4	663	90	14
	1763	1;2;3;4	663	90	15
	1764	1;2;3;4	663	90	15
	1765	1;2;3;4	663	90	15
	1787	1;2;3;4	663	90	15
