TID	捞抚	汲疙
1406	铠甲箱	豺狼人爱惜的盔甲箱子
1407	装有锚的箱子	收有祖宗的船帆的银杏山谷的宝物
1414	藏起来的宝物箱子	藏在船头海岸的宝物箱子
1415	装有祖先武器的箱子	拥有迈卡特的祖宗使用过的武器的箱子
1416	金块箱子	要交给海人族的金块箱子
1417	魔法箱子	不知内容的魔法箱子
1418	米里曼的宝物	小矮人的大王米里曼的宝物
1426	银杏山谷的遗物	在银杏山谷周边发现的遗物
1427	第二个拉姆内实的箱子	无法知道内容物的传说中的箱子
1428	马斯的宝物箱	小偷马斯藏起来的宝物箱子
1429	祭物箱子	有象征意义的箱子
1434	旧符咒	有监视功能的旧符咒
1436	旧符咒	无法知道底细的旧符咒
1438	怒焰文书	瞬间爆发火化的小矮人的文书
1440	邪恶符咒	破坏奇迹之泉的邪恶的符咒
1459	红色飞蛾的红眼	幸好能求到的红蛾的眼睛
1475	佛理埃兹的精灵石	消失的魔法师普里恩的宝石
1476	监视宝石	有监视功能的魔法宝石
1498	雪人族的纪录	有关雪人族的最古老的记录
1499	雪人族的纪录	有关雪人族的最古老的记录
1513	监视药水	饮用后能够监视日格水日斗族的监视药水
1514	冷冻魔法药	泰伦委托的魔法药
1517	死者的遗骨	冤魂的骸骨
1540	六臂蛇妖的坛子	六臂蛇妖为复活而使用的缸
1543	六臂蛇妖的坛子	六臂蛇妖为复活而使用的缸
1544	六臂蛇妖的坛子	六臂蛇妖为复活而使用的缸
1549	石像鬼心脏	拥有强大电力的闪电石像鬼的力量源泉
1553	黑色箱子	认为拥有一百把剑的箱子
1556	神圣的遗物	小矮人的珍贵宝物
1560	不祥的箱子	被阴气围绕的箱子
1561	女人像的魔法石	镶有德尔法拉斯绿色女人像的魔法石
1562	大地之眼	以结晶形式体现土地力量的宝石
1566	大地之眼	以结晶形式体现土地力量的宝石
1567	大地之眼	以结晶形式体现土地力量的宝石
1568	爬虫类之眼	毒蛇王梅泽的一支眼
1570	刻有名字的酒瓶	刻有难以分辨的姓名的酒瓶
1575	防御膜的纪录	有关蜥蜴人的趾甲区域的秘密记录
1586	秘密情报	有关小偷的重要情报
1593	干净的水	几乎完全纯净的水
1605	丢失的小箱子	被盗的希德尼的宝石箱
1607	可爱的箱子	无理有的可爱的箱子
1608	拉姆内实的第三个箱子	无法知道内容物的传说中的箱子
1609	作为染料的花	能够显示各种颜色的染料的材料
1622	祭奠之花	为了悼念而使用的花
1632	拉姆内实的项链	拉姆内实使用过的项链
1633	彼瑟的项链	六臂蛇妖 游动者 彼瑟的项链
1642	蝙蝠讨厌的香料	带有蝙蝠讨厌的香味的香料
1643	沾有使者血的文书	难以分辨字迹的使节的文书
1644	声明上限卷轴	避免死亡的魔法袍子
1653	秘密魔法卷轴	藏有相当重要内容的袍子
1660	蜥蜴人的地图	蜥蜴人拥有的宝物地图
1661	新的莱因莱特地图	重新制作的莱因莱特的地图
1666	地域地图	交给特罗尔的地图
1667	地域地图	帮助解析撕裂地图的又一地图
1668	破碎的地图	支安留下的老地图
1672	治安的证明	支安拥有的神秘的标志
1681	木之符咒	悬崖树人拥有的魔法符咒
1685	哥布林侦察者地域标志	哥布林使用地域的标志
1707	师傅发来的信件	我的师父写给基尼尔斯的信
1708	师傅的信件	师傅留下的信件
1723	水之宝石	保持周围有一定湿度的宝石
1725	打开黄金之路的文书	记载重新打开黄金之路的古代文书
1726	雇佣兵的钱袋	装有交给雇佣兵的钱的袋子
1729	美味的料理	迈阿里做的可口的佳肴
1731	诅咒卷轴	迈阿里拥有的袍子
1733	庆祝的食品	为银杏山谷联欢而制作的食物
1737	精灵的启示书	记载着精灵启示的文书
1738	精灵的启示书	记载着精灵启示的文书
1745	隐秘的监视符咒	多用途的符咒
1746	隐秘的监视符咒	多用途的符咒
1747	死亡卷轴	不知道内容的不吉利文书
1749	祖先的斧头	迈卡特的祖先的贵重武器
1753	生锈的短剑	有名旅行者的生锈的短剑
1754	战士们的武器	保镖罗吉恩牺牲的同伙的武器
1758	六臂女妖之枪	六臂蛇妖传统的矛
1761	先发队的刀	先发队拥有的刀
1762	意识之法杖	法师技能训练师伊万订的棒
1763	长老的旧法杖	长老伯鲁索特珍惜的棒
1764	黑剑	非常邪恶意志的剑
1765	天文观测法杖	有魔法力量的棒
1767	指挥官之弓	伯格曼使用过的指挥官的弓
1773	又一个一百支剑	据说是支安使用过的一百支剑中的其中一个
1774	一百支剑的一支	罗迪乌斯3世使用过的一百支剑
1784	拉姆内实的法杖	拉姆内实使用过的棒
1785	勇士之剑	看起来没有什么不同的雇佣兵的剑
1989	阿修塔的戒指碎片	活动用道具\n用合成机械合成，就可以得到在活动项目中\n能中奖的奖券
1990	阿修塔的戒指应募卷	活动用道具\n活动用道具抽签奖券(一张一次）
1991	塞提奥的戒指碎片	活动用道具\n用合成机械合成，就可以得到在活动项目中\n能中奖的奖券
1992	塞提奥的戒指应募卷	活动用道具\n活动用道具抽签奖券(一张一次）
1997	阿修塔的戒指	能强化所有能力的，有阿修塔气韵的指环
1998	塞提奥的戒指	能强化所有能力的，有塞提奥气韵的指环
1993	迪卡因年代记碎片	活动用道具\n用合成机械合成，就可以得到在活动项目中\n能中奖的奖券
1994	迪卡因年代记应募卷	活动用道具\n活动用道具抽签奖券(一张一次）
1995	格拉希阿年代记碎片	活动用道具\n用合成机械合成，就可以得到在活动项目中\n能中奖的奖券
1996	格拉希阿年代记应募卷	活动用道具\n活动用道具抽签奖券(一张一次）
739	朋友的信	朋友写的信
775	封印箱	含有土地精灵启示书的箱子
818	密斯里钢锭	不可破坏的传说中的钢锭
917	魔法符咒	文迪奥斯想要得到的符咒
922	魔法忠诚戒指	对于死者有意义的指环
1192	火之种	使用于意识中的魔道具
1196	装着砂金的袋子	辛苦收集的沙金袋
1219	大地之愤怒结晶	体现土地精灵力量的石头
1261	铁锭	特别制作的坚硬的铁
1264	有毒的野猪饲料	某人想要抓野猪而放的诱饵
1269	卡迪乌斯的牙齿	石像鬼卡迪乌斯锋利的牙齿
1281	驱除亡灵符咒	可以驱散死者灵魂的符咒
1290	解毒符咒	可以解所有强毒的符咒
1301	烛光熊之油	烛光熊很少流露的油
1303	火之宝石	超高价的美丽宝石
1306	闪亮的项链	雷德里本丢失的项链
1307	投影项链	传说中魔法道具中的一个
1312	庆祝之酒	只有在特立尔卡特联欢时酿的酒
1314	忘却之药	喝了之后，马上就会忘掉所有的事情
1317	斯波理根赃物戒指	斯波理根偷的旅行者的物品
1341	有毒的食物	吃一口就会死的食物
1351	红色野猪小鬼通缉令	有奖金的金库守卫俊捞喉赴的通缉令
1361	毒粉	伊乌鲁收集的毒粉
1364	灵魂之光	古代魔法道具中的一个灿烂的宝石
1371	珍诺的咒文书	感觉到恐怖力量的古代魔法文书
1373	混乱的咒文书	感觉到强大力量的古代魔法文书
1374	魔法卷轴	可以调节魔法力量的袍子
1379	无限食粮的咒文书	能养活百万大军的咒语书
1381	无限食粮的咒文书	能养活百万大军的咒语书
1397	水精灵的启示戒指	蕴含着水精灵启示的指环
1399	死亡之书	对吸血鬼有绝对意义的书
1409	老师的保管箱	无法知道里边有什么东西的师傅的保管盒
1421	蛛网蜘蛛的宝物箱	蛛网蜘蛛偷旅行者的东西制作的宝物
1422	蛛网蜘蛛的宝物箱	蛛网蜘蛛偷旅行者的东西制作的宝物
1423	蛛网蜘蛛的宝物箱	蛛网蜘蛛偷旅行者的东西制作的宝物
1431	吸血鬼的宝物箱	吸血鬼藏的宝物箱子
1453	约定标志	意味着一种亲近感的标示
1465	强力毒性花	超越想象的剧毒的花
1467	强力毒性花	超越想象的剧毒的花
1468	强力毒性花	超越想象的剧毒的花
1479	绿色魔法宝石	可以聚集怨恨的魔法宝石
1485	斯波理根计划书	用斯波理根的语言写的，看不懂的计划书
1503	破灭之书	聚集着恐怖咒语的魔法书
1518	死者的遗骨	在冰雪之地动死的人的骸骨
1520	死者的遗骨	非命横死的人的骸骨
1531	不死象征物	给不死族强大力量的象征物
1534	古代魔法书	传说中魔法道具中的一个
1552	黑色箱子	保护污染剑的箱子
1565	大地之眼	以结晶形式体现土地力量的宝石
1579	王室的纪录	记载着皇家传统和保护魔法的记录
1595	水瓶	没有什么价值的平凡的水瓶
1600	非常名贵的书	记载着祖先记录的贵重的书
1603	斯波理根赃物宝石箱	斯波理根偷的旅行者的物品
1618	作为染料的花	为了染盔甲需要的染料花
1621	祭祖之花	为了祭奠祖先而献的花
1623	祭奠之花	在死的位置，开出的悲伤的花
1630	斯波理根赃物项链	斯波理根偷的旅行者的物品
1637	祈祷戒指	传说中魔法道具中的一个
1641	净化水	绝对干净的水
1646	声明上限卷轴	避免死亡的魔法袍子
1647	盟约的卷轴	追随乌苏斯的人的秘密文书
1648	盟约的卷轴	追随乌苏斯的人的秘密文书
1649	盟约的卷轴	追随乌苏斯的人的秘密文书
1650	盟约的卷轴	追随乌苏斯的人的秘密文书
1651	秘密魔法卷轴	古代魔法的强大力量的袍子
1669	一亿金币袋子	含有风野猪小鬼全部财产的袋子
1686	魔法遗迹符咒	维持魔法力量的符咒
1720	乌苏斯的信件	乌苏斯亲自写的信
1722	协商的信件	种族之间相互协力的条件文书
1724	灰之书	恐怖力量的魔法道具
1752	被污染的剑	有邪恶意志的剑
1768	恐怖的短剑	恶魔王死的时候留下来的短剑
1771	伟大的法杖	古代魔法师们使用过的棍子
1780	品质好的短剑	治安队长肯特宠爱的指环
1781	品质好的短剑	质量很好的短剑
1782	国王的盾牌	现比奇王之盾
1589	前往比奇的外交文书	记载着秘密任务的外交文书
1598	不灭的火花	古代魔法道具中的一个炽热的宝石
1966	威力戒指组合说明书	记载着威力指环组合的说明书\n\n力量指环1个\n银块10个\n沙粉20个\n大地的精灵石5个\n破坏石10个
1967	恩宠戒指组合说明书	记载着恩宠指环组合的说明书\n\n知识指环1个\n银块10个\n沙粉20个\n呼吸的精灵石5个\n破坏石10个
1968	魔力戒指组合说明书	记载着魔力指环组合的说明书\n\n智慧指环1个\n银块10个\n沙粉20个\n精神的精灵石5个\n破坏石10个
1969	超越戒指组合说明书	记载着超越指环组合的说明书\n\n敏捷指环1个\n银块10个\n沙粉20个\n火焰的精灵石5个\n破坏石10个
1970	光荣项链组合说明书	记载着光荣项链组合的说明书\n\n水项链1个\n金块10个\n陨石粉20个\n烧热的精灵石5个\n破坏石10个\n吸水石10个
1971	传说项链组合说明书	记载着传说项链组合的说明书\n\n魔法项链1个\n金块10个\n陨石粉20个\n冥想的精灵石5个\n破坏石10个\n吸水石10个
1972	权能项链组合说明书	记载着权能项链组合的说明书\n\n火项链1个\n金块10个\n陨石粉20个\n雾的精灵石5个\n破坏石10个\n吸水石10个
1973	大陆项链组合说明书	记载着大陆项链组合的说明书\n\n土地项链1个\n金块10个\n陨石粉20个\n土的精灵石5个\n破坏石10个\n吸水石10个
2081	特里斯坦剑组合说明书	记载着特里斯坦剑组合访法的说明书\n\n曲剑1个\n精灵的锤子1个\n钢铁砧子1个\n破坏石10个\n吸水石10个\n\n组合时有蕴含着精灵气韵的精灵石\n就会产生神奇的\n力量\n种类和个数还不太清楚
2082	卡奥斯钺组合说明书	记载着卡奥斯钺组合访法的说明书\n\n粉碎战斗大斧1个\n精灵的锤子1个\n钢铁砧子1个\n破坏石10个\n吸水石10个\n\n组合时有蕴含着精灵气韵的精灵石\n就会产生神奇的\n力量\n种类和个数还不太清楚
2083	劲弩组合说明书	记载着劲弩组合访法的说明书\n\n木制十字弓1个\n精灵的锤子1个\n钢铁砧子1个\n破坏石10个\n吸水石10个\n\n组合时有蕴含着精灵气韵的精灵石\n就会产生神奇的\n力量\n种类和个数还不太清楚
2084	血之魔杖组合说明书	记载着血之魔杖组合方法的说明书\n\n骨杖 1个\n精灵锤子 1个\n钢铁砧台 1个\n破坏石 10个\n吸收石 10个\n\n在组合时，放入具有精灵气息\n的精灵石的话，将会\n产生神秘的力量\n种类和数量不详
1175	金锭	材质为金子的方形物体\n看起来很重
1176	银锭	材质为银子的方形物体\n看起来很重
1177	星沙粉末	坠落的陨石经过长时间以后\n被侵蚀变成粉末状的形态
1178	沙粉	在什么地方都能得到的沙粉
1974	精灵锤子	蕴含着精灵力量的\n特殊金属锤子
1975	钢铁砧台	锻炼某些东西的钢铁砧子
1976	破坏石	无论什么物质，都可以破坏城元素级别的\n罕见的石头 主要在制造新东西前\n破坏原有物质时使用。
1977	吸收石	无论什么物质，都吸收到一个地方\n制作成新东西的罕见的石头
2118	祝福锤	带有神的祝福的\n特殊的锤子
2116	乌利哈肯砧台	由乌利哈肯制成\n能变成更高强度的砧子
2119	贪欲之锤	以征服世界为目的制作武器的\n贪婪的长老使用的\n特殊的金属锤子
2117	诅咒砧台	用被恶魔诅咒的砧子\n可以提炼出特殊的力量
2128	莱斯特名望之剑组合说明书	记录莱斯特名望之剑组合方法的说明书\n\n弯刀 1个\n祝福锤子 1个\n乌利哈肯砧子1个\n破坏石 10个\n吸收石 10个\n\n用在组合拥有精灵气的精灵石\n时可以产生神秘的\n力量\n无法知晓种类的数量
2129	魔力剑组合说明书	记录魔力剑组合方法的说明书\n\n刃斧1个\n祝福锤子1个\乌利哈肯砧子1个\n破坏石 10个\n吸收石 10个\n\n用在组合拥有精灵气的精灵石\n时可以产生神秘的\n力量\n无法知晓种类的数量
2130	布兰特尼安之弓组合说明书	记录布兰特尼安之弓组合方法的说明书\n\n绸弓 1个\n祝福锤子1个\n乌利哈肯砧子1个\n破坏石 10个\n吸收石 10个\n\n用在组合拥有精灵气的精灵石\n时可以产生神秘的\n力量\n无法知晓种类的数量
2131	索拉杰之棒组合说明书	记录索拉杰之棒组合方法的说明书\n\n扭曲棒 1个\n祝福锤子1个\n梦境砧子1个\n破坏石 10个\n吸收石 10个\n\n用在组合拥有精灵气的精灵石\n时可以产生神秘的\n力量\n无法知晓种类的数量
2132	墓穴王之剑组合说明书	记录墓穴王之剑组合方法的说明书\n\n长剑 1个\n贪欲的锤子1个\n诅咒的砧子1个\n破坏石 10个\n吸收石 10个\n\n用在组合拥有精灵气的精灵石\n时可以产生神秘的\n力量\n无法知晓种类的数量
2133	乌云镰斧组合说明书	记录乌云镰斧组合方法的说明书\n\n嗜血镰斧1个\n贪欲的锤子1个\n诅咒的砧子1个\n破坏石 10个\n吸收石 10个\n\n用在组合拥有精灵气的精灵石\n时可以产生神秘的\n力量\n无法知晓种类的数量
2134	莫格勒弓组合说明书	记载莫格勒弓组合方法的说明书\n\n花神弓1个\n贪欲的锤子1个\n诅咒的砧子1个\n破坏石 10个\n吸收石 10个\n\n用在组合拥有精灵气的精灵石\n时可以产生神秘的\n力量\n无法知晓种类的数量
2135	黎明破坏者之棒组合说明书	记载着黎明破坏者之棒组合方法的说明书\n\n贤者之杖 1个\n贪欲之锤 1个\n诅咒砧台 1个\n破坏石 10个\n吸收石 10个\n\n在组合时，放入具有精灵气息\n的精灵石的话，将会\n产生神秘的力量\n种类和数量不详
2136	六臂蛇妖之皮	六臂蛇妖变身药水的材料
2138	女妖皮	女妖变身药水的材料
2141	窃贼皮	小偷变身药水的材料
2143	斯波理根皮	斯波理根变身药水的材料
631	迷惑香辛料	提高有魔力的香辛料\n料理的成功率
1986	诱惑香辛料	提高有魔力的香辛料\n料理的成功率
1987	契约变身配方	提高变身药水制作成功率
1988	盟约变身配方	提高变身药水制作成功率
2077	土地防御炖肉	土属性抵抗力上升+4 持续两分钟\n再使用时间 3分钟
2079	魔法防御之炖肉	魔法属性抵抗力上升+4 持续两分钟\n再使用时间 3分钟
2071	火力防御之炖肉	火属性抵抗力上升+4 持续两分钟\n再使用时间 3分钟
2073	空气防御之炖肉	空气属性抵抗力上升+4 持续两分钟\n再使用时间 3分钟
2075	水防御之炖肉	水属性抵抗力上升+4 持续两分钟\n再使用时间 3分钟
2078	大地防御之炖肉	土地属性抵抗力上升+6 持续两分钟\n再使用时间 3分钟
2080	精神防御之炖肉	魔法属性抵抗力上升+6 持续两分钟\n再使用时间 3分钟
2072	火焰防御之炖肉	火属性抵抗力上升+6 持续两分钟\n再使用时间 3分钟
2074	呼吸防御之炖肉	空气属性抵抗力上升+6 持续两分钟\n再使用时间 3分钟
2076	江防御之炖肉	水属性抵抗力上升+6 持续两分钟\n再使用时间 3分钟
2756	召唤宝珠	用于召唤小组内所有队员的宝珠
2757	轮回宝珠	用于忘记所有技能 重新进行分配的宝珠
872	已封印地图箱	内含有不知内容的宝物地图的箱子
965	银色野狼皮	发出神秘光泽的狼皮
1199	旅行者的钱袋	逃跑时旅行者丢失的钱袋
1200	丢失的钱袋	收入流浪商人全部财产的钱袋
1238	无内容的符咒	没有任何能力的旧符咒
1276	黑色魔法阵之石	据说能给秀托无限力量的魔法工具
1278	驱除亡灵符咒	可以驱散死者灵魂的符咒
1289	解毒符咒	有解毒功能的符咒，但对剧毒没有效果
1311	魔法泉水	雨水树人能够制作的水
1345	官文的记录书	被认为由罗颇参记载的记录书
1362	名人的项链	吉比尼亚精心制作的漂亮的项链
1377	魔法师的卷轴	有魔力的袍子
1383	无限食粮的咒文书	能养活百万大军的咒语书
1413	女妖的毒瓶箱子	搜集达林利的剧毒的箱子
1506	灰色药水	浑浊带有灰光的魔法药水
1530	有盗贼的遗骨	幽灵小偷的阴森的骸骨
1577	钥匙跟锁头的纪录	能够打开所有锁的魔法记录
1627	沙漠花	只在沙漠开花的神秘的花
1628	沙漠花	只在沙漠开花的神秘的花
1629	沙漠花	只在沙漠开花的神秘的花
1635	闪亮的戒指	被认为是贵族孙子所有的指环
1670	遗迹守护者之秘密文书	记录斯波理根计划的文书
1687	飞行符咒	能够赋予飞翔能力的符咒
2531	警告书	库博交给特列凯斯特的警告贴
2532	高级香水	在有兽人的地方难以得到的高级香水
2533	盗贼的短剑	因轻便而锋利而小偷们爱用的短剑
2535	惩罚文章	对于自己犯下的罪，觉醒的文书
2536	闪光的书	记载很多能力的魔法书
2538	手工酿的酒	在家里亲自酿的浓香酒
2539	斯基塔的斧头	斯基塔的家族中，代代相传的斧头
2541	魔杖之箱	有两个魔杖的箱子
2542	传说的厨具	能做出惊人的美食的魔法料理道具
2543	祖先的石头	记载着精灵祖先遗志的神秘之石
2544	平息死者的食物	能拜祭死者灵魂的，有威力的食物
2545	集中之箭	特别为克迪而制作的弓
2547	肯特的飞剑	肯特宠爱的飞剑
2548	箭竹箱子	保管特制弓箭的箱子
2549	化妆品	为斯卡而特别制造的特制化妆品
2550	黑色体液	很难得到的女妖体液
2551	贵重品箱子	被偷走的哥迪拉斯的贵重品箱子
2552	记忆项链	能使努艾恩多恢复记忆的项链
2553	坚硬的水晶	常人难以打碎的水晶
2554	宝物箱子	克斯摩斯的宝物箱
2556	秘密袋子	法师技能训练师米娅的秘密塑料袋
2557	光之魔杖	有强烈光力量的魔杖
2558	使者的命令书	去怪物那里的某人的命令书
2559	商人的箱子	失踪的商人携带的箱子
2560	细工锤子	有魔法力量的锤
2561	时间之沙袋子	据说是拥有时间力量的时间沙袋
2562	阿蒙的锤子	世上唯一的小矮人宝物
2563	旅行家的项链	逃走的旅行者所带的项链
2565	银锭	有微弱光泽的银块
2566	占卜的鳞片	根据条纹能预测未来的鳞
2568	古代花瓶	昂贵的古代花瓶
2569	黄金箭支	能追踪目标物的魔法之箭
2570	古代头盔	据说是有千里眼能力的魔法头盔
2571	古代香水	不知道怎么制作的古代香水
2572	痛苦文书	能让人觉得无限痛苦的文书
2573	工作的斧头	比奇的孔雀丢失的斧头
2574	权利卷轴	给人强大力量的魔法文书
2575	格林罗特的肉豆蔻	格林罗特死前使用过的肉豆蔻
2576	金锭	纯度为99.9%的金块
2577	努艾恩多的日记	努艾恩多写的日记
2578	醒目的标志	为了避免迷路而设的标识
2579	坚硬的宝石	用大槌也难以打碎的坚硬的红宝石
2580	坚硬的箱子	兽人也难以破坏的坚硬的惑磊
2581	胆量项链	看成是泽伊尔露中一个的象征物
2582	挑战书	交到马勒斯那里的狂妄的挑战书
2584	罗雷斯的戒指	罗雷斯带的戒指
2585	罗雷斯的信件	罗雷斯写的信
2586	魔力药水	有魔力的药水
2587	魔法文字铠甲	刻有魔法文字的神秘盔甲
2588	魔法砧台	可以制造出所有东西的砧子
2589	魔法瓶	大象也能装的魔法之瓶
2590	清澈的净化水	干净而清澈的水
2591	迷失方向的石头	使影响力范围内的生物失去方向感的石头
2592	丢掉的弓	贵族孙子的弓
2593	蜂蜜坛子	库艾恩提的蜂蜜坛子
2594	复仇文书	含有很多对于复仇的内容的文书
2595	封印刀	有魔法力量保护的刀
2596	沾血的羽毛	小偷鹰身人丢失的羽毛
2597	破碎的铠甲	有惊人的魔法力量的盔甲
2598	火花的结晶	可以修所有东西的古代火花的力量
2599	古代玻璃瓶	有强大魔法力量的古代玻璃瓶
2599	古代玻璃瓶	帕罗迪的魔法玻璃瓶
2600	谢罪的文章	根据艾罗勒的传统，犯罪者要拿来的文书
2601	善恶之果实	可以区分善恶的果实
2602	纯白之水	冰凉而清澈的水
2603	酒箱子	装有家里亲自酿的酒的箱子
2604	时间之文书	可以随意操纵时间的魔法文书
2605	看不懂的文书	内容不明确的文书
2606	阿鲁米骑士	非常坚硬而轻的贵重金属
2607	黑暗标志	有黑暗力量的符咒之一
2608	旅行者的遗骨	非命横死的旅行者的骸骨
2609	钥匙杖	开启异系的杖
2610	奥拉米斯的果实	有剧毒的沙漠花的果实
2611	旧文书	极少数的人才能看得懂的贵重文书
2612	旧瓶	措弊隐藏的瓶
2613	旧法杖	精灵的旧拐杖
2614	威华的盾牌	艾罗勒的魔法阵中的魔法道具之一
2615	诅咒戒指	据说是被诅咒的指环
2616	诅咒符咒	幽灵小偷粘上的诅咒符咒
2617	打击箭支	在什么位置都能击中目标的弓箭
2618	咒术符咒	具有诅咒力量的魔法符咒
2619	真实魔杖	让所有人都说出真实的能力魔杖
2620	集中翡翠	大大提高集中力的神秘翡翠
2621	地下水	有太古魔力的纯净水
2622	千里眼药水	喝了以后一时能拥有千里眼能力的魔法药水
2623	非常香的药草	具有浓香的药草
2624	装有魂的项链	能让灵魂降临德魔法项链
2625	华丽的宝石箱子	一眼就能看出是高价的华丽宝石箱子
3020	本拜占豪斯地图	在悉尔兰悉乌 吸血鬼村内的钢铁之屋 地下城地图\n可在该地下城内使用\n(使用Tab键来开关地图)
2995	廷克莱的卡片	洛夏岛的算卦人廷克莱为了算卦使用的卡片
2996	绿色石化草	洛夏岛的算卦人廷克莱为了算卦使用的青色石头
2643	勒弗雷特	年轻恋人之间，向对方表示爱情的信
2997	成长之石	只有在爱雨地才能生长的石头
2644	成长之石种子	与成体一样，用石头做成的种子
2645	黄色沙子	炼金术中偶尔使用的黄沙
2646	秘克幽的特制啤酒	以奶油为主要原料，保镖尼弗亲自酿制的特制啤酒
2647	尼弗的文件箱	尼弗非常珍惜的贵重文件盒
2648	旧诱饵	德特劳斯用于古代仪式中的苔藓
2649	仪式用法杖	德特劳斯亲自制作的秀才棍子
2650	帕勒内利的信件	传给基勒顿的帕勒内利的信
2651	强化石	主要用于制造月精灵族武器的矿石中的一个
2652	比安贝药草	香味非常难闻的药草
2653	狼人之剑	豺狼人族使用的生锈剑
2654	魔法秘药	用途不明确的巨大的药
2655	同盟的证明	怪物们结为同盟时，拿的证物
2656	雀花草	在拉因湖中可以采取的草
2998	鸭嘴兽的脚趾甲	从鸭嘴兽的脚中，割下的锋利的脚趾甲
2657	药箱子	伊诺科索斯亲自制作的半人马式药箱子
2658	狼人的协定书	豺狼人传来的交涉文书
2659	撕破的魔法书	阿纳卡雷的魔法书中撕裂出的一部分
2660	阿纳卡雷的魔法书	写着‘坚持10小时，谁都会像阿纳卡雷'的魔法书
2661	小吸血鬼的心脏	小吸血鬼的干瘪心脏
2662	马饲料	贝德理恩使用的马饲料
2663	女妖标志	记载着女妖记录的标识
2664	哈鲁米尔的毛发	从哈鲁米尔那里拿来的粗毛发
2665	毁灭乌鸦之卵	在毁灭乌鸦窝中得到的卵
2999	丢弃的水果	扔在地上的果实
2666	红色黏椒	罗德拉伊特绽开时凋谢的红色的粘草
3000	罗德拉伊特	月精灵看作是在这大陆中最漂亮的花
2667	旧腰带	帕拉肯使用了很长时间的旧皮带
2668	德里安的药草	炼金术中偶尔使用的药草
2669	哈鲁米乌的茎	炼金术中经常使用的，寄生在树人身上的特异植物
2670	未完成的长袍	为了卡利维、仙伯拉斯制作的袍子
2671	掉落的雨鞋	杰勒克宠爱的贵重的长靴
2672	丢失的垂饰	督达因丢失的华丽的垂饰
2673	打猎证明	阿尼尔所携带的一种证物，阿尼尔的捕猎象征
2674	古鲁特的矿石	魔法物品制作时使用的表面粗糙的矿石
2675	魔法箭支	在一般的弓箭中注入魔法气韵的弓箭
2676	油瓶	装满油的瓶
3001	石板	刻有文字的古老的石板
2758	分裂的叶子	炼金术士依比琳在炼金术过程中重视的叶子
2759	鹿角	作为药用的同时也可以作为食用，炼金术中也经常使用的角
2760	阿斯帕拉格斯炖肉	德特劳斯为了举行仪式而定做的，有难闻气味的炖肉
2761	武器箱子	装有艾雷为帕勒内利而制造的武器的箱子
2762	魔道学基础教本	记载着奥劳露娜要制作的魔法药水的调制书的教本
2763	佩勒迪的箱子	装有佩勒迪的多种宝物的，锁着的箱子
2764	拉乌露娜的指环	拉乌露娜委托给佩勒迪的指环
2765	德鲁丽安的信	德鲁丽安传给伊诺克斯的信
2766	塔姆莱尔的手镯	塔马拉带过的豺狼人族特有的手镯
2767	丢失的魔法书	阿纳卡雷的魔法书中丢失的一部分
2768	贝德理恩计划书	记载着贝德里恩策划的计划的文书
2769	乌鸦羽毛	算卦时使用的乌鸦翅膀羽毛
2770	希阿珀斯的报告书	希阿珀斯为了给达利塞特看而编辑的报告书
2771	侦察兵日记	贝德里恩侦察兵们使用过的日志
2772	洞穴巨魔肉	粗糙难以嚼碎而吃不了的特罗尔的肉
2773	纽勒伦梭子	抽出用于制作魔法衣服的线的串
2774	交涉文书	贝德里恩们的可以看出傲慢的字体的交涉文书
2775	投降书	写着贝德里恩们要降服的降服文书
2776	家门文书	含有西边光荣家族的文章的项链
2777	魔法日记	炼金术士用作日志的文书
2778	魔法试剂	制作鹰头人时使用的试剂
2779	丢失的斧头	布劳伍德的斧头
2780	丢失的道具箱	布劳伍德的道具箱子
2781	古代魔法书	记载着古代出色魔法的非常昂贵的魔法书
2782	野猪獠牙	野猪锋利的牙齿
2783	凯恩吉恩的头发	鹰头人首领凯恩吉恩的头
2784	秘密信件	吉珀劳索斯传给阿拉塔玛的密封信
2785	飞行羽毛	为了制作出色的弓箭使用的贵重的材料
2786	活力草	喝了就会马上恢复活力的药草
2787	丢失的手套	梅特丢失的手套
2788	感谢信	梅特传给贝尼赛特的信
2789	锁头	理奇奥制作的无法打开的锁
2790	关着的箱子	除了一种方法才能打开的特殊箱子
2791	盟约证明	怪物们结同盟时，发誓同心协力的证物
2792	断掉的短剑	高诺斯丢失的短剑
2793	火花石	在联欢会上用作爆竹等，使用率非常高的矿石
2794	食尸鬼的骨头	在食尸鬼中可以得到的骨头
2795	藏起来的垂饰	理奇奥隐藏的垂饰
2796	树人的茎	从树人的身上可以得到的茎
2797	蝙蝠的皮膜	从魔法蝙蝠头目的翅膀中抽出的皮膜
2798	沾血的金锭	埋藏在地下的金柜
2799	鉴定道具	考古学中经常使用的物品——鉴定道具
2800	丢失的箱子	约德丢失的非常贵重的箱子
2801	龙骨	从龙的身上抽出的骨头
2802	哈伊亚神草	怪物在治愈中经常使用的杂草
2803	放置的侦察道具	长时间搁置在欢喜孢子地带的侦查区
2804	空瓶	里边什么也没有的空瓶
2805	装满的瓶子	用地下水装满的瓶
2806	蛇神骨头	从蛇神的身上抽出的腐烂的骨头
2807	萤火草	食用和药用;魔法材料等，用于很多方面的贵重药草
